license_num,business_name,dba_name,license_type,holder_key,sample_rank
LB-99301,"PIER 50, LLC",COMMITTEE,CV7 All Alc.,PIER50LLC,0085a4600cd327dc33eb9b379c4f0a1d63122f52d73531e429680fe7ee8c5f11
LB-98889,"BNV3, INC.",WINK & NOD,CV7 All Alc.,BNV3INC,00ae5ceb5e3741e8e5437c31def0278786f78c324efe20868c54fc490cc85ce7
LB-98812,"Tavern in the Square South Station, LLC",Tavern in the Square,CV7 All Alc.,TAVERNINTHESQUARESOUTHSTATIONLLC,0142ee848fa711e20eb5ec822175bfc670ebfa9dd29eb52660e2652833de90a1
LB-98892,"Tia's Waterfront, LLC",TIA'S WATERFRONT,CV7 All Alc.,TIASWATERFRONTLLC,01515c53b36ca0f2213aa65cf1500991ea738f3078775d81e9c03200cc6a4dd9
LB-99388,"MAPLE & ASH BOSTON, LLC",MAPLE & ASH,CV7 All Alc.,MAPLEASHBOSTONLLC,01c900ca6340dec13d010616c1481c540e60c16b5e26b74e55d0d1a18ce706af
LB-445992,10 City Square LLC,Prima,CV7 All Alc.,10CITYSQUARELLC,021268ff53f59c0d17ce72bd3d9c500fcee2abe50f9fba27fc81e26a0b86584e
LB-99406,CHELSEA CITY SQUARE CORP.,Blackmoor Bar & Kitchen,CV7 All Alc.,CHELSEACITYSQUARECORP,02f38b295e62790c3e096d6103d112b5e59a906eefeb9a4192b8c8cc76be24f1
LB-99188,RSCM Holdings LLC,Fresh Boston,CV7 All Alc.,RSCMHOLDINGSLLC,0375e5e6fe68474290769bebb94193a62291d8048c5b5a9a9c614947ae9207c3
LB-99432,PAINTED BURRO SOUTH END LLC,Posto,CV7 All Alc.,PAINTEDBURROSOUTHENDLLC,03b30889da0fd18f2ec810fbede5c4bf946ef307ab38ded56986e8accbb6c0fd
LB-99441,SORELLINA LLC,SORELLINA,CV7 All Alc.,SORELLINALLC,03b8861c44fe2cb5ff1636ff9c431c761e781720ccfa09cff1cf812a0ff55548
LB-99057,"JABC, LLC",The Playwright Bar,CV7 All Alc.,JABCLLC,0450ea1f9a20bfba35962245d3b0902a849edd7510e27d7a338564be29d972c3
LB-99305,Crazy Tiger LLC,Kahaani On Broadway,CV7 All Alc.,CRAZYTIGERLLC,04d8e4d8ceb7a0fcb0462293d1e48cbbc02dec2ded1188a72d15c35801052509
LB-99176,"MODEL CAFETERIA, INC.",MODEL CAFETERIA,CV7 All Alc.,MODELCAFETERIAINC,04f03f5cccc22c666e18145435c27cf411fb3787319b2d4f1b60bbbec3ae3ed0
LB-98982,"378 CENTRE STREET, INC.",THE BRENDAN BEHAN PUB,CV7 All Alc.,378CENTRESTREETINC,051f45724415555edd1d04157177a08e39fea5fe709ab181a09712a9f625a073
LB-98933,The Lenox Hotel LLC,Willow & Ivy / The Irving @ The Lenox,CV7 All Alc.,THELENOXHOTELLLC,05ab4c115165b655c62c45f948519ab6bec5d7ae4846977fc4842848a9e8c534
LB-446754,"Tall Ship Restaurant, LLC",,CV7 All Alc.,TALLSHIPRESTAURANTLLC,05d62e1c0db5803d6e2bc662762825125c93a9f00649c866de6469f3cf28c76d
LB-98901,Taco Azul Boston LLC,Taco Azul,CV7 All Alc.,TACOAZULBOSTONLLC,067fa0ac5b85cd86a462949aa7537ca5a7183f9348951c86005d571f663c6ddf
LB-99323,Frago Restaurant SB LLC,Shy Bird,CV7 All Alc.,FRAGORESTAURANTSBLLC,077b3914ea7112c3448a8010522f0b6a181354b2c8cdd85c0a51348c4d677742
LB-99178,Buccellati LLC,MAMMA MARIA,CV7 All Alc.,BUCCELLATILLC,07af402969da86d81ab9c436fdaeaecaace6271a82e55b4e6d776bfe6b1cbcd4
LB-99134,"DOT Associates, LLC",The Chester Tavern,CV7 All Alc.,DOTASSOCIATESLLC,0810e9c4f6b53959e13aecd8a3de6b74dde1ea3c3afb777067d7edf4d1721996
LB-99084,CLOTILDE SPAGNUOLO IANDOLI,SPAGNUOLO CAFE,CV7 All Alc.,CLOTILDESPAGNUOLOIANDOLI,094ba3d2a26ef3d5cc828b4640c46c7d04d5508c8a4566d8d27eda5c174257eb
LB-99246,10 World Trade LHI LLC,10 World Trade LHI LLC,CV7 All Alc.,10WORLDTRADELHILLC,09fb91c46b750ed38001a41997507076266f6e75ffcb375447b26dc22eb2a9c2
