sample_id,license_number,license_type,holder,dba,roster_comment,roster_pledge_marker,legal_name_matched_ucc,successor_entity_ucc,classification,reported_index_occurrences,matching_occurrences,original_filings,candidate_original_filings,histories_reviewed,all_histories_reviewed,secured_parties_as_recorded,loan_principal,outstanding_balance,current_loan_status,primary_documents,notes
S01,LB-99301,CV7 All Alc.,"PIER 50, LLC",COMMITTEE,,False,False,False,no_matching_current_ucc,0,0,,,0,True,,not established,not established,not established,,Public search displayed the explicit no-records message. No current filing under PIER 50 was found; other names/jurisdictions and lapsed archive were not searched.
S02,LB-98889,CV7 All Alc.,"BNV3, INC.",WINK & NOD,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM 11AM NOON AGREEMENT NEIGHBORHOOD GROUP INCORPORATED REFERENCE,False,True,False,specific_license_collateral,12,12,202398125640; 202518014180; 202519141650; 202519780840; 202523872250; 202523879790,,4,False,"MERRIMACK VALLEY CREDIT UNION; BRIGHTBRIDGE CREDIT UNION FKA MERRIMACK VALLEY CREDIT UNION; CORPORATION SERVICE COMPANY, AS REPRESENTATIVE; C T CORPORATION SYSTEM, AS REPRESENTATIVE",not established,not established,not established,https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2025/0807/000000000/3180/202523872250_1.pdf; https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2025/0807/000000000/3657/202523879790_1.pdf,"All 12 index occurrences match BNV3 by punctuation/spacing normalization or include its Wink & Nod DBA. Four of six originals reviewed; 202398125640 and 202519780840 have termination entries in the index and their full histories were not opened. | The two August 7, 2025 originals refer to the same ABCC license and a credit union under former/current name as recorded; do not count them as two loans. | Wink & Nod DBA and 3 Appleton Street corroborate the roster holder. ABCC identifier 00016-RS-0116 is kept separately from Boston LB-98889. No independent state identifier crosswalk obtained."
S03,LB-98812,CV7 All Alc.,"Tavern in the Square South Station, LLC",Tavern in the Square,,False,True,False,generic_or_equipment_collateral,28,28,201959766670; 202289974430; 202409532560; 202516383990; 202523774950,,2,False,"CAPITAL ONE, NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT; MULTI-FLOW INDUSTRIES LLC DBA LENOX-MARTELL",not established,not established,not established,https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2025/0110/000000000/5075/202516383990_1.pdf; https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2025/0804/000000000/7379/202523774950_1.pdf,"All 28 index occurrences match the legal holder. Two 2025 original histories reviewed; the three older originals each have a January 10, 2025 termination entry in the index and their full histories were not opened. | The equipment filing directly matches 640 Atlantic Avenue. Capital One filing uses another business mailing address and names the exact legal holder. Generic all-assets language is not a license-specific pledge."
S04,LB-98892,CV7 All Alc.,"Tia's Waterfront, LLC",TIA'S WATERFRONT,1 Alcoholic to be served only in conjunction with brunch on Sunday from 11 00 AM Noon 2 Bar area as per plan submitted 2026 Temp Closed Has Docs,False,True,False,specific_license_collateral,15,15,201308680860; 201308681100; 201849432830; 202183992350,,1,False,NORTHERN BANK & TRUST COMPANY,not established,not established,not established,https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2013/1216/000000000/7941/201308681100_1.pdf,"All 15 index occurrences match the legal holder. Reviewed the license-specific companion original; the other three full histories were not opened. | The exact Boston license number LB-98892 appears in the collateral description. The displayed three-entry history contains no termination. | The other index originals include a 2021 filing continued August 7, 2026. Its collateral and underlying lender were not reviewed."
S05,LB-99388,CV7 All Alc.,"MAPLE & ASH BOSTON, LLC",MAPLE & ASH,PATIO CLOSING 11 00 P M Level 2 Bar Seats 15 occ Lounge 32 Dining RMs 151 Terrace 44 Total Occupants 242 8 Staff,False,False,False,no_matching_current_ucc,0,0,,,0,True,,not established,not established,not established,,"Current Massachusetts debtor begins-with search only; no city, state, or date filters were applied. | No lapsed archive or other state/jurisdiction search was made. | No principal amount, outstanding balance, lien enforceability, or present operation is established. | Broad assets or general intangibles are not treated as an explicit liquor-license pledge. | This is a transcript of observed UI/source text; no source HTML or PDF was exported. | A verified no-match is not proof of no secured borrowing or no lien; a different debtor name or filing jurisdiction may matter."
S06,LB-445992,CV7 All Alc.,10 City Square LLC,Prima,,False,True,False,generic_or_equipment_collateral,3,3,202634020070; 202634147290,,2,True,"CAMBRIDGE SAVINGS BANK; US FOODS, INC.",not established,not established,not established,https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2026/0731/003241149/0001/202634020070_1.pdf; https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2026/0807/000000000/2366/202634147290_1.pdf,"Exact normalized legal entity name, including LLC; UCC business mailing addresses differ from roster premises. | Current Massachusetts debtor begins-with search only; no city, state, or date filters were applied. | No lapsed archive or other state/jurisdiction search was made. | No principal amount, outstanding balance, lien enforceability, or present operation is established. | Broad assets or general intangibles are not treated as an explicit liquor-license pledge. | This is a transcript of observed UI/source text; no source HTML or PDF was exported."
S07,LB-101905,Retail All Alc.,"Castillo Morton Street, LLC",Castillo Liquors,,False,False,False,no_matching_current_ucc,0,0,,,0,True,,not established,not established,not established,,"Current Massachusetts debtor begins-with search only; no city, state, or date filters were applied. | No lapsed archive or other state/jurisdiction search was made. | No principal amount, outstanding balance, lien enforceability, or present operation is established. | Broad assets or general intangibles are not treated as an explicit liquor-license pledge. | This is a transcript of observed UI/source text; no source HTML or PDF was exported. | A verified no-match is not proof of no secured borrowing or no lien; a different debtor name or filing jurisdiction may matter."
S08,LB-464464,Retail All Alc.,Virpa Corp,Square Bites,No increase to amount floor space dedicated alcohol or changes floorplan on file with Board without approval Licensee must have copy approved premises all times,False,True,False,generic_or_equipment_collateral,1,1,202398867270,,1,True,ROCKLAND TRUST COMPANY,not established,not established,not established,https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2023/0323/000000000/1164/202398867270_1.pdf,"Exact normalized legal entity name, including Corp, and matching 38 Maverick Square premises. | Current Massachusetts debtor begins-with search only; no city, state, or date filters were applied. | No lapsed archive or other state/jurisdiction search was made. | No principal amount, outstanding balance, lien enforceability, or present operation is established. | Broad assets or general intangibles are not treated as an explicit liquor-license pledge. | This is a transcript of observed UI/source text; no source HTML or PDF was exported."
S09,LB-101929,Retail All Alc.,"BROTHER'S SUPER LIQUORS II, INC.",Brother’s Wine & Spirits,,False,True,False,generic_or_equipment_collateral,2,2,202178937070,,1,True,EAST BOSTON SAVINGS BANK,not established,not established,not established,https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2021/0706/000000000/5754/202178937070_1.pdf,"Exact legal name including corporate ending and exact street address/neighborhood match. | Unannotated financing statement with continuation, but no license-specific collateral confirmed; no loan balance/current enforceability inference."
S10,LB-101910,Retail All Alc.,"NEW MISSION HILL MARKET, INC.",FUENTES MARKET AND LIQUOR STORE,Board acknowledges granted petition to open 10 00 m on Sundays No sale nips or singles,False,True,False,conditional_liquor_license_clause,6,6,201629581770; 201846435140; 202287145120; 202302043370,,4,True,"ROCKLAND TRUST COMPANY; KRASDALE FOODS, INC.; FALL RIVER FIVE CENTS SAVINGS BANK",not established,not established,not established,https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2016/0701/000000000/0170/201629581770_1.pdf; https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2018/0515/000000000/1821/201846435140_1.pdf; https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2022/0401/000000000/7385/202287145120_1.pdf; https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchViewPDF.aspx?Path=DRIVE1/2023/0712/000000000/5855/202302043370_1.pdf,"Exact legal name; UCC 680 Parker Street adjacent to roster 678 Parker Street, same ZIP02120. Match reasonable but not exact civic-number match; corroboration required before license-specific assertion. | Conditional blanket liquor-license clause in Rockland statement, generic licenses in 2022 bank statement, and trade inventory/equipment in Krasdale statements. No specifically numbered license. No current balance or enforceability inference. Last Rockland continuation displayed is 2021; current database includes at least one year after lapse."
