event_id,source_id,license_num,license_number_as_printed,license_id_missing,decision_date,event_type,action_subtype,outcome,outcome_text,board_granted_application,referenced_approval_date,transferor,transferor_dba,transferee,transferee_dba,licensee_heading,pledge_recipient,from_address,to_address,source_url,source_page_url,page_start,page_end,item_number,ambiguity_notes
BLB-2024-01-04-T-22,BLB-2024-01-04,LB101572,LB-101572,False,2024-01-04,license_transfer,transfer_application_disposition,granted,Granted,True,,"Patina Marine Life, LLC",,"Boston Culinary Group, Inc.",Sodexo Live!,,,"Central Wharf, Boston, MA 02110","Central Wharf, Boston, MA 02110",https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf#page=8,8,8,22,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-01-04-P-23,BLB-2024-01-04,,,True,2024-01-04,license_pledge,pledge_application_disposition,granted,Granted,True,,The Family Restaurant Partners LLC,Backyard Betty’s,Reggie Rondo LLC,Small Victories,,The Family Restaurant Partners LLC,"400 Dorchester St, South Boston, MA 02127","400 Dorchester St, South Boston, MA 02127",https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf#page=9,9,9,23,"[""The source item omits a Boston LB license number; not inferred from another roster or document."", ""Destination address carried from explicit same-location statement.""]"
BLB-2024-01-04-T-23,BLB-2024-01-04,,,True,2024-01-04,license_transfer,transfer_application_disposition,granted,Granted,True,,The Family Restaurant Partners LLC,Backyard Betty’s,Reggie Rondo LLC,Small Victories,,The Family Restaurant Partners LLC,"400 Dorchester St, South Boston, MA 02127","400 Dorchester St, South Boston, MA 02127",https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf#page=9,9,9,23,"[""The source item omits a Boston LB license number; not inferred from another roster or document."", ""Destination address carried from explicit same-location statement.""]"
BLB-2024-01-04-T-24,BLB-2024-01-04,LB99785,LB-99785,False,2024-01-04,license_transfer,transfer_application_disposition,granted,Granted,True,,"Clover Fast Food, Inc.",Clover Food Lab,"Food & Life Companies USA, LLC",Sakabayashi Sushi Tavern,,,"360 Longwood Ave, Boston, MA 02215","665 Boylston Street, Boston, MA 02116",https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf#page=9,9,9,24,[]
BLB-2024-01-04-T-2,BLB-2024-01-04,LB99632,LB-99632,False,2024-01-04,license_transfer,transfer_application_disposition,granted,"Granted, with a closing hour of 1:00 AM",True,,"Juan Reyes, Individual",Miami Restaurant,Tejeda Brothers Investments LLC,Miami Restaurant,,,"381 Centre St., Jamaica Plain, MA 02130","381 Centre St., Jamaica Plain, MA 02130",https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf#page=14,14,14,2,"[""Destination address carried from explicit same-location statement."", ""Old and New Business resolution of a previously deferred transfer; this document grants it, with closing-hour condition.""]"
BLB-2024-02-01-T-13,BLB-2024-02-01,LB98957,LB-98957,False,2024-02-01,license_transfer,transfer_application_disposition,granted,Granted,True,,"Bedford Dining, Inc.",White Horse Tavern,116 Brighton License LLC,,,,"116-120 Brighton Ave, Allston, MA 02134","116-120 Brighton Ave, Allston, MA 02134",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=7,7,7,13,"[""Destination address carried from explicit same-location statement."", ""Same meeting records sequential transfers of LB-98957: Bedford Dining to 116 Brighton License, then 116 Brighton License to Jongro BBQ. These are separate proposed legs of one license chain.""]"
BLB-2024-02-01-P-14,BLB-2024-02-01,LB98957,LB-98957,False,2024-02-01,license_pledge,pledge_application_disposition,granted,Granted,True,,116 Brighton License LLC,,"Jongro BBQ Market Allston, Inc.",Jongro BBQ Market,,116 Brighton License LLC,"116-120 Brighton Ave, Allston, MA 02134","116-120 Brighton Ave, Allston, MA 02134",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=7,7,7,14,"[""Destination address carried from explicit same-location statement."", ""Same meeting records sequential transfers of LB-98957: Bedford Dining to 116 Brighton License, then 116 Brighton License to Jongro BBQ. These are separate proposed legs of one license chain.""]"
BLB-2024-02-01-T-14,BLB-2024-02-01,LB98957,LB-98957,False,2024-02-01,license_transfer,transfer_application_disposition,granted,Granted,True,,116 Brighton License LLC,,"Jongro BBQ Market Allston, Inc.",Jongro BBQ Market,,116 Brighton License LLC,"116-120 Brighton Ave, Allston, MA 02134","116-120 Brighton Ave, Allston, MA 02134",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=7,7,7,14,"[""Destination address carried from explicit same-location statement."", ""Same meeting records sequential transfers of LB-98957: Bedford Dining to 116 Brighton License, then 116 Brighton License to Jongro BBQ. These are separate proposed legs of one license chain.""]"
BLB-2024-02-01-T-15,BLB-2024-02-01,LB99262,LB-99262,False,2024-02-01,license_transfer,transfer_application_disposition,granted,Granted,True,,"Caswell Restaurant Gruppo, LLC",Oak + Rowan,"LL RP 319A Street, LLC",Citrus & Salt,,,"319-321 A St, Boston, MA 02210","319-321 A St, Boston, MA 02210",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=7,7,7,15,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-01-T-16,BLB-2024-02-01,LB101632,LB-101632,False,2024-02-01,license_transfer,transfer_application_disposition,granted,Granted,True,,"Boston 1927 Lessee, Inc.",Boston Park Plaza Hotel & Towers,BPP Investments Property LL LLC,Hilton Boston Park Plaza,,,"50 Park Plaza, Boston, MA 02116","50 Park Plaza, Boston, MA 02116",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=8,8,8,16,"[""Destination address carried from explicit same-location statement.""]"
