source_row_id,source_record_number,raw_row_sha256,scope_class,queue_included,holder_key,holder_id,license_row_count,exact_raw_row_copies,license_holder_conflict,expiry_assessment,active_label_with_expired_date,pledge_comment_marker,financing_comment_marker,financing_marker_fields,pledge_any_field_marker,financing_any_field_marker,license_num,historicallicensenum,status,license_category,license_type,issued,expires,business_name,dba_name,comments,location_comments,descpremadd,address,city,state,zip
R00001,1,3528b02b50a17046f379da858d67e3b12dffa2e878842b36cecf3c8fe4366089,alcohol_license,True,DOMINICANKITCHENINC,BH-20775c7ff5bd20a7,1,1,False,expired,True,False,False,{},False,False,LB-578141,,Active,Common Victualler,CV7 Malt Wine Liq by Zip Restricted,,2025-12-31,"Dominican Kitchen, Inc.",La Parada Dominican Kitchen,Zip Code Restricted Wines amp Malt Beverages with Liqueurs License Special Legislation Chapter 202 Year 2024,,"Restaurant space located on the ground floor of a single story building, consisting of 2,400 sq. ft. with seating area, kitchen, restroom and storage, with one means of ingress and two means of egress, and additional storage in the basement.",3094-  Washington ST,Roxbury,MA,02119
R00002,2,9c19178742a0ab3c8263f62ce1c2db70719cd23d4673db00ea821a17960f065a,excluded_non_alcohol,False,CCCSBOSTON88EXETERHOLDCOLLC,BH-d186013f85d0aeda,1,1,False,missing,False,False,False,{},False,False,LB-597285,,Active,Inn,Innholder No Liquor,,,"CCC's Boston 88 Exeter Holdco, LLC",Courtyard Boston Copley Square,TEMPORARY INNHOLDER LICENSE No alcohol is to be sold or served on licensed premise Issued 5 30 25 valid through 12 31,In whole said of building to include a total of 11 floors and 81 rooms.,In whole said of building to include a total of 11 floors and 81 rooms.,88-  Exeter ST,Boston,MA,02116
R00003,3,ff6a35121df062710a0e4fbaf5fb50bfe73f837129b6da2707339c6a83ff84b3,excluded_non_alcohol,False,,,1,1,False,expired,True,False,False,{},False,False,LB-574808,,Active,Misc,Lodging Houses (Frat/Dorm),,2026-04-30,,250 Seaver St. LLC,Total 4 floors 17 rooms 16 Residents 3 in basement on 1st floor 6 2nd 3rd,,16 Unit Single Room Occupancy Lodging House plus one office for case management.,250-  Seaver ST,Dorchester,MA,02121
R00004,4,e93eaf98076d70ac7d24e8c1cdb7eafc2863fcf369bde561d329dcdcc7d0c101,alcohol_license,True,PHOQUEINC,BH-c3b7c897af776ab8,1,1,False,not_expired,False,False,False,{},False,False,LB-628154,,Active,Common Victualler,CV7 Malt Wine by Zip Restricted,2026-08-31,2026-12-31,Pho Que Inc.,Pho Que Restaurant,Zip Code Restricted Special Legislation Chapter 202 Acts Year 2024,"1400SF restaurant space on 1 floor with 1 entrance/2 exits. There are two rooms, one room includes dining/lounge area to the right, bar with seating for 5 patrons on the left, restrooms, kitchen, and storage in the rear. The other room is a game room which is used for socialization, entertainment an","1400SF restaurant space on 1 floor with 1 entrance/2 exits. There are two rooms, one room includes dining/lounge area to the right, bar with seating for 5 patrons on the left, restrooms, kitchen, and storage in the rear. The other room is a game room which is used for socialization, entertainment and birthday parties.",291-  Adams ST,Dorchester,MA,02122
R00005,5,216f944b7be0519c06825e1c224df522003bbc8c4fdf6b948832c1b0c8132317,excluded_non_alcohol,False,SUNRISECAFEBAGELSDINERLLC,BH-83e527d43e945937,1,1,False,not_expired,False,False,False,{},False,False,LB-634380,,Active,Common Victualler,Common Victualler,2026-08-28,2026-12-31,Sunrise Cafe Bagels & Diner LLC,Sunrise Cafe Bagels,,"1,840SF Located on the first floor. The premises include one customer dining area with seating for 34 patrons, a commercial kitchen and food preparation area, dry and refrigerated storage areas, customer restrooms, utility/service areas, and two means of egress (front and rear). No outdoor patio.","1,840SF Located on the first floor. The premises include one customer dining area with seating for 34 patrons, a commercial kitchen and food preparation area, dry and refrigerated storage areas, customer restrooms, utility/service areas, and two means of egress (front and rear). No outdoor patio.",1270-  River ST,Hyde Park,MA,02136
R00006,6,019ca3a0920aac29e6d853a243b7000f6ff8dcc91a6fb9c69b9bafd53eca1da3,excluded_non_alcohol,False,THEDIRTYITALIANINC,BH-6efef43f7d73c90e,1,1,False,not_expired,False,False,False,{},False,False,LB-634121,,Active,Common Victualler,Common Victualler,2026-08-28,2026-12-31,"The Dirty Italian, Inc.",The Dirty Italian,Operating Hours Tuesday Friday 10 00 AM 6 PM Saturday Sunday 4 Closed Monday,"Premise identified as 144 Old Colony Ave; 2,231 SF retail space on 2 floors with 2 entrances/2 exits in a multi-use building. The first floor is 900 SF in one room with an ordering counter and various grab-and-go cases. The basement is 1,331 SF accessible to employees only and contains a kitchen.","Premise identified as 144 Old Colony Ave; 2,231 SF retail space on 2 floors with 2 entrances/2 exits in a multi-use building. The first floor is 900 SF in one room with an ordering counter and various grab-and-go cases. The basement is 1,331 SF accessible to employees only and contains a kitchen and storage.",142-144  Old Colony AV,South Boston,MA,02127
R00007,7,348f5db7da1f52ebc102e5900bd11566ec6d74615a86f31f44941b444b9331f1,excluded_non_alcohol,False,EMPIREFRUITLLC,BH-6b8662b17ac78ac0,1,1,False,not_expired,False,False,False,{},False,False,LB-634168,,Active,Common Victualler,Common Victualler,2026-08-28,2026-12-31,Empire Fruit LLC,Empire Fruit,,"575SF Takeout only on first floor with service counter. No seating. Basement for storage with bathroom for employees only",575SF Takeout only on first floor with service counter. No seating. Basement for storage with bathroom for employees only,1536-  Tremont ST,Mission Hill,MA,02120
R00008,8,fa2f61fff28190c4122780700db27e7616849f4eb105abfffafc2ad4682c964d,excluded_non_alcohol,False,PMKFOODSINC,BH-34378dd2daabdc36,1,1,False,not_expired,False,False,False,{},False,False,LB-634330,,Active,Common Victualler,Common Victualler,2026-08-28,2026-12-31,PMK Foods Inc,Citra Cafe,Operating Hours Monday Friday 6 00 AM to 9 PM,"This 2,644SF Ground-floor fast-casual café will serve coffee and fresh foods, including salads, sandwiches, baked goods, soups, rice bowls, and similar items consistent with a full-service café, with 27 seats and two bathrooms.","This 2,644SF Ground-floor fast-casual café will serve coffee and fresh foods, including salads, sandwiches, baked goods, soups, rice bowls, and similar items consistent with a full-service café, with 27 seats and two bathrooms.",700-  Albany ST,Roxbury,MA,02118
R00009,9,297b85a3363a30bf2a2c219a25637f614fbe819e37445e2e5f69ecf9190b2060,excluded_non_alcohol,False,KINGDORESTAURANTINC,BH-57e3b9a365dddc08,1,1,False,not_expired,False,False,False,{},False,False,LB-610850,,Active,Common Victualler,Common Victualler,2026-08-27,2027-12-31,"Kingdo Restaurant, Inc",Kingdo Restaurant,,"9,000SF Three-story building featuring a fully equipped restaurant on the first floor, complete with two bathrooms. The restaurant includes a counter for takeout orders, five tables for dine-in seating, and a full kitchen located in the back. The basement is for food preparation and storge.","9,000SF Three-story building featuring a fully equipped restaurant on the first floor, complete with two bathrooms. The restaurant includes a counter for takeout orders, five tables for dine-in seating, and a full kitchen located in the back. The basement is designated for food preparation and storage",1154-1156  Dorchester AV,Dorchester,MA,02125
R00010,10,29920b034d05629244334b5cdc83205f55f815ac846753b978664eec7c0c491c,excluded_non_alcohol,False,1LINCOLNTRSLLC,BH-26bfeaed5e96a958,1,1,False,not_expired,False,False,False,{},False,False,LB-612008,,Active,Common Victualler,Common Victualler,2026-08-27,2027-12-31,"1 Lincoln TRS, LLC","1 Lincoln TRS, LLC",TEMPOARY COMMON VICTUALLER LICENSE ONLY USE IN LOBBY AMENITY SPACE SEE PLA CAPCITY BRAKDOWN ISSUED 11 12 25 EXPIRES 31,"Premise consists of: +/- 17,063 sq. ft. on the first (1st)  floor including a restaurant, lobby bar, whiskey bar, and library/ lounge area. "" MAIN LOBBY  ONLY""","Premise consists of: +/- 17,063 sq. ft. on the first (1st)  floor including a restaurant, lobby bar, whiskey bar, and library/ lounge area. 
"" MAIN LOBBY  ONLY""",1-  Lincoln ST,Boston,MA,02111
