notice_id,matter_id,source_date,notice_type,source_named_entity,source_dba,source_license_ids,roster_match_status,roster_source_row_ids,main_review_license_ids,amount_usd,amount_role,property_scope,board_disposition,source_page,source_item,source_url,pdf_path,pdf_sha256,text_sha256,source_quote,interpretation,scope_limitations,overlapping_main_action_event_ids
JAN-2020-10-08-ONB-1,JAN-2020-10-08-ONB-1,2020-10-08,attachment_discharge_notice,"Traffic Restaurant, LLC",Stella,,source_item_omits_license_id,,,,,liquor_license_explicit,Acknowledged,3,"Old and New Business, item 1",https://www.boston.gov/sites/default/files/file/2020/10/Board%27s%20Voting%20Agenda%2C%20October%208%2C%202020.pdf#page=3,transfer-corpus/prior-2024/2020/documents/BLB-2020-10-08.pdf,7b1ebdfa956fa2a3709ab64d16ce03b7b0a4df8a3ae37d10c7cf6fc50d3b9969,73a7e1a82d6f8dfdf2dae143e7b7044e451a5e12d8dde42cddc8fa99cd7714de,"1. The Board is in receipt of the notice of discharge of attachment by Thomas Geraghty as
      Trustee of Blackstone Square Trust regarding the liquor license held by Traffic
      Restaurant, LLC d/b/a Stella located at 1525 Washington Street.",A discharge notice regarding the liquor license was received and acknowledged.,"No original attachment, docket, amount, discharge terms, payment, settlement, or current status is established.",
JAN-2021-10-28-ONB-2,JAN-2021-10-28-ONB-2,2021-10-28,bankruptcy_and_writ_notice,"Auditorium Cafe, Inc.",The Pour House,,source_item_omits_license_id,,,6800.00,attachment_value_limit_stated_in_notice,property_scope_not_stated,Acknowledged,13,"Old and New Business, item 2",https://www.boston.gov/sites/default/files/file/2021/10/Voting%20agenda%2010-28-21.pdf#page=13,transfer-corpus/prior-2024/2021/documents/BLB-2021-10-28.pdf,238aa983d92dab83e35abc37c6ad2c5a502c5bbbf9023b7f3a90e36535e0d125,1926fbd9b2feae92e741535bde6a28a31ff2bebd945c353cdfed741a2644239e,"2. The Board is in receipt of formal notice of Chapter 7 bankruptcy proceedings as well
   as a writ of attachment approved in the amount of $6,800 against Auditorium Cafe,
   Inc. d/b/a The Pour House, 909 Boylston Street, Boston MA 02115.",The Board acknowledged notice of Chapter 7 bankruptcy proceedings and an approved writ of attachment against the named entity.,"No license ID, property description, court, creditor, docket, writ date, or underlying order is supplied; specific attachment of a liquor license is not established.",
JAN-2021-11-04-ONB-1,JAN-2021-11-04-ONB-1,2021-11-04,tax_license_seizure_notice,100 Percent Delicias Corp,,,source_item_omits_license_id,,,,,malt_wine_license_explicit,Acknowledged,7,"Old and New Business, item 1",https://www.boston.gov/sites/default/files/file/2021/11/Voting%20Agenda%2011.4.2021.pdf#page=7,transfer-corpus/prior-2024/2021/documents/BLB-2021-11-04.pdf,3535cd7c45706c06891711e1efd219d6a3c9b4705f1eb4753ddcbab79818f5fa,f17fe33ad631904f750c0f35333fb73c291f4a1d509ce3118138ff2501e084ff,"1. The Board has received from the Massachusetts Department of Revenue a notice of seizure of
   the malt wine license of 100 Percent Delicias Corp, 635 Hyde Park Avenue, Boston, MA 02131
   for nonpayment of delinquent Massachusetts taxes.",The Board acknowledged a Massachusetts Department of Revenue notice of seizure of the malt wine license for delinquent Massachusetts taxes.,"No license ID, amount, tax period, seizure date, sale result, or resolution is stated.",
JAN-2022-05-26-ONB-2,JAN-2022-05-26-ONB-2,2022-05-26,tax_license_seizure_notice,Blifia Associates LLC,,LB-99668,exact_license_id_match,R02172,LB-99668,,,malt_wine_license_explicit,Acknowledged,15,"Old and New Business, item 2",https://www.boston.gov/sites/default/files/file/2022/06/Voting%20Minutes%205-26-22.docx.pdf#page=15,transfer-corpus/prior-2024/2022/documents/BLB-2022-05-26.pdf,2d5d5d1811bb4c6c95eabadfb94e74c53ddb49e9c3bb30c1af5fd216e4799fe6,5f363cea420665564f3138547fa0187343391da7db148158fec3658e481bf997,"2.       The Board has received from the Massachusetts Department of Revenue a notice of seizure
of the 7-day malt and wine license of Blifia Associates LLC, 1746 Washington Street, Boston, MA
02118 License # LB-99668 for nonpayment of delinquent Massachusetts taxes.",The Board acknowledged a Department of Revenue notice of seizure of the stated license for delinquent Massachusetts taxes.,"No amount, tax period, seizure date, sale result, or resolution is stated.",
JAN-2023-05-04-ONB-1,JAN-2023-05-04-ONB-1,2023-05-04,personal_property_writ_notice,Curry Quarters LLC,Shanti Express,LB-100379,exact_license_id_match,R03484,,34000.00,attachment_value_limit_stated_in_notice,personal_property_general,Acknowledged,8,"Old and New Business, item 1",https://www.boston.gov/sites/default/files/file/2023/05/Voting%20Minutes%205-4-23_0.pdf#page=8,transfer-corpus/prior-2024/2023/documents/BLB-2023-05-04.pdf,0640397d942bbe65359081e76a06297cf797df07d0e58218b6c84c78a600bea8,a072f9bfc9273cbabb917fc038ee77661eff916e26a6eac2fb7e1d83a07b08bb,"1.      The Board is in receipt of a writ of attachment from the Commonwealth of Massachusetts
Superior Court Department - Beacon Fruit & Produce Co. (Plaintiff) v. Curry Quarters LLC d/b/a
Shanti Express (Defendant), 49 Warren St., Roxbury, MA 02119, License # LB-100379,
commanding to attach the personal property of the Licensee to the value of $34,000. The complaint
was filed and approved 3/22/23.",The Board acknowledged a Superior Court writ commanding attachment of the licensee’s personal property up to the stated value.,"The item does not specifically attach a liquor license. Exact-ID roster join is a non-alcohol Common Victualler record. No underlying order, collection, current balance, or enforceability was reviewed.",
JAN-2024-06-26-ONB-2,JAN-2024-06-26-ONB-2,2024-06-26,tax_license_seizure_notice,"Turnaround Sushi, Inc.",Crave Mad for Chicken,LB-99674,exact_license_id_match,R01954,LB-99674,,,malt_wine_liqueurs_license_explicit,Acknowledged,11,"Old and New Business, item 2",https://www.boston.gov/sites/default/files/file/2024/06/Voting%20Minutes%206-26-24.docx.pdf#page=11,transfer-corpus/documents/BLB-2024-06-26.pdf,50de6fc3f2cc01886a92c104ca06aa4f5978f1d20af0a220c44226f4040006ea,f38d2a151bb9601b02382205eaa493a277fe45e749e4637b80a1ffdc6d6b3a9a,"2. The Board has received from the Massachusetts Department of Revenue a notice of seizure of the
7-day malt, wine, and liqueurs license of Turnaround Sushi, Inc. d/b/a Crave Mad for Chicken, 75
Kneeland St., Boston, MA 02111, License #LB-99674 for nonpayment of delinquent Massachusetts
taxes.",The Board acknowledged a Department of Revenue notice of seizure of the stated license for delinquent Massachusetts taxes.,"No amount, tax period, seizure date, sale result, or resolution is stated.",
JAN-2024-08-22-ONB-3,JAM-ADVENTURE-LB-99364-EXECUTION-2024-05-06,2024-08-22,license_attachment_execution_notice,Adventure Investments Boston LLC,Fire & Ice,LB-99364,exact_license_id_match,R02909,LB-99364,33429.27,execution_amount_stated_in_notice,liquor_license_explicit,Acknowledged,9,"Old and New Business, item 3",https://www.boston.gov/sites/default/files/file/2024/08/Voting%20Minutes%208-22-24.docx.pdf#page=9,transfer-corpus/documents/BLB-2024-08-22.pdf,2a2b36e4286cd83a459e609b6e776027e4996050c8130167c2c1299b7e8c965d,0a56af7ace3c79cfc1fd8c91e7fe17a0541c575e6b8f2767d832ea279fe3a5b9,"3. The Board has received notification that the Suffolk County Sheriff’s Department has attached the
liquor license of Adventure Investments Boston LLC d/b/a Fire & Ice, 31 St. James Ave., Boston, MA
02116, License # LB-99364, in furtherance of an Execution on Money Judgment issued against the
licensee in the amount of $33,429.27 on 5/6/24.",The Board acknowledged notification that the Suffolk County Sheriff’s Department had attached the liquor license in furtherance of the stated execution.,"Receipt of notification is recorded; the underlying execution, service, priority, present balance, and enforceability were not reviewed.",
JAN-2025-05-01-ONB-1,JAM-ADVENTURE-LB-99364-EXECUTION-2024-05-06,2025-05-01,license_seizure_announced_auction_execution_notice,Adventure Investments Boston LLC,Fire & Ice,LB-99364,exact_license_id_match,R02909,LB-99364,33429.27,execution_amount_stated_in_notice,liquor_license_explicit,Acknowledged,18,"Old and New Business, item 1",https://www.boston.gov/sites/default/files/file/2025/05/Voting%20Minutes%205-1-25.docx.pdf#page=18,transfer-corpus/documents/BLB-2025-05-01.pdf,cc67d178ca41e3a2f73c54ce2feefbecd93a802ea25da5f174747abe196a2f15,1632e4aedaa5ce95c7c360c8ddd3bdcadd93a8272de3f744f09e50e700a5e843,"1. The Board has received notification that the Suffolk County Sheriff’s Department has seized, and
will be selling at auction to the highest bidder, the liquor license of Adventure Investments Boston LLC
d/b/a Fire & Ice, 31 St. James Ave., Boston, MA 02116, License # LB-99364, in furtherance of an
Execution on Money Judgment issued against the licensee in the amount of $33,429.27 on 5/6/24.",The Board acknowledged notification of license seizure and an announced auction in furtherance of the same expressly dated execution noted in 2024.,"The announced auction is not a completed sale; no winning bidder, proceeds, price, debt satisfaction, or current status is stated. This is a repeated observation of the same named execution, not a second amount to add.",
JAN-2025-08-07-ONB-1,JAN-2025-08-07-ONB-1,2025-08-07,tax_license_seizure_announced_auction_notice,"Olives, Inc.",Figs,LB-99536,exact_license_id_match,R02525,LB-99536,,,liquor_license_explicit,Acknowledged,12,"Old and New Business, item 1",https://www.boston.gov/sites/default/files/file/2025/08/Voting%20Minutes%208-7-25.docx.pdf#page=12,transfer-corpus/documents/BLB-2025-08-07.pdf,8cf0c0e847f4f71124a8a13e12bee5f5570ce2db4db24ca5803fec4b8f87050a,0c976d1fde186755444358618428f8005ea7f26173eb6a930014a3baa34ddaf0,"1. The Board has received notification that the Massachusetts Department of Revenue has seized, and
will be selling at auction to the highest bidder, the liquor license of Olives, Inc. d/b/a Figs, 42 Charles
St., Boston, MA 02108, License # LB-99536, for nonpayment of delinquent Massachusetts taxes, on
7/30/24.",The Board acknowledged notification that the Department of Revenue had seized the liquor license and would sell it at auction for delinquent Massachusetts taxes.,"No completed auction, bidder, amount, proceeds, or resolution is stated. The literal trailing date is 7/30/24 despite the 2025 source date; whether it modifies seizure or auction is unclear.",
JAN-2025-08-07-ONB-2,JAN-2025-08-07-ONB-2,2025-08-07,tax_license_seizure_announced_auction_notice,"Olives, Inc.",Figs,LB-99586,source_license_id_absent_from_roster,,,,,liquor_license_explicit,Acknowledged,12,"Old and New Business, item 2",https://www.boston.gov/sites/default/files/file/2025/08/Voting%20Minutes%208-7-25.docx.pdf#page=12,transfer-corpus/documents/BLB-2025-08-07.pdf,8cf0c0e847f4f71124a8a13e12bee5f5570ce2db4db24ca5803fec4b8f87050a,0c976d1fde186755444358618428f8005ea7f26173eb6a930014a3baa34ddaf0,"2. The Board has received notification that the Massachusetts Department of Revenue has seized, and
will be selling at auction to the highest bidder, the liquor license of Olives, Inc. d/b/a Figs, 67 Main St.,
Charlestown, MA 02129, License # LB-99586, for nonpayment of delinquent Massachusetts taxes, on
7/30/24.",The Board acknowledged notification that the Department of Revenue had seized the liquor license and would sell it at auction for delinquent Massachusetts taxes.,"This is a different license and premises from item 1. No completed auction, bidder, amount, proceeds, or resolution is stated. The literal trailing date is 7/30/24; its date role is unclear.",
JAN-2025-12-04-ONB-1,JAN-2025-12-04-ONB-1,2025-12-04,tax_license_seizure_announced_auction_notice,Pena & Nova Corp.,Norvia’s Place,LB-99422,exact_license_id_match,R02037,LB-99422,,,liquor_license_explicit,Acknowledged,10,"Old and New Business, item 1",https://www.boston.gov/sites/default/files/file/2025/12/Voting%20Minutes%2012-4-25.docx.pdf#page=10,transfer-corpus/documents/BLB-2025-12-04.pdf,66393f82f852c99c305f0c583bd12089a33636d1e72144a5b3b0551ec86fe264,3da2255f0fc90e2cfc5fee0bedf5512deb314304b535e51c2a76e2eacdd89adc,"1. The Board has received notification that the Massachusetts Department of Revenue has seized, and
will be selling at auction to the highest bidder, the liquor license of Pena & Nova Corp. d/b/a Norvia’s
Place, 2801-2807 Washington St., Roxbury, MA 02119, License # LB-99422, for nonpayment of
delinquent Massachusetts taxes, on 11/19/25.",The Board acknowledged notification that the Department of Revenue had seized the liquor license and would sell it at auction for delinquent Massachusetts taxes.,"No completed auction, bidder, amount, proceeds, or resolution is stated. The trailing date 11/19/25 is preserved without deciding whether it modifies seizure or auction.",
