event_id,date,license_num,license_scope,event_subtype,entity_name,entity_dba,actions,outcome,board_granted_application,ownership_subject_entity,ownership_subject_scope,parties_before,parties_after,entity_before,entity_after,entity_conversion_explicit,source_url,page_start,page_end,item_number,outcome_text,ambiguity_notes,item_text
BLB-2024-01-04-OWN-p6-i14,2024-01-04,LB101637,explicit_alcohol,ownership_application_disposition,"Marriott Hotel Services, Inc.",Marriott Long Wharf,"[""corporate_structure_change""]",granted,True,"Marriott Hotel Services, Inc.",licensee_entity_form_conversion,[],[],"Marriott Hotel Services, Inc.","Marriott Hotel Services, LLC",True,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,6,6,14,Granted,"[""Corporate-to-LLC conversion is explicit. Entity before/after names are not shareholders or beneficial owners; no change in equity control is inferred."", ""Same Marriott Hotel Services Inc-to-LLC conversion appears for Long Wharf and Copley license applications; preserve both source occurrences without counting two distinct equity transactions."", ""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","14. Marriott Hotel Services, Inc.

Doing business as: Marriott Long Wharf
296 State St, Boston, MA 02110
License #: LB-101637
Holder of an Innholder All-Alcoholic Beverages License has petitioned to change the Corporate
Structure of the licensed business - From: Marriott Hotel Services, Inc. To: Marriott Hotel Services,
LLC. Secondly, has petitioned for a change of Officers/Directors/LLC Managers.
Attorney: Joseph H. Devlin

Granted"
BLB-2024-01-04-OWN-p7-i15,2024-01-04,,explicit_alcohol,ownership_application_disposition,"Marriott Hotel Services, Inc.",Boston Marriott Hotel - Copley,"[""corporate_structure_change""]",granted,True,"Marriott Hotel Services, Inc.",licensee_entity_form_conversion,[],[],"Marriott Hotel Services, Inc.","Marriott Hotel Services, LLC",True,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,7,7,15,Granted,"[""Boston LB identifier omitted in this source item; not inferred from another record."", ""Corporate-to-LLC conversion is explicit. Entity before/after names are not shareholders or beneficial owners; no change in equity control is inferred."", ""Same Marriott Hotel Services Inc-to-LLC conversion appears for Long Wharf and Copley license applications; preserve both source occurrences without counting two distinct equity transactions."", ""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","15. Marriott Hotel Services, Inc.

Doing business as: Boston Marriott Hotel - Copley
110 Huntington Ave, Boston, MA 02116
Holder of an Innholder All-Alcoholic Beverages License has petitioned to change the Corporate
Structure of the licensed business - From: Marriott Hotel Services, Inc. To: Marriott Hotel Services,
LLC. Secondly, has petitioned for a change of Officers/Directors/LLC Managers.
Attorney: Joseph H. Devlin

Granted"
BLB-2024-01-04-OWN-p7-i16,2024-01-04,LB101640,explicit_alcohol,ownership_application_disposition,Courtyard Management Corporation,Courtyard Boston Downtown,"[""corporate_structure_change""]",granted,True,Courtyard Management Corporation,licensee_entity_form_conversion,[],[],Courtyard Management Corporation,Courtyard Management LLC,True,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,7,7,16,Granted,"[""Corporate-to-LLC conversion is explicit. Entity before/after names are not shareholders or beneficial owners; no change in equity control is inferred."", ""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","16. Courtyard Management Corporation

Doing business as: Courtyard Boston Downtown
275 Tremont St, Boston, MA 02116
License #: LB-101640
Holder of an Innholder All-Alcoholic Beverages License has petitioned to change the Corporate
Structure of the licensed business - From: Courtyard Management Corporation To: Courtyard
Management LLC. Secondly, has petitioned for a change of Officers/Directors/LLC Managers.
Attorney: Joseph H. Devlin

Granted"
BLB-2024-01-04-OWN-p7-i17,2024-01-04,,explicit_alcohol,ownership_application_disposition,"IVA Foods, Inc.",Bazaar on Cambridge Street,"[""stock_interest_change""]",granted,True,"IVA Foods, Inc.",named_licensee_or_licensed_business; indirect_ownership_level_not_further_specified,[],[],,,False,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,7,7,17,Granted,"[""Boston LB identifier omitted in this source item; not inferred from another record."", ""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","17. IVA Foods, Inc.

Doing business as: Bazaar on Cambridge Street
424 Cambridge St, Allston, MA 02134
Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned for a change of
Officers/Directors. Secondly, has petitioned for a change of Stock Interest.
Attorney: Patricia Lang Farnsworth

Granted"
BLB-2024-01-04-OWN-p7-i18,2024-01-04,LB99793,explicit_alcohol,ownership_application_disposition,"Piarosa Group, Inc.",Libertine,"[""stock_interest_change""]",granted,True,"Piarosa Group, Inc.",named_licensee_or_licensed_business; indirect_ownership_level_not_further_specified,[],[],,,False,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,7,7,18,Granted,"[""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","18. Piarosa Group, Inc.

Doing business as: Libertine
123-125 Salem St, Boston, MA 02113
License #: LB-99793
Holder of a Common Victualler 7 Day Wines and Malt Beverages w/ Liqueurs has petitioned to change
the manager of the licensed business - From: Shannon MacGowan To: Arlene Saia. Secondly, has
petitioned to change the Officers/Directors. And lastly, has petitioned for a change of Stock Interest.
Attorney: Carolyn M. Conway

Granted"
BLB-2024-02-01-OWN-p5-i8,2024-02-01,LB101961,explicit_alcohol,ownership_application_disposition,Wildduck 96 Salem St Inc.,The Wild Duck,"[""stock_interest_change""]",granted,True,Wildduck 96 Salem St Inc.,named_licensee_or_licensed_business; indirect_ownership_level_not_further_specified,[],[],,,False,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,5,5,8,Granted,"[""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","8. Wildduck 96 Salem St Inc.

 Doing business as: The Wild Duck
 94-96 Salem St, Boston, MA 02113
 License #: LB-101961
 Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned to change the
 manager of the licensed business - From: Jaimini Patel To: Nelson Antonio Carballo Aguilar. Secondly,
 has petitioned for a change of Stock Interest.
 Attorney: John Mooradian

 Granted"
BLB-2024-02-01-OWN-p6-i9,2024-02-01,LB99401,explicit_alcohol,ownership_application_disposition,Parm Copley LLC,,"[""ownership_interest_change""]",granted,True,Parm Copley LLC,named_licensee_or_licensed_business; indirect_ownership_level_not_further_specified,[],[],,,False,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,6,6,9,Granted,"[""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","9. Parm Copley LLC

100 Huntington Ave, Boston, MA 02116
License #: LB-99401
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to change the
manager of the licensed business – From: Patrick Chhoy To: Scott Devine. Secondly, has petitioned for
a change in Ownership Interest.
Attorney: Dennis A. Quilty

Granted"
BLB-2024-02-01-OWN-p6-i10,2024-02-01,LB99093,explicit_alcohol,ownership_application_disposition,186 Harvard Ave Bar LLC,HAN,"[""ownership_interest_change""]",granted,True,186 Harvard Ave Bar LLC,named_licensee_or_licensed_business; indirect_ownership_level_not_further_specified,[],[],,,False,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,6,6,10,Granted,"[""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","10. 186 Harvard Ave Bar LLC

Doing business as: HAN
178-188 Harvard Ave, Allston, MA 02134
License #: LB-99093
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to change the
manager of the licensed business – From: Henry Wong To: Daniel Stiffler. Secondly, has petitioned for
a change of Officers/Directors/LLC Managers. Lastly, has petitioned for a change in Ownership
Interest.
Attorney: Chase Liu

Granted"
BLB-2024-02-01-OWN-p6-i11,2024-02-01,LB98944,explicit_alcohol,ownership_application_disposition,"Kojam, LLC",Faccia a Faccia,"[""ownership_interest_change""]",granted,True,"Kojam, LLC",named_licensee_or_licensed_business; indirect_ownership_level_not_further_specified,[],[],,,False,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,6,6,11,Granted,"[""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","11. Kojam, LLC

Doing business as: Faccia a Faccia
276-278 Newbury St, Boston, MA 02116
License #: LB-98944
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned for a change of
LLC Manager. Secondly has petitioned for a change in Ownership Interest.
Attorney: Thomas P. Miller

Granted"
BLB-2024-02-08-OWN-p5-i5,2024-02-08,LB99514,explicit_alcohol,ownership_application_disposition,Venture 66 LLC,Halftime Pizza,"[""ownership_interest_change""]",granted,True,Venture 66 LLC,named_licensee_or_licensed_business; indirect_ownership_level_not_further_specified,[],[],,,False,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,5,5,5,Granted,"[""No owner/shareholder names or ownership percentages are stated for the ownership action; officer and manager names in the item are not substituted."", ""Board approval alone does not establish a completed transaction, current capitalization, control, or private-equity sponsorship.""]","5. Venture 66 LLC

Doing business as: Halftime Pizza
115 Causeway St, Boston, MA 02114
License #: LB-99514
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned for a change
in Ownership Interest.
Attorney: Thomas P. Miller

Granted"
