event_id,date,license_num,event_type,action_subtype,disposition,board_granted_application,completed_sale_verified,transferor,transferor_dba,transferee,transferee_dba,licensee,licensee_dba,pledge_recipient,from_address,to_address,source_id,source_url,page_start,page_end,item_number,outcome_text,referenced_approval_date,ambiguity_notes
BLB-2024-01-04-P-23,2024-01-04,,license_pledge,pledge_application_disposition,granted,True,False,The Family Restaurant Partners LLC,Backyard Betty’s,Reggie Rondo LLC,Small Victories,Reggie Rondo LLC,Small Victories,The Family Restaurant Partners LLC,"400 Dorchester St, South Boston, MA 02127","400 Dorchester St, South Boston, MA 02127",BLB-2024-01-04,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,9,9,23,Granted,,The source item omits a Boston LB license number; not inferred from another roster or document. | Destination address carried from explicit same-location statement.
BLB-2024-02-01-P-14,2024-02-01,LB98957,license_pledge,pledge_application_disposition,granted,True,False,116 Brighton License LLC,,"Jongro BBQ Market Allston, Inc.",Jongro BBQ Market,"Jongro BBQ Market Allston, Inc.",Jongro BBQ Market,116 Brighton License LLC,"116-120 Brighton Ave, Allston, MA 02134","116-120 Brighton Ave, Allston, MA 02134",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,7,7,14,Granted,,"Destination address carried from explicit same-location statement. | Same meeting records sequential transfers of LB-98957: Bedford Dining to 116 Brighton License, then 116 Brighton License to Jongro BBQ. These are separate proposed legs of one license chain."
BLB-2024-02-01-P-17,2024-02-01,LB99431,license_pledge,pledge_application_disposition,granted,True,False,Casa Cana Restaurant LLC,Casa Cana,"CFH 1234 Soldiers Field Road, LLC",Craft Food Halls,"CFH 1234 Soldiers Field Road, LLC",Craft Food Halls,"TDC 1234 Liquor, LLC","1234 Soldiers Field Rd, Brighton, MA 02134","1234 Soldiers Field Rd, Brighton, MA 02134",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,8,8,17,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-01-P-18,2024-02-01,LB99415,license_pledge,pledge_application_disposition,granted,True,False,"Pho on Thayer, LLC",Pho on Thayer,Nowon Seaport LLC,Nowon Seaport,Nowon Seaport LLC,Nowon Seaport,Northern Bank,"11 Thayer St, Roxbury, MA 02118","117 Seaport Blvd, Boston, MA 02110",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,9,9,18,Granted,,
BLB-2024-02-08-P-7,2024-02-08,,license_pledge,pledge_application_disposition,granted,True,False,"H and M Restaurant, Inc.",Sofia Italian Steakhouse,"VFW Parkway Restaurant Operator, LLC.",Sofia Italian Steakhouse,"VFW Parkway Restaurant Operator, LLC.",Sofia Italian Steakhouse,HarborOne Bank,"1430 VFW Parkway, West Roxbury, MA 02132","1430 VFW Parkway, West Roxbury, MA 02132",BLB-2024-02-08,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,5,5,7,Granted,,The source item omits a Boston LB license number; not inferred from another roster or document. | Destination address carried from explicit same-location statement.
BLB-2024-02-08-P-9,2024-02-08,LB153841,license_pledge,pledge_application_disposition,granted,True,False,Sahguna Inc.,Maverick Street Market,Krisha Corporation,Maverick Street Market,Krisha Corporation,Maverick Street Market,Rockland Trust Company,"205 Maverick St, East Boston, MA 02128","207 Maverick Street, Boston, MA 02128",BLB-2024-02-08,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,6,6,9,Granted,,
BLB-2024-02-29-P-13,2024-02-29,LB99060,license_pledge,pledge_application_disposition,granted,True,False,"Woods L Street Tavern, Inc.",Woods L Street Tavern,"Medico L Street Tavern, LLC.",L Street Tavern,"Medico L Street Tavern, LLC.",L Street Tavern,"Woods L Street Tavern, Inc.","658 E Eighth Street, South Boston, MA 02127","658 E Eighth Street, South Boston, MA 02127",BLB-2024-02-29,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,8,8,13,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-29-P-14,2024-02-29,LB99309,license_pledge,pledge_application_disposition,granted,True,False,"Allston Restaurant Group, LLC",,LaLaLand LLC,Blondie's,LaLaLand LLC,Blondie's,Allston Restaurant Group LLC,"458 Western Ave, Brighton, MA 02135","458 Western Ave, Brighton, MA 02135",BLB-2024-02-29,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,8,8,14,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-29-P-15,2024-02-29,LB101579,license_pledge,pledge_application_disposition,granted,True,False,"Maryanne’s Saloon, LLC",Maryanne’s,Flour & Egg LLC,SJ’s,Flour & Egg LLC,SJ’s,OPG 745 TRS (DE) LLC,"4-8 Franklin Street, Allston, MA 02134","745 Atlantic Ave, Boston, MA 02111",BLB-2024-02-29,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,8,8,15,Granted,,
BLB-2024-04-04-P-6,2024-04-04,LB99678,license_pledge,pledge_application_disposition,granted,True,False,"Blue Nile, Inc.",Blue Nile Restaurant,"Beza Mackenzie, LLC",Blue Nile,"Beza Mackenzie, LLC",Blue Nile,"Blue Nile, Inc.","389 Centre St, Jamaica Plain, MA 02130","389 Centre St, Jamaica Plain, MA 02130",BLB-2024-04-04,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,5,5,6,Granted,,Destination address carried from explicit same-location statement.
