candidate_id,source_id,source_url,source_sha256,archive_date,page_start,page_end,item_number,item_text,date,document_vote_date,license_number,license_num,normalized_license_num,outcome,disposition,outcome_text,board_granted_application,decision_bearing,completed_sale_verified,ambiguity_notes,review_status,event_id,event_type,action_subtype,transferor,transferor_dba,transferee,transferee_dba,from_address,to_address,pledge_recipient,parties,licensee,licensee_dba,collateral_as_stated
BLB-2021-01-28-c022,BLB-2021-01-28,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%201.28.21.pdf,49f97a49dae4e6f1cf8d07fc685ee120f5627707b6486e398e903aa2471518ec,2021-01-28,5,5,16,"16. KITTY O'SHEA'S, INC.
D/B/A: FLANN O'BRIEN'S
   1619 TREMONT ST
   ROXBURY, MA 02120
   License #: LB-99248
   Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned
to transfer the license from the above – To: MH Liquor LLC. d/b/a Flann O’Brien’s (at
the same location). Adam Sarbaugh, Manager. 1:00 A.M. Closing Hour.
   Attorney: Nicholas J. Zozula
TO BE RE-NOTICED",2021-01-28,2021-01-28,LB-99248,LB99248,LB99248,to_be_re_noticed,to_be_re_noticed,TO BE RE-NOTICED,False,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-01-28-c022-transfer,license_transfer,transfer_application_disposition,"KITTY O'SHEA'S, INC.",FLANN O'BRIEN'S,MH Liquor LLC.,Flann O’Brien’s,"1619 TREMONT ST ROXBURY, MA 02120","1619 TREMONT ST ROXBURY, MA 02120",,"{""transferor"": ""KITTY O'SHEA'S, INC."", ""transferee"": ""MH Liquor LLC.""}",,,
BLB-2021-01-28-c023,BLB-2021-01-28,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%201.28.21.pdf,49f97a49dae4e6f1cf8d07fc685ee120f5627707b6486e398e903aa2471518ec,2021-01-28,5,6,17,"17. UNO RESTAURANTS, LLC
D/B/A: Uno Pizzeria & Grill
  1 BROOKLINE AVE
  BOSTON, MA 02215
  License #: LB-98905
  Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned

       to transfer the license and the location from the above – To: Rockwood Music Hall
       Boston, LLC. D/B/A Rockwood Music Hall 88 Van Ness Street, Boston, MA 02215.
       This is a music venue that has both a ground floor and mezzanine floor with both seating
       and standing options available. The seated option has a total occupancy of 95 persons
       with 43 total seats. The standing option has a total occupancy of 120 persons with 27
       total seats. The venue has a total square footage of 1,847 square feet. Closing hour 2:00
       AM. Andrew Kaplan, Manager. Secondly has petitioned to change the License
       Type-From: Common Victualler 7 Day All Alcoholic Beverages License –To: General
       On Premise All Alcoholic Beverages License. Lastly has petitioned to Pledge the License
       to Boylston West, LLC.
          Attorney: Nicholas Zozula
       GRANTED",2021-01-28,2021-01-28,LB-98905,LB98905,LB98905,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-01-28-c023-transfer,license_transfer,transfer_application_disposition,"UNO RESTAURANTS, LLC",Uno Pizzeria & Grill,"Rockwood Music Hall Boston, LLC.",Rockwood Music Hall,"1 BROOKLINE AVE BOSTON, MA 02215","88 Van Ness Street, Boston, MA 02215",,"{""transferor"": ""UNO RESTAURANTS, LLC"", ""transferee"": ""Rockwood Music Hall Boston, LLC.""}",,,
BLB-2021-01-28-c023,BLB-2021-01-28,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%201.28.21.pdf,49f97a49dae4e6f1cf8d07fc685ee120f5627707b6486e398e903aa2471518ec,2021-01-28,5,6,17,"17. UNO RESTAURANTS, LLC
D/B/A: Uno Pizzeria & Grill
  1 BROOKLINE AVE
  BOSTON, MA 02215
  License #: LB-98905
  Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned

       to transfer the license and the location from the above – To: Rockwood Music Hall
       Boston, LLC. D/B/A Rockwood Music Hall 88 Van Ness Street, Boston, MA 02215.
       This is a music venue that has both a ground floor and mezzanine floor with both seating
       and standing options available. The seated option has a total occupancy of 95 persons
       with 43 total seats. The standing option has a total occupancy of 120 persons with 27
       total seats. The venue has a total square footage of 1,847 square feet. Closing hour 2:00
       AM. Andrew Kaplan, Manager. Secondly has petitioned to change the License
       Type-From: Common Victualler 7 Day All Alcoholic Beverages License –To: General
       On Premise All Alcoholic Beverages License. Lastly has petitioned to Pledge the License
       to Boylston West, LLC.
          Attorney: Nicholas Zozula
       GRANTED",2021-01-28,2021-01-28,LB-98905,LB98905,LB98905,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-01-28-c023-pledge,license_pledge,pledge_application_disposition,,,,,"1 BROOKLINE AVE BOSTON, MA 02215",,"Boylston West, LLC","{""licensee"": ""Rockwood Music Hall Boston, LLC."", ""pledge_recipient"": ""Boylston West, LLC""}","Rockwood Music Hall Boston, LLC.",Rockwood Music Hall,"[""license""]"
BLB-2021-02-04-c007,BLB-2021-02-04,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%202.4.21.pdf,f2c5775f180290a11fa4bbac4155c9e4e595e85cac06dbfa114e1283103348c6,2021-02-04,2,3,5,"5. ALGONQUIN CLUB OF BOSTON
      D/B/A: ALGONQUIN CLUB
         217 COMMONWEALTH AVE
         BOSTON, MA 02116
         License #: LB-98780
         Holder of a Club All-Alcoholic Beverages License has petitioned to change the d/b/a
      of the licensed business-From: Algonquin Club To: The ‘Quin House. Secondly, has

petitioned to change the manager of the licensed business–From: Norman B. Hall To:
Sumeet Jhingan. Lastly, has petitioned to Pledge the License To: Needham Bank.
  Attorney: Patricia A. Malone
GRANTED",2021-02-04,2021-02-04,LB-98780,LB98780,LB98780,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-04-c007-pledge,license_pledge,pledge_application_disposition,,,,,"217 COMMONWEALTH AVE BOSTON, MA 02116",,Needham Bank,"{""licensee"": ""ALGONQUIN CLUB OF BOSTON"", ""pledge_recipient"": ""Needham Bank""}",ALGONQUIN CLUB OF BOSTON,ALGONQUIN CLUB,"[""license""]"
BLB-2021-02-04-c009,BLB-2021-02-04,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%202.4.21.pdf,f2c5775f180290a11fa4bbac4155c9e4e595e85cac06dbfa114e1283103348c6,2021-02-04,3,3,7,"7. 79 PARK PLAZA, LLC
D/B/A: THE OYSTER CLUB
   91 PARK PZ
   BOSTON, MA 02116
   License #: LB-99383
   Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned
to transfer the license from the above - To: TDC Heritage Holdings LLC. (at the same
location). Closing hour 2:00 AM. David P. Morency, Manager.
GRANTED",2021-02-04,2021-02-04,LB-99383,LB99383,LB99383,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-04-c009-transfer,license_transfer,transfer_application_disposition,"79 PARK PLAZA, LLC",THE OYSTER CLUB,TDC Heritage Holdings LLC.,,"91 PARK PZ BOSTON, MA 02116","91 PARK PZ BOSTON, MA 02116",,"{""transferor"": ""79 PARK PLAZA, LLC"", ""transferee"": ""TDC Heritage Holdings LLC.""}",,,
BLB-2021-02-04-c010,BLB-2021-02-04,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%202.4.21.pdf,f2c5775f180290a11fa4bbac4155c9e4e595e85cac06dbfa114e1283103348c6,2021-02-04,3,3,8,"8. UNO RESTAURANTS, LLC
D/B/A: UNO CHICAGO GRILL
   731 BOYLSTON ST
   BOSTON, MA 02116
   License #: LB-98944
   Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned
to transfer the license and the location from the above – To: Kojam, LLC. 276 278
Newbury Street, Boston, MA 02116. In 4 rooms on first floor consisting of 4 dining areas
and bar with seating for 103, containing approximately 3,285 SF. In 2 rooms on lower
level consisting of wine bar with seating for 25, kitchen and restrooms containing
approximately 2,603 SF. 2 season outdoor patios (March November) on private property,
each seating for 20. Kenneth Oringer, Manager. Closing hour 1:00 AM.
   Attorney: Jon D. Aieta
GRANTED",2021-02-04,2021-02-04,LB-98944,LB98944,LB98944,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-04-c010-transfer,license_transfer,transfer_application_disposition,"UNO RESTAURANTS, LLC",UNO CHICAGO GRILL,"Kojam, LLC",,"731 BOYLSTON ST BOSTON, MA 02116","276 278 Newbury Street, Boston, MA 02116",,"{""transferor"": ""UNO RESTAURANTS, LLC"", ""transferee"": ""Kojam, LLC""}",,,
BLB-2021-02-04-c011,BLB-2021-02-04,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%202.4.21.pdf,f2c5775f180290a11fa4bbac4155c9e4e595e85cac06dbfa114e1283103348c6,2021-02-04,3,4,9,"9. 25 CHARLES ON THE HILL LLC
D/B/A:
   25 29 CHARLES ST
   BOSTON, MA 02114
   License #: LB-101659
   Holder of an Innholder All-Alcoholic Beverages License has petitioned to transfer the
license from the above – To: Minot Hospitality Group LLC. d/b/a Minot Hospitality
Group (same location). Michael Giammanco, Manager. 2:00 AM Closing Hour. Lastly,

       has petitioned to Pledge the License to 25 Charles Street Property Company, LLC.
         Attorney: Dennis A. Quilty
       CONTINUED TO FEBRUARY 24, 2021",2021-02-04,2021-02-04,LB-101659,LB101659,LB101659,continued,continued,"CONTINUED TO FEBRUARY 24, 2021",False,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-04-c011-transfer,license_transfer,transfer_application_disposition,25 CHARLES ON THE HILL LLC,,Minot Hospitality Group LLC.,Minot Hospitality Group,"25 29 CHARLES ST BOSTON, MA 02114","25 29 CHARLES ST BOSTON, MA 02114",,"{""transferor"": ""25 CHARLES ON THE HILL LLC"", ""transferee"": ""Minot Hospitality Group LLC.""}",,,
BLB-2021-02-04-c011,BLB-2021-02-04,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%202.4.21.pdf,f2c5775f180290a11fa4bbac4155c9e4e595e85cac06dbfa114e1283103348c6,2021-02-04,3,4,9,"9. 25 CHARLES ON THE HILL LLC
D/B/A:
   25 29 CHARLES ST
   BOSTON, MA 02114
   License #: LB-101659
   Holder of an Innholder All-Alcoholic Beverages License has petitioned to transfer the
license from the above – To: Minot Hospitality Group LLC. d/b/a Minot Hospitality
Group (same location). Michael Giammanco, Manager. 2:00 AM Closing Hour. Lastly,

       has petitioned to Pledge the License to 25 Charles Street Property Company, LLC.
         Attorney: Dennis A. Quilty
       CONTINUED TO FEBRUARY 24, 2021",2021-02-04,2021-02-04,LB-101659,LB101659,LB101659,continued,continued,"CONTINUED TO FEBRUARY 24, 2021",False,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-04-c011-pledge,license_pledge,pledge_application_disposition,,,,,"25 29 CHARLES ST BOSTON, MA 02114",,"25 Charles Street Property Company, LLC","{""licensee"": ""Minot Hospitality Group LLC."", ""pledge_recipient"": ""25 Charles Street Property Company, LLC""}",Minot Hospitality Group LLC.,Minot Hospitality Group,"[""license""]"
BLB-2021-02-04-c012,BLB-2021-02-04,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%202.4.21.pdf,f2c5775f180290a11fa4bbac4155c9e4e595e85cac06dbfa114e1283103348c6,2021-02-04,4,4,10,"10. BB KITCHEN, INC.
       D/B/A: ZUMA'S TEX MEX GRILL
          353A FANEUIL HALL MARKETPLACE
          BOSTON, MA 02109
          License #: LB-98930
          Holder of a Common Victualler 7 Day All- Alcoholic Beverages License has
       petitioned to transfer the license and the location from the above – To: Nando 393
       Hanover, Inc. d/b/a Nando’s Trattoria 391 395 Hanover Street Boston, MA 02113. In one
       large room on first floor with seating areas and bar (seating capacity of 42), kitchen and
       restrooms in rear, basement for storage and food preparation. Total square footage 2,000
       SF. There is one entrance and two exits. Closing hour 1:00 AM Friday- Saturday, 12:00
       AM Sunday-Thursday. Palmira Giangregorio Firicano, Manager.
       GRANTED",2021-02-04,2021-02-04,LB-98930,LB98930,LB98930,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-04-c012-transfer,license_transfer,transfer_application_disposition,"BB KITCHEN, INC.",ZUMA'S TEX MEX GRILL,"Nando 393 Hanover, Inc.",Nando’s Trattoria,"353A FANEUIL HALL MARKETPLACE BOSTON, MA 02109","391 395 Hanover Street Boston, MA 02113",,"{""transferor"": ""BB KITCHEN, INC."", ""transferee"": ""Nando 393 Hanover, Inc.""}",,,
BLB-2021-02-25-c017,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,5,5,10,"10. KITTY O'SHEA'S, INC.
D/B/A: FLANN O'BRIEN'S
   1619 TREMONT ST
   ROXBURY, MA 02120
   License #: LB-99248
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
to transfer the license from the above – To: MH Liquor LLC. d/b/a Flann O’Brien’s
(same location). Adam Sarbaugh, Manager. 1:00 A.M. Closing Hour.
   Attorney: Nicholas J. Zozula

GRANTED",2021-02-25,2021-02-25,LB-99248,LB99248,LB99248,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c017-transfer,license_transfer,transfer_application_disposition,"KITTY O'SHEA'S, INC.",FLANN O'BRIEN'S,MH Liquor LLC.,Flann O’Brien’s,"1619 TREMONT ST ROXBURY, MA 02120","1619 TREMONT ST ROXBURY, MA 02120",,"{""transferor"": ""KITTY O'SHEA'S, INC."", ""transferee"": ""MH Liquor LLC.""}",,,
