candidate_id,source_id,source_url,source_sha256,archive_date,page_start,page_end,item_number,item_text,date,document_vote_date,license_number,license_num,normalized_license_num,outcome,disposition,outcome_text,board_granted_application,decision_bearing,completed_sale_verified,ambiguity_notes,review_status,event_id,event_type,event_subtype,actions,entity_name,entity_dba,license_scope,parties_before,parties_after,equity_change_completion_verified,entity_conversion_explicit,entity_before,entity_after,ownership_subject_entity,ownership_subject_scope,parties,entity_change_source_quote
BLB-2021-01-28-c010,BLB-2021-01-28,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%201.28.21.pdf,49f97a49dae4e6f1cf8d07fc685ee120f5627707b6486e398e903aa2471518ec,2021-01-28,3,3,4,"4. THE LENOX HOTEL, L.L.C.
D/B/A: LENOX HOTEL
   61-69 EXETER ST
   BOSTON, MA 02116
   License #: LB-101622
   Holder of an Innholder All Alcoholic Beverages License has petitioned to change the
manager of the licensed business – From: Jeffrey G. Saunders To: Gary L. Saunders.
Secondly, has petitioned for a change in Officer/Director. Lastly, has petitioned for a
change in Ownership Interest.
GRANTED",2021-01-28,2021-01-28,LB-101622,LB101622,LB101622,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-01-28-c010-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change""]","THE LENOX HOTEL, L.L.C.",LENOX HOTEL,explicit_alcohol,[],[],False,False,,,"THE LENOX HOTEL, L.L.C.",licensee_entity,"{""licensee"": ""THE LENOX HOTEL, L.L.C.""}",
BLB-2021-01-28-c012,BLB-2021-01-28,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%201.28.21.pdf,49f97a49dae4e6f1cf8d07fc685ee120f5627707b6486e398e903aa2471518ec,2021-01-28,3,3,6,"6. The Pearl, Seafood Grill and Raw Bar, Inc.
D/B/A: The Pearl
   20B DISTRICT AVE
   DORCHESTER, MA 02125
   License #: LB-409585
   Holder of a (South Bay Restricted) Common Victualler 7 Day All Alcoholic Beverages
License has petitioned for a Change in Stock Interest.
   Attorney: Stephen V. Miller
GRANTED",2021-01-28,2021-01-28,LB-409585,LB409585,LB409585,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-01-28-c012-ownership,ownership_interest,ownership_application_disposition,"[""stock_interest_change""]","The Pearl, Seafood Grill and Raw Bar, Inc.",The Pearl,explicit_alcohol,[],[],False,False,,,"The Pearl, Seafood Grill and Raw Bar, Inc.",licensee_entity,"{""licensee"": ""The Pearl, Seafood Grill and Raw Bar, Inc.""}",
BLB-2021-02-04-c008,BLB-2021-02-04,https://www.boston.gov/sites/default/files/file/2021/02/Board%27s%20Voting%20Agenda%202.4.21.pdf,f2c5775f180290a11fa4bbac4155c9e4e595e85cac06dbfa114e1283103348c6,2021-02-04,3,3,6,"6. THAILAND INTERNATIONAL CORPORATION
D/B/A: HOUSE OF SIAM
   542 COLUMBUS AVE
   ROXBURY, MA 02118
   License #: LB-99575
   Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned
for a change of Officers/Directors and New Stockholders. Secondly, has petitioned for a
change of Stock/Ownership Interest. Lastly, has petitioned to change the manager of the
licensed business – From: James Rodgers To: Patchara Srisuk.
   Attorney: Khuong Nguyen
GRANTED",2021-02-04,2021-02-04,LB-99575,LB99575,LB99575,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-02-04-c008-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change"", ""stock_interest_change"", ""new_stockholders""]",THAILAND INTERNATIONAL CORPORATION,HOUSE OF SIAM,explicit_alcohol,[],[],False,False,,,THAILAND INTERNATIONAL CORPORATION,licensee_entity,"{""licensee"": ""THAILAND INTERNATIONAL CORPORATION""}",
BLB-2021-02-25-c015,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,5,5,8,"8. NEW JAMAICA PLAIN MARKET, INC.
D/B/A: RUGGIERO'S MARKET
   3345 WASHINGTON ST
   JAMAICA PLAIN, MA 02130
   License #: LB-101976
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned for a
Change in Stock Interest. Attorney: John M. Mooradian

GRANTED",2021-02-25,2021-02-25,LB-101976,LB101976,LB101976,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c015-ownership,ownership_interest,ownership_application_disposition,"[""stock_interest_change""]","NEW JAMAICA PLAIN MARKET, INC.",RUGGIERO'S MARKET,explicit_alcohol,[],[],False,False,,,"NEW JAMAICA PLAIN MARKET, INC.",licensee_entity,"{""licensee"": ""NEW JAMAICA PLAIN MARKET, INC.""}",
BLB-2021-02-25-c016,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,5,5,9,"9. S&H NORTH STATION, INC.
D/B/A: NORTH STATION LIQUORS
   103 CAUSEWAY ST
   BOSTON, MA 02114
   License #: LB-101982
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned for a
change of Officer/Director. Lastly, has petitioned for a transfer of Stock/Ownership
Interest.
   Attorney: John M. Mooradian

GRANTED",2021-02-25,2021-02-25,LB-101982,LB101982,LB101982,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c016-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change"", ""stock_interest_change""]","S&H NORTH STATION, INC.",NORTH STATION LIQUORS,explicit_alcohol,[],[],False,False,,,"S&H NORTH STATION, INC.",licensee_entity,"{""licensee"": ""S&H NORTH STATION, INC.""}",
BLB-2021-03-04-c010,BLB-2021-03-04,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%203.4.21.pdf,8f5a7869c160824a34d811c3261a4be2ccd1b994be0e526890bbccf19dde0fd6,2021-03-04,3,3,8,"8. PETIT ROBERT, INC.
   D/B/A: PETIT ROBERT BISTRO
   480 COLUMBUS AVE
   ROXBURY, MA 02118
   License #: LB-99769
   Holder of a Common Victualler 7-Day Wines and Malt Beverages w/ Liqueurs License
   has petitioned for a change in Officers/Directors of the corporation. Lastly, has petitioned
   for a change of Stock Ownership/Interest.
   Attorney: Andrew F. Upton
   GRANTED",2021-03-04,2021-03-04,LB-99769,LB99769,LB99769,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-03-04-c010-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change"", ""stock_interest_change""]","PETIT ROBERT, INC.",PETIT ROBERT BISTRO,explicit_alcohol,[],[],False,False,,,"PETIT ROBERT, INC.",licensee_entity,"{""licensee"": ""PETIT ROBERT, INC.""}",
BLB-2021-03-04-c011,BLB-2021-03-04,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%203.4.21.pdf,8f5a7869c160824a34d811c3261a4be2ccd1b994be0e526890bbccf19dde0fd6,2021-03-04,3,3,9,"9. HOUSE OF SIAM INC.
   D/B/A: HOUSE OF SIAM ON TREMONT
   592A - 592 TREMONT ST
   ROXBURY, MA 02118
   License #: LB-99579
   Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned
   for a change of Officers/Directors of the Corporation. Secondly, has petitioned for a
   change of Stock/Ownership Interest. Lastly, has petitioned to change the manager of the
   licensed business – From: James Rodgers To: Patchara Srisuk.
   Attorney: Khuong Nguyen
   GRANTED",2021-03-04,2021-03-04,LB-99579,LB99579,LB99579,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-03-04-c011-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change"", ""stock_interest_change""]",HOUSE OF SIAM INC.,HOUSE OF SIAM ON TREMONT,explicit_alcohol,[],[],False,False,,,HOUSE OF SIAM INC.,licensee_entity,"{""licensee"": ""HOUSE OF SIAM INC.""}",
BLB-2021-04-01-c020,BLB-2021-04-01,https://www.boston.gov/sites/default/files/file/2021/04/Board%20Voting%20Agenda%204.1.21.pdf,ae72f5790d5f45c77a4bb1b615c159e98fc344b9f8c0c7ed99c1408c8228c353,2021-04-01,6,6,14,"14. JABC CORP.
D/B/A:
  658-660 E BROADWAY
  SOUTH BOSTON, MA 02127
  License #: LB-99057
  Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned for a
Change in Stock Interest.
  Attorney: Steffani Boudreau
GRANTED",2021-04-01,2021-04-01,LB-99057,LB99057,LB99057,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-04-01-c020-ownership,ownership_interest,ownership_application_disposition,"[""stock_interest_change""]",JABC CORP.,,explicit_alcohol,[],[],False,False,,,JABC CORP.,licensee_entity,"{""licensee"": ""JABC CORP.""}",
BLB-2021-04-08-v1-c009,BLB-2021-04-08-v1,https://www.boston.gov/sites/default/files/file/2021/04/Board%20Voting%20Agenda%204.8.21_0.pdf,133830192dfae30ffbcd6c81c98275f63ec1bbe24e6995c177104f3f0863a5cf,2021-04-08,2,3,8,"8. JIMOTHY LLC
D/B/A: ROZA LYONS

  709 E BROADWAY
  SOUTH BOSTON, MA 02127
  License #: LB-138888
  Holder of a Common Victualler 7 Day Wines & Malt Beverages w/ Liqueurs License
has petitioned for a change of
  Ownership Interest.
  Attorney: Kristen L. Scanlon
GRANTED",2021-04-08,2021-04-08,LB-138888,LB138888,LB138888,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-04-08-v1-c009-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change""]",JIMOTHY LLC,ROZA LYONS,explicit_alcohol,[],[],False,False,,,JIMOTHY LLC,licensee_entity,"{""licensee"": ""JIMOTHY LLC""}",
BLB-2021-04-08-v1-c010,BLB-2021-04-08-v1,https://www.boston.gov/sites/default/files/file/2021/04/Board%20Voting%20Agenda%204.8.21_0.pdf,133830192dfae30ffbcd6c81c98275f63ec1bbe24e6995c177104f3f0863a5cf,2021-04-08,3,3,9,"9. SOUTH BOSTON CANDLEPINS, INC.
D/B/A: SOUTH BOSTON CANDLEPINS
   543 E BROADWAY
   SOUTH BOSTON, MA 02127
   License #: LB- 99636
   Holder of a Common Victualler 7 Day Wines & Malt Beverages License has petitioned
for a change of Officers/Directors of
   the Corporation. Secondly, has petitioned for a change of Stock Interest. Lastly, has
petitioned for a change in Ownership Interest.
GRANTED",2021-04-08,2021-04-08,LB-99636,LB99636,LB99636,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-04-08-v1-c010-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change"", ""stock_interest_change""]","SOUTH BOSTON CANDLEPINS, INC.",SOUTH BOSTON CANDLEPINS,explicit_alcohol,[],[],False,False,,,"SOUTH BOSTON CANDLEPINS, INC.",licensee_entity,"{""licensee"": ""SOUTH BOSTON CANDLEPINS, INC.""}",
