candidate_id,source_id,source_url,source_sha256,archive_date,page_start,page_end,item_number,heading,item_text,license_numbers,date,document_vote_date,license_number,license_num,normalized_license_num,license_number_raw,outcome,disposition,outcome_text,decision_bearing,board_granted_application,completed_sale_verified,ambiguity_notes,review_status,licensee,licensee_dba,from_address,transferor,transferor_dba,transferee,transferee_dba,to_address,event_id,event_type,action_subtype,parties,source_hash,pledge_recipient,pledge_recipient_raw,pledge_recipients,current_lien_verified,outcome_text_raw
BLB-2022-01-06-022,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,8,8,12,"The Wine Bar, LLC","12. The Wine Bar, LLC

Doing business as: 49 SOCIAL
49 Temple Pl., Boston, MA 02111
License #: LB‑99190
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to
transfer the license from the above – To: K&K Restaurant Group Inc. d/b/a Estella (at the same
location).
Manager: Helder Brandao.
Closing hour 2:00 AM.
Attorney: Adam R. Barnosky
Granted

______________________________________________________________________________","[""LB-99190""]",2022-01-06,2022-01-06,LB-99190,LB99190,LB99190,LB‑99190,granted,granted,Granted,True,True,False,[],manually_reviewed,"The Wine Bar, LLC",49 SOCIAL,"49 Temple Pl., Boston, MA 02111","The Wine Bar, LLC",49 SOCIAL,K&K Restaurant Group Inc.,Estella,"49 Temple Pl., Boston, MA 02111",BLB-2022-01-06-022-transfer,license_transfer,transfer_application_disposition,"{""licensee"": ""The Wine Bar, LLC"", ""licensee_dba"": ""49 SOCIAL"", ""from_address"": ""49 Temple Pl., Boston, MA 02111"", ""transferor"": ""The Wine Bar, LLC"", ""transferor_dba"": ""49 SOCIAL"", ""transferee"": ""K&K Restaurant Group Inc."", ""transferee_dba"": ""Estella"", ""to_address"": ""49 Temple Pl., Boston, MA 02111""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,,,,,
BLB-2022-01-06-023,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,9,9,13,"Equator, Inc.","13. Equator, Inc.

Doing business as: EQUATOR
1721 Washington St., Roxbury, MA 02118
License #: LB‑99647
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned to
transfer the license from the above – To: P&Y Ventures, Inc. d/b/a Yunnan Kitchen (at the same
location).
Yisha Zhou Siu, Manager.
11:00 PM Closing Hour.
Attorney: Meihuei Hu

Granted
______________________________________________________________________________","[""LB-99647""]",2022-01-06,2022-01-06,LB-99647,LB99647,LB99647,LB‑99647,granted,granted,Granted,True,True,False,[],manually_reviewed,"Equator, Inc.",EQUATOR,"1721 Washington St., Roxbury, MA 02118","Equator, Inc.",EQUATOR,"P&Y Ventures, Inc.",Yunnan Kitchen,"1721 Washington St., Roxbury, MA 02118",BLB-2022-01-06-023-transfer,license_transfer,transfer_application_disposition,"{""licensee"": ""Equator, Inc."", ""licensee_dba"": ""EQUATOR"", ""from_address"": ""1721 Washington St., Roxbury, MA 02118"", ""transferor"": ""Equator, Inc."", ""transferor_dba"": ""EQUATOR"", ""transferee"": ""P&Y Ventures, Inc."", ""transferee_dba"": ""Yunnan Kitchen"", ""to_address"": ""1721 Washington St., Roxbury, MA 02118""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,,,,,
BLB-2022-01-06-024,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,9,9,14,"Umnvag Kenmore, LLC","14. Umnvag Kenmore, LLC

528 Commonwealth Ave., Boston, MA 02115
License #: LB‑99215
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to
transfer the license from the above‑To: BR Kenmore, LLC d/b/a Blue Ribbon Brasserie, Blue
Ribbon Sushi, Pescador (at the same location). Robert Allen Andrew Jr., Manager. Closing hour
2:00 AM. Lastly, has petitioned to Pledge the License to UMNVAG Kenmore, LLC.
Attorney: Dennis A. Quilty

Granted
______________________________________________________________________________","[""LB-99215""]",2022-01-06,2022-01-06,LB-99215,LB99215,LB99215,LB‑99215,granted,granted,Granted,True,True,False,[],manually_reviewed,"Umnvag Kenmore, LLC",,"528 Commonwealth Ave., Boston, MA 02115","Umnvag Kenmore, LLC",,"BR Kenmore, LLC","Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador","528 Commonwealth Ave., Boston, MA 02115",BLB-2022-01-06-024-transfer,license_transfer,transfer_application_disposition,"{""licensee"": ""Umnvag Kenmore, LLC"", ""licensee_dba"": null, ""from_address"": ""528 Commonwealth Ave., Boston, MA 02115"", ""transferor"": ""Umnvag Kenmore, LLC"", ""transferor_dba"": null, ""transferee"": ""BR Kenmore, LLC"", ""transferee_dba"": ""Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador"", ""to_address"": ""528 Commonwealth Ave., Boston, MA 02115""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,,,,,
BLB-2022-01-06-024,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,9,9,14,"Umnvag Kenmore, LLC","14. Umnvag Kenmore, LLC

528 Commonwealth Ave., Boston, MA 02115
License #: LB‑99215
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to
transfer the license from the above‑To: BR Kenmore, LLC d/b/a Blue Ribbon Brasserie, Blue
Ribbon Sushi, Pescador (at the same location). Robert Allen Andrew Jr., Manager. Closing hour
2:00 AM. Lastly, has petitioned to Pledge the License to UMNVAG Kenmore, LLC.
Attorney: Dennis A. Quilty

Granted
______________________________________________________________________________","[""LB-99215""]",2022-01-06,2022-01-06,LB-99215,LB99215,LB99215,LB‑99215,granted,granted,Granted,True,True,False,[],manually_reviewed,"BR Kenmore, LLC","Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador","528 Commonwealth Ave., Boston, MA 02115","Umnvag Kenmore, LLC",,"BR Kenmore, LLC","Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador","528 Commonwealth Ave., Boston, MA 02115",BLB-2022-01-06-024-pledge,license_pledge,pledge_application_disposition,"{""licensee"": ""BR Kenmore, LLC"", ""licensee_dba"": ""Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador"", ""from_address"": ""528 Commonwealth Ave., Boston, MA 02115"", ""transferor"": ""Umnvag Kenmore, LLC"", ""transferor_dba"": null, ""transferee"": ""BR Kenmore, LLC"", ""transferee_dba"": ""Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador"", ""to_address"": ""528 Commonwealth Ave., Boston, MA 02115"", ""pledge_recipient"": ""UMNVAG Kenmore, LLC""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,"UMNVAG Kenmore, LLC","UMNVAG Kenmore, LLC","[""UMNVAG Kenmore, LLC""]",False,
BLB-2022-01-06-025,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,9,9,15,"Umnvag Kenmore, LLC","15. Umnvag Kenmore, LLC

498 Commonwealth Ave., Boston, MA 02215
License #: LB‑99019
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to
transfer the license from the above‑To: BR Kenmore, LLC d/b/a Blue Ribbon Brasserie, Blue
Ribbon Sushi, Pescador (at the same location). Robert Allen Andrew Jr., Manager. Closing hour
2:00 AM. Lastly, has petitioned to Pledge the License to UMNVAG Kenmore, LLC.
Attorney: Dennis A. Quilty

Granted
______________________________________________________________________________","[""LB-99019""]",2022-01-06,2022-01-06,LB-99019,LB99019,LB99019,LB‑99019,granted,granted,Granted,True,True,False,[],manually_reviewed,"Umnvag Kenmore, LLC",,"498 Commonwealth Ave., Boston, MA 02215","Umnvag Kenmore, LLC",,"BR Kenmore, LLC","Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador","498 Commonwealth Ave., Boston, MA 02215",BLB-2022-01-06-025-transfer,license_transfer,transfer_application_disposition,"{""licensee"": ""Umnvag Kenmore, LLC"", ""licensee_dba"": null, ""from_address"": ""498 Commonwealth Ave., Boston, MA 02215"", ""transferor"": ""Umnvag Kenmore, LLC"", ""transferor_dba"": null, ""transferee"": ""BR Kenmore, LLC"", ""transferee_dba"": ""Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador"", ""to_address"": ""498 Commonwealth Ave., Boston, MA 02215""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,,,,,
BLB-2022-01-06-025,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,9,9,15,"Umnvag Kenmore, LLC","15. Umnvag Kenmore, LLC

498 Commonwealth Ave., Boston, MA 02215
License #: LB‑99019
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to
transfer the license from the above‑To: BR Kenmore, LLC d/b/a Blue Ribbon Brasserie, Blue
Ribbon Sushi, Pescador (at the same location). Robert Allen Andrew Jr., Manager. Closing hour
2:00 AM. Lastly, has petitioned to Pledge the License to UMNVAG Kenmore, LLC.
Attorney: Dennis A. Quilty

Granted
______________________________________________________________________________","[""LB-99019""]",2022-01-06,2022-01-06,LB-99019,LB99019,LB99019,LB‑99019,granted,granted,Granted,True,True,False,[],manually_reviewed,"BR Kenmore, LLC","Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador","498 Commonwealth Ave., Boston, MA 02215","Umnvag Kenmore, LLC",,"BR Kenmore, LLC","Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador","498 Commonwealth Ave., Boston, MA 02215",BLB-2022-01-06-025-pledge,license_pledge,pledge_application_disposition,"{""licensee"": ""BR Kenmore, LLC"", ""licensee_dba"": ""Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador"", ""from_address"": ""498 Commonwealth Ave., Boston, MA 02215"", ""transferor"": ""Umnvag Kenmore, LLC"", ""transferor_dba"": null, ""transferee"": ""BR Kenmore, LLC"", ""transferee_dba"": ""Blue Ribbon Brasserie, Blue Ribbon Sushi, Pescador"", ""to_address"": ""498 Commonwealth Ave., Boston, MA 02215"", ""pledge_recipient"": ""UMNVAG Kenmore, LLC""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,"UMNVAG Kenmore, LLC","UMNVAG Kenmore, LLC","[""UMNVAG Kenmore, LLC""]",False,
BLB-2022-01-06-026,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,10,10,16,Baked Daily Corporation,"16. Baked Daily Corporation

Doing business as: PANIFICIO
144 ‑ 162 Charles St., Boston, MA 02114
License #: LB‑99603
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned to
transfer the license and the location from the above – To: Immersive Art Space Boston LLC
located at 130 Columbus Avenue (Saunders Castle at Park Plaza) Boston, Ma 02116. The
premises consist of approximately 14,642SF exhibition space on the first floor, main entrance on
Columbus Avenue, Restrooms on 1st floor with additional restroom in basement, retail area and
bar area, 3 exits to ally way, exit at rear, 2 exits on Columbus Ave. Closing hour 11:00 PM.
Secondly, has petitioned to change the License Category and Type ‑ From: S12 Restaurant
Common Victualler 7 Day Wines and Malt Beverages License To: S12 General On‑ Premises
Wine & Malt Beverages with Liqueurs. Maria Shclover, Manager.
Attorney: Patricia Lang Farnsworth

Granted
______________________________________________________________________________","[""LB-99603""]",2022-01-06,2022-01-06,LB-99603,LB99603,LB99603,LB‑99603,granted,granted,Granted,True,True,False,[],manually_reviewed,Baked Daily Corporation,PANIFICIO,"144 ‑ 162 Charles St., Boston, MA 02114",Baked Daily Corporation,PANIFICIO,Immersive Art Space Boston LLC,,"130 Columbus Avenue (Saunders Castle at Park Plaza) Boston, Ma 02116",BLB-2022-01-06-026-transfer,license_transfer,transfer_application_disposition,"{""licensee"": ""Baked Daily Corporation"", ""licensee_dba"": ""PANIFICIO"", ""from_address"": ""144 ‑ 162 Charles St., Boston, MA 02114"", ""transferor"": ""Baked Daily Corporation"", ""transferor_dba"": ""PANIFICIO"", ""transferee"": ""Immersive Art Space Boston LLC"", ""transferee_dba"": null, ""to_address"": ""130 Columbus Avenue (Saunders Castle at Park Plaza) Boston, Ma 02116""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,,,,,
BLB-2022-01-06-027,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,10,10,17,"Donna Temple, LLC","17. Donna Temple, LLC

Doing business as: STODDARD'S FINE FOOD AND ALE
48 ‑ 50 Temple Pl., Boston, MA 02111
License #: LB‑98906
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to
transfer the license and the location from the above – To: ReelHouse Oyster Bar Seaport LLC
d/b/a ReelHouse Oyster located at 10 Waterside Drive Boston, MA 02210. Premise consisting of
+/‑ 1,857 SF: On ground floor in one main room with bar area, bar dining area, and chef bar.
Kitchen, storage, and restrooms located to left of bar and dining areas. Main entrance located on
end of pier with one additional entrance/exit to right of bar and dining area and one additional
entrance/exit located at rear of bar and dining area. Three annual outdoor patios consisting of +/‑
1,058 SF located on private property (same hours) . Additionally, Applicant seeks to remove
existing conditions on prior Licensee.
Thomas Baird Ferguson, Manager.
Closing hour 1AM.
Attorney: William Burke

Continued to January 26, 2022 Transactional Hearing

______________________________________________________________________________","[""LB-98906""]",2022-01-06,2022-01-06,LB-98906,LB98906,LB98906,LB‑98906,continued,continued,"Continued to January 26, 2022 Transactional Hearing",True,False,False,[],manually_reviewed,"Donna Temple, LLC",STODDARD'S FINE FOOD AND ALE,"48 ‑ 50 Temple Pl., Boston, MA 02111","Donna Temple, LLC",STODDARD'S FINE FOOD AND ALE,ReelHouse Oyster Bar Seaport LLC,ReelHouse Oyster,"10 Waterside Drive Boston, MA 02210",BLB-2022-01-06-027-transfer,license_transfer,transfer_application_disposition,"{""licensee"": ""Donna Temple, LLC"", ""licensee_dba"": ""STODDARD'S FINE FOOD AND ALE"", ""from_address"": ""48 ‑ 50 Temple Pl., Boston, MA 02111"", ""transferor"": ""Donna Temple, LLC"", ""transferor_dba"": ""STODDARD'S FINE FOOD AND ALE"", ""transferee"": ""ReelHouse Oyster Bar Seaport LLC"", ""transferee_dba"": ""ReelHouse Oyster"", ""to_address"": ""10 Waterside Drive Boston, MA 02210""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,,,,,
BLB-2022-01-06-041,BLB-2022-01-06,https://www.boston.gov/sites/default/files/file/2022/01/Final%201-6-22%20Voting%20Agenda%20%281%29.pdf,b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,2022-01-06,15,15,1,"The Board deferred the following to allow for completion of the community process,","1.       The Board deferred the following to allow for completion of the community process,
which has occurred: Crt Food & Beverage, Inc. d/b/a Whiskey’s Steakhouse & Saloon, located at
885 Boylston St., Boston, MA 02116 License #: LB‑98949 Holder of a Common Victualler 7
Day All‑Alcoholic Beverages License has petitioned to transfer the license and the location from
the above – To: Mecha Noodle Bar Boston, LLC d/b/a Mecha Noodle Bar located at 44
Thomson Place, Boston, MA 02210. Premise consists of – 2,674 total square feet: On ground
floor, in one main room with dining area, bar seating and mezzanine level seating, main
entrance/exit on Thomson Place, additional exit in rear. Kitchen and storage in rear. Closing hour
12:30 AM. Charith N. Jayasekera, Manager. Attorney: Kristen L. Scanlon

Granted - 11:00 PM closing hour Sunday - Wednesday, 12:30 AM closing hour
Thursday-Saturday","[""LB-98949""]",2022-01-06,2022-01-06,LB-98949,LB98949,LB98949,LB‑98949,granted,granted,"Granted - 11:00 PM closing hour Sunday - Wednesday, 12:30 AM closing hour Thursday-Saturday",True,True,False,[],manually_reviewed,"Crt Food & Beverage, Inc.",Whiskey’s Steakhouse & Saloon,"885 Boylston St., Boston, MA 02116","Crt Food & Beverage, Inc.",Whiskey’s Steakhouse & Saloon,"Mecha Noodle Bar Boston, LLC",Mecha Noodle Bar,"44 Thomson Place, Boston, MA 02210",BLB-2022-01-06-041-transfer,license_transfer,transfer_application_disposition,"{""licensee"": ""Crt Food & Beverage, Inc."", ""licensee_dba"": ""Whiskey’s Steakhouse & Saloon"", ""from_address"": ""885 Boylston St., Boston, MA 02116"", ""transferor"": ""Crt Food & Beverage, Inc."", ""transferor_dba"": ""Whiskey’s Steakhouse & Saloon"", ""transferee"": ""Mecha Noodle Bar Boston, LLC"", ""transferee_dba"": ""Mecha Noodle Bar"", ""to_address"": ""44 Thomson Place, Boston, MA 02210""}",b3c32365a321fdf58fa9be203e5e6834f75f0270ab2ba234dba6d5e587e9303e,,,,,
BLB-2022-01-27-015,BLB-2022-01-27,https://www.boston.gov/sites/default/files/file/2022/01/Voting%20Minutes%20Jan%2027.docx.pdf,12e70f8b09c17b9dcd1547bced7c030bf4d3f8532b1ba0d59a84e21d15ae21bc,2022-01-27,6,6,6,"Black Bottle Wines, Llc.","6. Black Bottle Wines, Llc.

Doing business as: Corossol Wines
899 Congress St., Boston, MA 02210
License #: LB‑457684
Holder of a Retail Package Store All‑Alcoholic Beverages License has petitioned to Pledge their
License To: Eastern Bank.

Granted
______________________________________________________________________________","[""LB-457684""]",2022-01-27,2022-01-27,LB-457684,LB457684,LB457684,LB‑457684,granted,granted,Granted,True,True,False,[],manually_reviewed,"Black Bottle Wines, Llc.",Corossol Wines,"899 Congress St., Boston, MA 02210","Black Bottle Wines, Llc.",Corossol Wines,,,,BLB-2022-01-27-015-pledge,license_pledge,pledge_application_disposition,"{""licensee"": ""Black Bottle Wines, Llc."", ""licensee_dba"": ""Corossol Wines"", ""from_address"": ""899 Congress St., Boston, MA 02210"", ""transferor"": ""Black Bottle Wines, Llc."", ""transferor_dba"": ""Corossol Wines"", ""transferee"": null, ""transferee_dba"": null, ""to_address"": null, ""pledge_recipient"": ""Eastern Bank""}",12e70f8b09c17b9dcd1547bced7c030bf4d3f8532b1ba0d59a84e21d15ae21bc,Eastern Bank,Eastern Bank,"[""Eastern Bank""]",False,
