candidate_id,source_id,source_url,source_sha256,archive_date,page_start,page_end,item_number,heading,item_text,license_numbers,date,document_vote_date,license_number,license_num,normalized_license_num,license_number_raw,outcome,disposition,outcome_text,decision_bearing,board_granted_application,completed_sale_verified,ambiguity_notes,review_status,classification,source_hash
BLB-2022-03-03-020,BLB-2022-03-03,https://www.boston.gov/sites/default/files/file/2022/03/Voting%20Minutes%203-3-22%20-%20Final.docx.pdf,3960e526806302ec4504ab2471f7d439434304d735314e4a3eeb790198f57b39,2022-03-03,7,7,14,Cork & Tipp Tavern Inc.,"14. Cork & Tipp Tavern Inc.

Doing business as: Tavern at the End of the World
108 Cambridge St., Charlestown, MA 02129
License #: LB‑98967
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to amend
the description of the license business – From: Rear entrance for stock; two rooms and kitchen
on first floor capacity 70; cellar for stock. To: Rear Entrance for stock; two rooms and kitchen on
first floor; capacity 70 inside; cellar for stock; outdoor patio on private property 1,593 SF with
50 seats; patio hours will be from 10am‑11pm for the months of March through November.
Attorney: Andrew F. Upton

Granted","[""LB-98967""]",2022-03-03,2022-03-03,LB-98967,LB98967,LB98967,LB‑98967,granted,granted,Granted,True,True,False,[],manually_reviewed,other_keyword_context,3960e526806302ec4504ab2471f7d439434304d735314e4a3eeb790198f57b39
BLB-2022-03-03-021,BLB-2022-03-03,https://www.boston.gov/sites/default/files/file/2022/03/Voting%20Minutes%203-3-22%20-%20Final.docx.pdf,3960e526806302ec4504ab2471f7d439434304d735314e4a3eeb790198f57b39,2022-03-03,8,8,15,"Lolita Boston, LLC","15. Lolita Boston, LLC

Doing business as: Lolita Cocina & Tequila Bar
271 Dartmouth St., Boston, MA 02116
License #: LB‑99029
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to amend
the description of the licensed business‑ Entrance from lobby; side entrance from alley for stock;
in two rooms and kitchen on first floor; two stock rooms in basement; and outdoor seasonal patio
on DW land from April through October for 10 patrons. Capacity: 12@ bar stools; 146@tables
and chairs; 85 standing. To: 8,310SF:on first floor, main entrance/exit on Dartmouth St. 3 main
dining rooms (seating capacity of 233) with 8 dining areas, 1 main bar and 2 additional side bars.
Kitchen and offices in rear, stockrooms in basement. Seasonal outdoor patio on public property
from April‑October, 11PM closing hour. Additional exits in alley and on the corner of Dartmouth
and & Newbury Streets.
Attorney: Kristen L. Scanlon

Granted
______________________________________________________________________________","[""LB-99029""]",2022-03-03,2022-03-03,LB-99029,LB99029,LB99029,LB‑99029,granted,granted,Granted,True,True,False,[],manually_reviewed,other_keyword_context,3960e526806302ec4504ab2471f7d439434304d735314e4a3eeb790198f57b39
BLB-2022-03-24-016,BLB-2022-03-24,https://www.boston.gov/sites/default/files/file/2022/03/Voting%20Minutes%203-24-22.docx.pdf,73e4b289780099189c5ac2bef216a2197eb43a3efca1f1655eb5ce3e13dfa0e6,2022-03-24,7,7,7,"TDC 1234 Owner, LLC","7. TDC 1234 Owner, LLC

Doing business as: Studio Allston Hotel
1234 Soldiers Field Rd., Brighton, MA 02134
License #: LB-468377
Has applied for an Innholder (No Alcohol) License to be exercised on the above - Bouquet art themed
hotel offering 117 guest rooms including 10 suites that offer conference spaces, a fitness room and food
beverage services offered by the leased restaurant operated by a third party (Casa Cana).
Manager: Arnaldo Almonte

Granted
________________________________________________________________________________________________","[""LB-468377""]",2022-03-24,2022-03-24,LB-468377,LB468377,LB468377,LB-468377,granted,granted,Granted,True,True,False,[],manually_reviewed,other_keyword_context,73e4b289780099189c5ac2bef216a2197eb43a3efca1f1655eb5ce3e13dfa0e6
BLB-2022-04-07-033,BLB-2022-04-07,https://www.boston.gov/sites/default/files/file/2022/04/Voting%20Minutes%204-7-22.pdf,274e353a671040bb08bc2ea024f77cb2662256e0f6cdbb3661dbd7210da820f6,2022-04-07,13,13,24,"Cisco Brewers, Distillers, Vintners, Seaport, Inc.","24. Cisco Brewers, Distillers, Vintners, Seaport, Inc.

Doing business as: Cisco Seaport
85 Northern Ave., Boston, MA 02210
License #: LB-471213
Has applied for a 19H (Wines, Malts, Distillery) Pouring License to be exercised on the above The
premises to be licensed under G.L. c. 138 § 19H is an outdoor patio located at 85 Northern Ave, Boston,
MA 02210, commonly known as Block G of Seaport Square, in Boston’s seaport. Located on the licensed
premises is a farmer brewery, a farmer winery, and a farmer distillery. Cisco Brewers, Distillers, Vintners,
Seaport, Inc. manufactures beer, vints wine, and distills spirits, and is owned by the exact same five
individuals, as set forth in the §19H application. There are three pouring stations on the §19H premises
where beer, wine and spirits will be sold. There is also a retail sales to go booth which sells take out
products and merchandise. Also on the premises is a stage for live music, a bathroom station, an office
and an ID/security hut. The licensed premises begins at the corner of Seaport Boulevard and Pier 4
Boulevard, heads northward, then northeast towards the northeastern corner of the parcel, then heading
south along Northern Avenue until the corner of Northern Avenue and Pier 4 Boulevard, then back to the
corner of Seaport Boulevard and Pier 4 Boulevard. The patio will operate seasonally, and for the year
2022, the patio will be operated from April through November. The property, which is located at 85
Northern Ave, Boston, MA 02210, commonly known as Block G of Seaport Square, in Boston’s seaport,
is private property which is leased by the applicant. A copy of the lease has been attached to this
application. The total square footage of the premises is 20,360 square feet, with a seating capacity of 66
people, and a total occupancy of 996.The hours of operation are as follows: • Monday Holidays and
Private Events, 4 10pm • Tuesdays Thursdays, 4 10pm • Fridays, 3 11pm • Saturdays, 12 11pm • Sundays,
12 10pm.
Manager: Nicholas Mitchell
Closing Time: 11:00 PM
Attorney: Zachary Luczyk

Granted
_____________________________________________________________________________________","[""LB-471213""]",2022-04-07,2022-04-07,LB-471213,LB471213,LB471213,LB-471213,granted,granted,Granted,True,True,False,[],manually_reviewed,other_keyword_context,274e353a671040bb08bc2ea024f77cb2662256e0f6cdbb3661dbd7210da820f6
BLB-2022-06-30-048,BLB-2022-06-30,https://www.boston.gov/sites/default/files/file/2022/06/6-30-22%20-%20Voting%20Minutes_0.pdf,6dc7d6527610766219024162660c5822db7dae38ef5ce3199397693afdb7b4db,2022-06-30,14,14,1,"Algonquin Club Hexagon, LLC d/b/a The Quin House, 217 Commonwealth Avenue, Boston,","1. Algonquin Club Hexagon, LLC d/b/a The Quin House, 217 Commonwealth Avenue, Boston,
   MA 02116 has applied for a one day amendment to existing License to allow a closing hour of
   11:30 p.m. to include the roof deck and the audio broadcasting of the July 4, 2022 Boston Pops
   Fireworks Spectacular. Only members and their guests will be present.

   Granted

_________________________________________________________________________________",[],2022-06-30,2022-06-30,,,,,granted,granted,Granted,True,True,False,[],manually_reviewed,other_keyword_context,6dc7d6527610766219024162660c5822db7dae38ef5ce3199397693afdb7b4db
BLB-2022-07-14-028,BLB-2022-07-14,https://www.boston.gov/sites/default/files/file/2022/07/Voting%20Minutes%20-%207-14-22_2.pdf,b3e5522797db46a50d7ed250fd44299f36dc6c96d3b919fb6216fed822dffbe4,2022-07-14,8,8,4,"Yummy Pie, Inc. d/b/a Domino's Pizza, 464 Washington Street, Brighton, MA 02135. Reception","4. Yummy Pie, Inc. d/b/a Domino's Pizza, 464 Washington Street, Brighton, MA 02135. Reception
   area, food prep area, oven, supply area in rear,. No seats. Celal Gokdag as manager of record.
   Hours of operation: 10:00 AM - 11:00 PM. Delivery only: Sunday - Wednesday: 11:00 PM -
   1:00 AM; Thursday - Saturday: 11:00 PM - 2:00 AM

    Granted


The Following has applied for a Transfer of Lodging House:",[],2022-07-14,2022-07-14,,,,,granted,granted,Granted,True,True,False,[],manually_reviewed,other_keyword_context,b3e5522797db46a50d7ed250fd44299f36dc6c96d3b919fb6216fed822dffbe4
BLB-2022-07-14-029,BLB-2022-07-14,https://www.boston.gov/sites/default/files/file/2022/07/Voting%20Minutes%20-%207-14-22_2.pdf,b3e5522797db46a50d7ed250fd44299f36dc6c96d3b919fb6216fed822dffbe4,2022-07-14,8,8,1,"Quint House, LLC, 6 Quint Avenue, Allston, MA 02134 has petitioned to transfer the lodging","1. Quint House, LLC, 6 Quint Avenue, Allston, MA 02134 has petitioned to transfer the lodging
   house license From: Quint House, LLC To: 6 Quint Ave, LLC. Three story building with
   basement, 3 rooms in basement, 4 rooms on 1st floor, 5 rooms on 2nd floor, 4 rooms on 3rd
   floor. John Sullivan as manager of record.

    Granted


The following have applied for a One Day Amendment to Existing License:",[],2022-07-14,2022-07-14,,,,,granted,granted,Granted,True,True,False,[],manually_reviewed,non_alcohol_lodging_transfer,b3e5522797db46a50d7ed250fd44299f36dc6c96d3b919fb6216fed822dffbe4
BLB-2022-09-29-031,BLB-2022-09-29,https://www.boston.gov/sites/default/files/file/2022/09/Voting%20Minutes%209-29-22%20%283%29.pdf,3fd0226a12591b072c6770f2bbcc9d2e159ed35dc7c4f5493700d4e235520991,2022-09-29,10,10,1,"Fuente Cleaning Services, Inc.","1. Fuente Cleaning Services, Inc.

Doing business as: Billares Colombia
28 Bennington Street, East Boston, MA 02128
License #: LB-99797, Notice/Violation: INFOHEARING, Category: CV7MWL
Date: 9/26/2022
Notice: Hearing regarding frequency of Licensed Premise violations and incidents requiring police
involvement, inside and outside the Licensed Premise to determine if closing hour should be reduced
or if any other action shall be taken.

Board requests submission of the following by October 14, 2022:
   ● Soundproofing plan, to include how the Licensee will prevent sound from emanating
       beyond the Licensed Premise as well as details of any required installations
   ● Updated security and operations plan, including, but not limited to, the following:
          ○ Management and staffing plan outlining who is responsible in the absence of
              the manager of record, with contact information provided to the Board
          ○ Detailed plan to constantly monitor capacity and prevent overcrowding
          ○ Dispersal plan detailing how the Licensee will ensure quiet and safe dispersal of
              patrons at closing time
          ○ Sound monitoring plan to ensure that the Licensee complies at all times with
              the City’s noise ordinance

Additionally, the Board requests that the Licensee share a 24-hour contact with its abutters
and surrounding neighbors in case of real time noise complaints


_________________________________________________________________________________


Non-Hearing Transactions

The following are applying for a new Common Victualler License at a previously
licensed location","[""LB-99797""]",2022-09-29,2022-09-29,LB-99797,LB99797,LB99797,LB-99797,not_stated,not_stated,,False,False,False,"[""No explicit disposition found; proposal is not a Board approval.""]",manually_reviewed,other_keyword_context,3fd0226a12591b072c6770f2bbcc9d2e159ed35dc7c4f5493700d4e235520991
BLB-2022-11-17-006,BLB-2022-11-17,https://www.boston.gov/sites/default/files/file/2022/11/BLB%20-%20Voting%20Minutes%2011-17-22_0.pdf,feb2c643f58e960f4a0f343742a10d4f948a9ab91e4ef5f36395919074386f20,2022-11-17,2,2,6,"Fuente Cleaning Services, Inc.","6. Fuente Cleaning Services, Inc.
Doing business as: Billares Colombia
Location: 28 Bennington St East Boston, MA 02128
License#: LB 99797, Notice/Violation#: 059738
9/24/22, 9/25/22, Category: CV7MWL
Date: 09/25/2022
Notice: Assault and battery owner/employee on a police officer in violation of M.G.L. ch. 138 s. 64,
ch. 265 s. 13D.
Failure to disperse patrons in a safe and orderly way in violation of M.G.L. ch. 138 s. 64.

To be rescheduled
_________________________________________________________________________________","[""LB-99797""]",2022-11-17,2022-11-17,LB-99797,LB99797,LB99797,LB 99797,not_stated,not_stated,,False,False,False,"[""No explicit disposition found; proposal is not a Board approval.""]",manually_reviewed,other_keyword_context,feb2c643f58e960f4a0f343742a10d4f948a9ab91e4ef5f36395919074386f20
BLB-2022-12-15-060,BLB-2022-12-15,https://www.boston.gov/sites/default/files/file/2022/12/Voting%20Minutes%2012-15-22.docx_3.pdf,6b7fff6a491a275ebc07530c4c9d84f8711d3135a8b8721803a700eec519012d,2022-12-15,17,17,4,"J. Pace & Son Central, Inc. d/b/a J. Pace & Son, 75 Blossom Court, Boston, MA 02109 has","4. J. Pace & Son Central, Inc. d/b/a J. Pace & Son, 75 Blossom Court, Boston, MA 02109 has
   petitioned for a change of manager/officers From - Joseph A Pace, Sr. To - Angela Pace, Owner,
   Cara Pace, Manager.

Granted
_________________________________________________________________________________",[],2022-12-15,2022-12-15,,,,,granted,granted,Granted,True,True,False,[],manually_reviewed,other_keyword_context,6b7fff6a491a275ebc07530c4c9d84f8711d3135a8b8721803a700eec519012d
