event_id,source_id,source_sha256,source_url,license_num,license_number,date,archive_date,document_vote_date,page_start,page_end,item_number,event_type,action_subtype,event_subtype,outcome,outcome_text,decision_bearing,board_granted_application,completed_sale_verified,actions,ambiguity_notes,candidate_id,canonical_source_id,classification,collateral_as_stated,current_lien_verified,disposition,from_address,heading,item,item_text,item_text_sha256,license_id_raw,license_num_as_supplied,license_number_raw,license_numbers,license_scope,licensee,licensee_dba,licensee_heading,normalized_license_num,original_year_artifact,outcome_text_raw,page,parties,pledge_recipient,pledge_recipient_raw,pledge_recipients,pledging_entity,review_status,source_hash,source_quote,source_urls,source_window,to_address,transferee,transferee_dba,transferor,transferor_dba
BLB-2020-04-30-C003-pledge,BLB-2020-04-30,ad8d3f750ff6de664d894301da6501acee79ee480163ff1b465153a88c48b2d3,"https://www.boston.gov/sites/default/files/file/2020/04/Board's Voting Agenda, April 30, 2020.pdf",LB101655,LB-101655,2020-04-30,2020-04-30,2020-04-30,1,1,3,license_pledge,pledge_application_disposition,license_pledge_application_disposition,granted,GRANTED,True,True,False,"[""license_pledge""]",[],BLB-2020-04-30-C003,BLB-2020-04-30,,,,granted,"90 TREMONT ST BOSTON, MA 02109",,3,"3. KHRG BOSTON HOTEL, LLC
      D/B/A: Better Sorts Social Club
         90 TREMONT ST
         BOSTON, MA 02109
         License #: LB 101655
         Holder of an Innholder All Alcoholic Beverages License has petitioned to pledge the
      license to Banco de Sabadell, S.A., Miami Branch.
         Attorney: Joshua M. Bowman
        GRANTED",8ce073fd3ed4e54cb051f38cecb63f4d72c0cc9cecf4ee4c6b3ed9f903d2e86d,LB 101655,LB-101655,,,explicit_alcohol,"KHRG BOSTON HOTEL, LLC",Better Sorts Social Club,,LB101655,2020/events.json,,1,,"Banco de Sabadell, S.A., Miami Branch",,,"KHRG BOSTON HOTEL, LLC",,ad8d3f750ff6de664d894301da6501acee79ee480163ff1b465153a88c48b2d3,"3. KHRG BOSTON HOTEL, LLC
      D/B/A: Better Sorts Social Club
         90 TREMONT ST
         BOSTON, MA 02109
         License #: LB 101655
         Holder of an Innholder All Alcoholic Beverages License has petitioned to pledge the
      license to Banco de Sabadell, S.A., Miami Branch.
         Attorney: Joshua M. Bowman
        GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/04/Board's Voting Agenda, April 30, 2020.pdf""]",2020-2023,,,,"KHRG BOSTON HOTEL, LLC",Better Sorts Social Club
BLB-2020-04-30-C005-pledge,BLB-2020-04-30,ad8d3f750ff6de664d894301da6501acee79ee480163ff1b465153a88c48b2d3,"https://www.boston.gov/sites/default/files/file/2020/04/Board's Voting Agenda, April 30, 2020.pdf",LB101876,LB-101876,2020-04-30,2020-04-30,2020-04-30,2,2,5,license_pledge,pledge_application_disposition,license_pledge_application_disposition,granted,GRANTED,True,True,False,"[""license_pledge""]",[],BLB-2020-04-30-C005,BLB-2020-04-30,,,,granted,"527 531 DUDLEY ST ROXBURY, MA 02119",,5,"5. FERNANDEZ BROTHERS LIQUORS, INC.
      D/B/A: CARIBBEAN LIQUORS
         527 531 DUDLEY ST
         ROXBURY, MA 02119
         License #: LB 101876
         Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
      pledge the license to Eastern Bank.
         Attorney: Jennifer Allen
      GRANTED",e059f7cacefbbd4fd2dc912e251310af0487ec5bcdb7fccf5c8bff840f5716c5,LB 101876,LB-101876,,,explicit_alcohol,"FERNANDEZ BROTHERS LIQUORS, INC.",CARIBBEAN LIQUORS,,LB101876,2020/events.json,,2,,Eastern Bank,,,"FERNANDEZ BROTHERS LIQUORS, INC.",,ad8d3f750ff6de664d894301da6501acee79ee480163ff1b465153a88c48b2d3,"5. FERNANDEZ BROTHERS LIQUORS, INC.
      D/B/A: CARIBBEAN LIQUORS
         527 531 DUDLEY ST
         ROXBURY, MA 02119
         License #: LB 101876
         Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
      pledge the license to Eastern Bank.
         Attorney: Jennifer Allen
      GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/04/Board's Voting Agenda, April 30, 2020.pdf""]",2020-2023,,,,"FERNANDEZ BROTHERS LIQUORS, INC.",CARIBBEAN LIQUORS
BLB-2020-05-21-C002-transfer,BLB-2020-05-21,aedfab6ba2ba001092c8c668dc766eb8fa3c0000275d6009d67aec3f064d1455,https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2021%2C%202020%20%281%29.pdf,LB101918,LB-101918,2020-05-21,2020-05-21,2020-05-21,1,1,2,license_transfer,transfer_application_disposition,license_transfer_application_disposition,granted,GRANTED - Condition: No Nips; No Singles,True,True,False,"[""license_transfer""]",[],BLB-2020-05-21-C002,BLB-2020-05-21,,,,granted,"1650 SOLDIERS FIELD RD BRIGHTON, MA 02135",,2,"2. BRIGHTON BEVERAGE CORPORATION
       D/B/A: MARTIGNETTI LIQUORS
          1650 SOLDIERS FIELD RD
          BRIGHTON, MA 02135
          License #: LB 101918
          Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
       transfer the license and location from the above referenced business - To: Lee's Quik Pik,
       Inc. d/b/a Lee's Market 1591 Commonwealth Avenue Boston, MA 02135. On first floor
       of building: sales area with multiple coolers and back room storage (+/- 1600 SF). Anil
       Kumar M. Patel a/k/a AnilKamar Mafatal Patel, Manager. 11:00 PM Closing Hour.
          Attorney: Stephen V. Miller
       GRANTED - Condition: No Nips; No Singles",1503aec55771559c8ad92cb03b25db3fcc9421a076f59127a4a53a346b3d41a4,LB 101918,LB-101918,,,explicit_alcohol,,,,LB101918,2020/events.json,,1,,,,,,,aedfab6ba2ba001092c8c668dc766eb8fa3c0000275d6009d67aec3f064d1455,"2. BRIGHTON BEVERAGE CORPORATION
       D/B/A: MARTIGNETTI LIQUORS
          1650 SOLDIERS FIELD RD
          BRIGHTON, MA 02135
          License #: LB 101918
          Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
       transfer the license and location from the above referenced business - To: Lee's Quik Pik,
       Inc. d/b/a Lee's Market 1591 Commonwealth Avenue Boston, MA 02135. On first floor
       of building: sales area with multiple coolers and back room storage (+/- 1600 SF). Anil
       Kumar M. Patel a/k/a AnilKamar Mafatal Patel, Manager. 11:00 PM Closing Hour.
          Attorney: Stephen V. Miller
       GRANTED - Condition: No Nips; No Singles","[""https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2021%2C%202020%20%281%29.pdf""]",2020-2023,"1591 Commonwealth Avenue Boston, MA 02135","Lee's Quik Pik, Inc.",Lee's Market,BRIGHTON BEVERAGE CORPORATION,MARTIGNETTI LIQUORS
BLB-2020-05-28-C003-transfer,BLB-2020-05-28,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf,LB101570,LB-101570,2020-05-28,2020-05-28,2020-05-28,1,1,3,license_transfer,transfer_application_disposition,license_transfer_application_disposition,granted,GRANTED,True,True,False,"[""license_transfer""]",[],BLB-2020-05-28-C003,BLB-2020-05-28,,,,granted,"100 ARLINGTON ST BOSTON, MA 02116",,3,"3. Liquid Art Boston L L C
       D/B/A: LIQUID ART HOUSE
          100 ARLINGTON ST
          BOSTON, MA 02116
          License #: LB 101570
          Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
       to transfer the license from the above - To: Nusret Boston, LLC d/b/a Nusret Steakhouse
       (at the same location). Ali Volkan Avci, Manager. 12:30 AM Closing Hour.
          Attorney: Dennis A. Quilty
       GRANTED",7c3f77d2592bb16da603548502dc3e9c54fab65d94246b9ab3785823051ea336,LB 101570,LB-101570,,,explicit_alcohol,,,,LB101570,2020/events.json,,1,,,,,,,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,"3. Liquid Art Boston L L C
       D/B/A: LIQUID ART HOUSE
          100 ARLINGTON ST
          BOSTON, MA 02116
          License #: LB 101570
          Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
       to transfer the license from the above - To: Nusret Boston, LLC d/b/a Nusret Steakhouse
       (at the same location). Ali Volkan Avci, Manager. 12:30 AM Closing Hour.
          Attorney: Dennis A. Quilty
       GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf""]",2020-2023,"100 ARLINGTON ST BOSTON, MA 02116","Nusret Boston, LLC",Nusret Steakhouse,Liquid Art Boston L L C,LIQUID ART HOUSE
BLB-2020-05-28-C004-transfer,BLB-2020-05-28,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf,LB101980,LB-101980,2020-05-28,2020-05-28,2020-05-28,2,2,4,license_transfer,transfer_application_disposition,license_transfer_application_disposition,granted,"GRANTED - Licensee to submit plan to the Board regarding deliveries and to
continue working with the neighborhood regarding any community concerns.",True,True,False,"[""license_transfer""]",[],BLB-2020-05-28-C004,BLB-2020-05-28,,,,granted,"11 WORMWOOD ST BOSTON, MA 02210",,4,"4. R&G ENTERPRISES, INC.
D/B/A: SAGARINO'S
   11 WORMWOOD ST
   BOSTON, MA 02210
   License #: LB 101980
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
transfer the license from the above - To: MadMac Partners, LLC d/b/a Sagarino's (at the
same location). Francesa DiRico, Manager. 11:00 PM Closing Hour.
   Attorney: Dennis A. Quilty
GRANTED - Licensee to submit plan to the Board regarding deliveries and to
continue working with the neighborhood regarding any community concerns.",6c964d0c75269327bde741bd67d17928e14c0358c5b2534254f358b387ae373e,LB 101980,LB-101980,,,explicit_alcohol,,,,LB101980,2020/events.json,,2,,,,,,,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,"4. R&G ENTERPRISES, INC.
D/B/A: SAGARINO'S
   11 WORMWOOD ST
   BOSTON, MA 02210
   License #: LB 101980
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
transfer the license from the above - To: MadMac Partners, LLC d/b/a Sagarino's (at the
same location). Francesa DiRico, Manager. 11:00 PM Closing Hour.
   Attorney: Dennis A. Quilty
GRANTED - Licensee to submit plan to the Board regarding deliveries and to
continue working with the neighborhood regarding any community concerns.","[""https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf""]",2020-2023,"11 WORMWOOD ST BOSTON, MA 02210","MadMac Partners, LLC",Sagarino's,"R&G ENTERPRISES, INC.",SAGARINO'S
BLB-2020-05-28-C005a-pledge,BLB-2020-05-28,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf,LB101934,LB-101934,2020-05-28,2020-05-28,2020-05-28,2,2,5,license_pledge,pledge_application_disposition,license_pledge_application_disposition,granted,GRANTED,True,True,False,"[""license_pledge""]","[""Manual visual split: unnumbered Pushcart Cafe follows numbered Alfa Wines item 5; the separate Granted and Deferred outcomes were checked on PDF page 2.""]",BLB-2020-05-28-C005a,BLB-2020-05-28,,,,granted,"313 315 WASHINGTON ST BRIGHTON, MA 02135",,5,"5. ALFA WINES, INC.
D/B/A: WALSH WINE & SPIRITS
   313 315 WASHINGTON ST
   BRIGHTON, MA 02135
   License #: LB 101934
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
transfer the license and location from the above - To: Newa Liquors, Inc. d/b/a Walsh
Wines & Liquors 388 Washington Street Brighton, MA 02135. 1,574 square feet of first
floor commercial space at 388 Washington Street Brighton, MA. Niroj Shrestha,
Manager. 11:00 PM Closing Hour. Lastly, has petitioned to pledge the license to Alfa
Wines, Inc.
   Attorney: Steffani Boudreau
GRANTED",87bd84f86991cf2910f7dc6faf60cd07dd08056e7e8b63ae81a251456a20481f,LB 101934,LB-101934,,,explicit_alcohol,"Newa Liquors, Inc.",Walsh Wines & Liquors,,LB101934,2020/events.json,,2,,"Alfa Wines, Inc.",,,"Newa Liquors, Inc.",,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,"5. ALFA WINES, INC.
D/B/A: WALSH WINE & SPIRITS
   313 315 WASHINGTON ST
   BRIGHTON, MA 02135
   License #: LB 101934
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
transfer the license and location from the above - To: Newa Liquors, Inc. d/b/a Walsh
Wines & Liquors 388 Washington Street Brighton, MA 02135. 1,574 square feet of first
floor commercial space at 388 Washington Street Brighton, MA. Niroj Shrestha,
Manager. 11:00 PM Closing Hour. Lastly, has petitioned to pledge the license to Alfa
Wines, Inc.
   Attorney: Steffani Boudreau
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf""]",2020-2023,"388 Washington Street Brighton, MA 02135","Newa Liquors, Inc.",Walsh Wines & Liquors,"ALFA WINES, INC.",WALSH WINE & SPIRITS
BLB-2020-05-28-C005a-transfer,BLB-2020-05-28,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf,LB101934,LB-101934,2020-05-28,2020-05-28,2020-05-28,2,2,5,license_transfer,transfer_application_disposition,license_transfer_application_disposition,granted,GRANTED,True,True,False,"[""license_transfer""]","[""Manual visual split: unnumbered Pushcart Cafe follows numbered Alfa Wines item 5; the separate Granted and Deferred outcomes were checked on PDF page 2.""]",BLB-2020-05-28-C005a,BLB-2020-05-28,,,,granted,"313 315 WASHINGTON ST BRIGHTON, MA 02135",,5,"5. ALFA WINES, INC.
D/B/A: WALSH WINE & SPIRITS
   313 315 WASHINGTON ST
   BRIGHTON, MA 02135
   License #: LB 101934
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
transfer the license and location from the above - To: Newa Liquors, Inc. d/b/a Walsh
Wines & Liquors 388 Washington Street Brighton, MA 02135. 1,574 square feet of first
floor commercial space at 388 Washington Street Brighton, MA. Niroj Shrestha,
Manager. 11:00 PM Closing Hour. Lastly, has petitioned to pledge the license to Alfa
Wines, Inc.
   Attorney: Steffani Boudreau
GRANTED",87bd84f86991cf2910f7dc6faf60cd07dd08056e7e8b63ae81a251456a20481f,LB 101934,LB-101934,,,explicit_alcohol,,,,LB101934,2020/events.json,,2,,,,,,,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,"5. ALFA WINES, INC.
D/B/A: WALSH WINE & SPIRITS
   313 315 WASHINGTON ST
   BRIGHTON, MA 02135
   License #: LB 101934
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
transfer the license and location from the above - To: Newa Liquors, Inc. d/b/a Walsh
Wines & Liquors 388 Washington Street Brighton, MA 02135. 1,574 square feet of first
floor commercial space at 388 Washington Street Brighton, MA. Niroj Shrestha,
Manager. 11:00 PM Closing Hour. Lastly, has petitioned to pledge the license to Alfa
Wines, Inc.
   Attorney: Steffani Boudreau
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf""]",2020-2023,"388 Washington Street Brighton, MA 02135","Newa Liquors, Inc.",Walsh Wines & Liquors,"ALFA WINES, INC.",WALSH WINE & SPIRITS
BLB-2020-05-28-C005b-transfer,BLB-2020-05-28,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf,LB99711,LB-99711,2020-05-28,2020-05-28,2020-05-28,2,2,,license_transfer,transfer_application_disposition,license_transfer_application_disposition,deferred,DEFERRED - Pending completion of community process.,True,False,False,"[""license_transfer""]","[""Manual visual split: unnumbered Pushcart Cafe follows numbered Alfa Wines item 5; the separate Granted and Deferred outcomes were checked on PDF page 2.""]",BLB-2020-05-28-C005b,BLB-2020-05-28,,,,deferred,"115 SALEM ST BOSTON, MA 02113",,,"PUSHCART CAFE
D/B/A: PUSHCART CAFÉ
  115 SALEM ST
  BOSTON, MA 02113
  License #: LB 99711
  Holder of a Common Victualler 7 Day Wines & Malt w/ Liqueurs License has
petitioned to transfer the license and location from the above - To: Dolce, Inc d/b/a Dolce
272 Hanover Street Boston, MA 02113. In one room on ground floor with seating and
epresso bar; storage, kitchen /prep area and restroom in basement. Frank DePasquale,
Manager. Midnight Closing Hour.
  Attorney: William G. Ferullo
DEFERRED - Pending completion of community process.",12c91bdef9eb575a6d40607cfacbde3b227c51441ee994f304ceb263dbb0e7d2,LB 99711,LB-99711,,,explicit_alcohol,,,,LB99711,2020/events.json,,2,,,,,,,56529e92d7f8758bd36c8b987f3b66f43d3f2780236890e069ad782f6de1023c,"PUSHCART CAFE
D/B/A: PUSHCART CAFÉ
  115 SALEM ST
  BOSTON, MA 02113
  License #: LB 99711
  Holder of a Common Victualler 7 Day Wines & Malt w/ Liqueurs License has
petitioned to transfer the license and location from the above - To: Dolce, Inc d/b/a Dolce
272 Hanover Street Boston, MA 02113. In one room on ground floor with seating and
epresso bar; storage, kitchen /prep area and restroom in basement. Frank DePasquale,
Manager. Midnight Closing Hour.
  Attorney: William G. Ferullo
DEFERRED - Pending completion of community process.","[""https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf""]",2020-2023,"272 Hanover Street Boston, MA 02113","Dolce, Inc",Dolce,PUSHCART CAFE,PUSHCART CAFÉ
BLB-2020-06-04-C003-transfer,BLB-2020-06-04,01f3e2936c0a8cd8e2aca3da7a0942fa2a49d7cbbc13cbf71682b1af1ccb1c49,https://www.boston.gov/sites/default/files/file/2020/06/Board%27s%20Voting%20Agenda%20June%204%2C%202020%20%281%29.pdf,LB99163,LB-99163,2020-06-04,2020-06-04,2020-06-04,1,2,3,license_transfer,transfer_application_disposition,license_transfer_application_disposition,granted,GRANTED,True,True,False,"[""license_transfer""]",[],BLB-2020-06-04-C003,BLB-2020-06-04,,,,granted,"157 159 NEWBURY ST BOSTON, MA 02116",,3,"3. PAPA RAZZI TRATTORIA OF NEWBURY, INC.
       D/B/A: PAPA RAZZI
          157 159 NEWBURY ST
          BOSTON, MA 02116
          License #: LB 99163
          Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
       to transfer the licensed business from the above - To: Capital Burger Holdings, LLC d/b/a
       The Capital Burger (at the same location) Unit No. 1 of the Condominium located within
       the building, containing approximately 3,211 sq. ft. on the ground floor, 2,590 sq. ft. on
       the second floor, 600 sq. ft. in the basement, and 500 sq. ft. outdoor dining/ patio area
patio on private property, with seating for 28 and an 11:00 pm patio closing to be
operated annually, weather permitting. Christopher W. Scott, Manager. Midnight Closing
Hour.
  Attorney: Joseph H. Devlin
GRANTED",4f84b9138e2bd5df946b3131316f006bbbb14f95b4a8d7c0feef520bccad3bc4,LB 99163,LB-99163,,,explicit_alcohol,,,,LB99163,2020/events.json,,1,,,,,,,01f3e2936c0a8cd8e2aca3da7a0942fa2a49d7cbbc13cbf71682b1af1ccb1c49,"3. PAPA RAZZI TRATTORIA OF NEWBURY, INC.
       D/B/A: PAPA RAZZI
          157 159 NEWBURY ST
          BOSTON, MA 02116
          License #: LB 99163
          Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
       to transfer the licensed business from the above - To: Capital Burger Holdings, LLC d/b/a
       The Capital Burger (at the same location) Unit No. 1 of the Condominium located within
       the building, containing approximately 3,211 sq. ft. on the ground floor, 2,590 sq. ft. on
       the second floor, 600 sq. ft. in the basement, and 500 sq. ft. outdoor dining/ patio area
patio on private property, with seating for 28 and an 11:00 pm patio closing to be
operated annually, weather permitting. Christopher W. Scott, Manager. Midnight Closing
Hour.
  Attorney: Joseph H. Devlin
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/06/Board%27s%20Voting%20Agenda%20June%204%2C%202020%20%281%29.pdf""]",2020-2023,"157 159 NEWBURY ST BOSTON, MA 02116","Capital Burger Holdings, LLC",The Capital Burger,"PAPA RAZZI TRATTORIA OF NEWBURY, INC.",PAPA RAZZI
BLB-2020-07-16-C017-pledge,BLB-2020-07-16,fa648343d9ec01d3d0079c0d194bfa14e2538c33fea6af90bed7f08995cdd9d0,https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%20July%2016%2C%202020.pdf,LB102017,LB-102017,2020-07-16,2020-07-16,2020-07-16,5,5,17,license_pledge,pledge_application_disposition,license_pledge_application_disposition,granted,GRANTED,True,True,False,"[""license_pledge""]",[],BLB-2020-07-16-C017,BLB-2020-07-16,,,,granted,"563 COLUMBUS AVE ROXBURY, MA 02118",,17,"17. PADMA ENTERPRISES, INC.
    D/B/A: FOODBASKET
       563 COLUMBUS AVE
       ROXBURY, MA 02118
       License #: LB 102017
       Holder Retail Package Wines & Malt License has petitioned to transfer the license
    from the above To: Jwalaji Corp. d/b/a Get N Go (at the same location). Brijesh
    Kapadia, Manager. 11:00 PM Closing Hour. Lastly, has petitioned to pledge the
    license & Inventory to Rockland Trust Company.
       Attorney: John M. Mooradian
GRANTED",8900ce68054a81a3a42cfbff0cc36b924cda19d2427782a1f0bffaa1320bba56,LB 102017,LB-102017,,,explicit_alcohol,Jwalaji Corp.,Get N Go,,LB102017,2020/events.json,,5,,Rockland Trust Company,,,Jwalaji Corp.,,fa648343d9ec01d3d0079c0d194bfa14e2538c33fea6af90bed7f08995cdd9d0,"17. PADMA ENTERPRISES, INC.
    D/B/A: FOODBASKET
       563 COLUMBUS AVE
       ROXBURY, MA 02118
       License #: LB 102017
       Holder Retail Package Wines & Malt License has petitioned to transfer the license
    from the above To: Jwalaji Corp. d/b/a Get N Go (at the same location). Brijesh
    Kapadia, Manager. 11:00 PM Closing Hour. Lastly, has petitioned to pledge the
    license & Inventory to Rockland Trust Company.
       Attorney: John M. Mooradian
GRANTED","[""https://www.boston.gov/sites/default/files/file/2020/07/Board%27s%20Voting%20Agenda%20July%2016%2C%202020.pdf""]",2020-2023,"563 COLUMBUS AVE ROXBURY, MA 02118",Jwalaji Corp.,Get N Go,"PADMA ENTERPRISES, INC.",FOODBASKET
