event_id,date,license_num,event_type,action_subtype,disposition,board_granted_application,completed_sale_verified,transferor,transferor_dba,transferee,transferee_dba,licensee,licensee_dba,pledge_recipient,from_address,to_address,source_id,source_url,page_start,page_end,item_number,outcome_text,referenced_approval_date,ambiguity_notes
BLB-2024-01-04-T-22,2024-01-04,LB101572,license_transfer,transfer_application_disposition,granted,True,False,"Patina Marine Life, LLC",,"Boston Culinary Group, Inc.",Sodexo Live!,,,,"Central Wharf, Boston, MA 02110","Central Wharf, Boston, MA 02110",BLB-2024-01-04,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,8,8,22,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-01-04-T-23,2024-01-04,,license_transfer,transfer_application_disposition,granted,True,False,The Family Restaurant Partners LLC,Backyard Betty’s,Reggie Rondo LLC,Small Victories,,,The Family Restaurant Partners LLC,"400 Dorchester St, South Boston, MA 02127","400 Dorchester St, South Boston, MA 02127",BLB-2024-01-04,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,9,9,23,Granted,,The source item omits a Boston LB license number; not inferred from another roster or document. | Destination address carried from explicit same-location statement.
BLB-2024-01-04-T-24,2024-01-04,LB99785,license_transfer,transfer_application_disposition,granted,True,False,"Clover Fast Food, Inc.",Clover Food Lab,"Food & Life Companies USA, LLC",Sakabayashi Sushi Tavern,,,,"360 Longwood Ave, Boston, MA 02215","665 Boylston Street, Boston, MA 02116",BLB-2024-01-04,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,9,9,24,Granted,,
BLB-2024-01-04-T-2,2024-01-04,LB99632,license_transfer,transfer_application_disposition,granted,True,False,"Juan Reyes, Individual",Miami Restaurant,Tejeda Brothers Investments LLC,Miami Restaurant,,,,"381 Centre St., Jamaica Plain, MA 02130","381 Centre St., Jamaica Plain, MA 02130",BLB-2024-01-04,https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf,14,14,2,"Granted, with a closing hour of 1:00 AM",,"Destination address carried from explicit same-location statement. | Old and New Business resolution of a previously deferred transfer; this document grants it, with closing-hour condition."
BLB-2024-02-01-T-13,2024-02-01,LB98957,license_transfer,transfer_application_disposition,granted,True,False,"Bedford Dining, Inc.",White Horse Tavern,116 Brighton License LLC,,,,,"116-120 Brighton Ave, Allston, MA 02134","116-120 Brighton Ave, Allston, MA 02134",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,7,7,13,Granted,,"Destination address carried from explicit same-location statement. | Same meeting records sequential transfers of LB-98957: Bedford Dining to 116 Brighton License, then 116 Brighton License to Jongro BBQ. These are separate proposed legs of one license chain."
BLB-2024-02-01-T-14,2024-02-01,LB98957,license_transfer,transfer_application_disposition,granted,True,False,116 Brighton License LLC,,"Jongro BBQ Market Allston, Inc.",Jongro BBQ Market,,,116 Brighton License LLC,"116-120 Brighton Ave, Allston, MA 02134","116-120 Brighton Ave, Allston, MA 02134",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,7,7,14,Granted,,"Destination address carried from explicit same-location statement. | Same meeting records sequential transfers of LB-98957: Bedford Dining to 116 Brighton License, then 116 Brighton License to Jongro BBQ. These are separate proposed legs of one license chain."
BLB-2024-02-01-T-15,2024-02-01,LB99262,license_transfer,transfer_application_disposition,granted,True,False,"Caswell Restaurant Gruppo, LLC",Oak + Rowan,"LL RP 319A Street, LLC",Citrus & Salt,,,,"319-321 A St, Boston, MA 02210","319-321 A St, Boston, MA 02210",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,7,7,15,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-01-T-16,2024-02-01,LB101632,license_transfer,transfer_application_disposition,granted,True,False,"Boston 1927 Lessee, Inc.",Boston Park Plaza Hotel & Towers,BPP Investments Property LL LLC,Hilton Boston Park Plaza,,,,"50 Park Plaza, Boston, MA 02116","50 Park Plaza, Boston, MA 02116",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,8,8,16,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-01-T-17,2024-02-01,LB99431,license_transfer,transfer_application_disposition,granted,True,False,Casa Cana Restaurant LLC,Casa Cana,"CFH 1234 Soldiers Field Road, LLC",Craft Food Halls,,,"TDC 1234 Liquor, LLC","1234 Soldiers Field Rd, Brighton, MA 02134","1234 Soldiers Field Rd, Brighton, MA 02134",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,8,8,17,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-01-T-18,2024-02-01,LB99415,license_transfer,transfer_application_disposition,granted,True,False,"Pho on Thayer, LLC",Pho on Thayer,Nowon Seaport LLC,Nowon Seaport,,,Northern Bank,"11 Thayer St, Roxbury, MA 02118","117 Seaport Blvd, Boston, MA 02110",BLB-2024-02-01,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,9,9,18,Granted,,
BLB-2024-02-08-T-7,2024-02-08,,license_transfer,transfer_application_disposition,granted,True,False,"H and M Restaurant, Inc.",Sofia Italian Steakhouse,"VFW Parkway Restaurant Operator, LLC.",Sofia Italian Steakhouse,,,HarborOne Bank,"1430 VFW Parkway, West Roxbury, MA 02132","1430 VFW Parkway, West Roxbury, MA 02132",BLB-2024-02-08,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,5,5,7,Granted,,The source item omits a Boston LB license number; not inferred from another roster or document. | Destination address carried from explicit same-location statement.
BLB-2024-02-08-T-8,2024-02-08,LB99800,license_transfer,transfer_application_disposition,granted,True,False,Dig Inn Boylston Street LLC,Dig Inn Seasonal Market,121 Seaport Boulevard LLC,Museum of Ice Cream,,,,"557 Boylston St, Boston, MA 02116","121 Seaport Blvd, Boston, MA 02110",BLB-2024-02-08,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,6,6,8,Granted,,
BLB-2024-02-08-T-9,2024-02-08,LB153841,license_transfer,transfer_application_disposition,granted,True,False,Sahguna Inc.,Maverick Street Market,Krisha Corporation,Maverick Street Market,,,Rockland Trust Company,"205 Maverick St, East Boston, MA 02128","207 Maverick Street, Boston, MA 02128",BLB-2024-02-08,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,6,6,9,Granted,,
BLB-2024-02-29-T-11,2024-02-29,LB99228,license_transfer,transfer_application_disposition,granted,True,False,T.G.I. Friday’s Inc.,TGI Friday’s,"Sugarloaf Hospitality, LLC.",TGI Friday’s,,,,"1 Brigham Circle, Boston, MA 02115","1 Brigham Circle, Boston, MA 02115",BLB-2024-02-29,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,7,7,11,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-29-T-12,2024-02-29,LB99052,license_transfer,transfer_application_disposition,granted,True,False,Somer Six Corporation,Paddy O’s,CRG License Holdings LLC,Paddy O’s,,,,"33A Union Street, Boston, MA 02108","33A Union Street, Boston, MA 02108",BLB-2024-02-29,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,7,7,12,"Granted
Should an application for a subsequent transfer not be filed within the next nine months, the
Board will schedule a hearing for a status update",,Destination address carried from explicit same-location statement.
