holder_id,business_name,license_numbers,reasons,state,note
BH-c7340d1d2da2c818,A & C NEWBURY STREET,"[""LB-99836""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-848535fb2f0d8edd,Alina Morris,"[""LB-569775""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-e865a44121f23b8e,American Multi-Cinema,"[""LB-349572""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-2f4c2966a086028a,ANTHONY OLIVIERO & LUIGI SODANO,"[""LB-99595""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-dd8047884d4eb245,ANTHONY PERKINS,"[""LB-102042""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-23ebeb36e89fc3cb,Bella Haven Restaurant Group,"[""LB-471198""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-06aebc151b174ead,BHC CORPORATION GENERAL PARTNER,"[""LB-98997""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-e321701f2709248e,"BRHANU REDDA, INDIVIDUAL","[""LB-102009""]","[""explicit_individual_label_requires_person_name_resolution""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-21c751082131d28a,"CARMEN CARTAGENA RIVERA, INDIVIDUAL","[""LB-99559""]","[""explicit_individual_label_requires_person_name_resolution""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-ea6c91b423648098,CLOTILDE SPAGNUOLO IANDOLI,"[""LB-99084""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-f3121f4a9d04cae8,DON'T LOOK BACK LESSEE,"[""LB-101667""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-c79e41f091c02ac4,E. R. ENTERPRISES,"[""LB-99392""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-b4b7916d27780685,"EUROMART, INDIVIDUAL","[""LB-102043""]","[""explicit_individual_label_requires_person_name_resolution""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-e8dad332d4305a58,FINS SUSHI & GRILL,"[""LB-99548""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-a3b861c611a80b34,GREAT TASTE BAKERY & RESTAURANT,"[""LB-161356""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-478075f6a42c898d,"HAPPY LIQUORS, INC. II","[""LB-101854""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-74f8b76ab2eb4090,JAMAICA PLAIN NO. 76 INC. OF THE AMERICAN,"[""LB-98834""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-a74b836980ecc2c8,JOSE P. FIDALGO AND JORGE P. FIDALGO,"[""LB-102018""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-7d99e2ee7de2d58d,JOVENIL BATISTA CRISTO,"[""LB-156015""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-91f1fce367a38fa3,KHALED MOHEYDEEN,"[""LB-99600""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-01ba7e906c415621,LISA DIPRIZIO,"[""LB-99758""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-6b4616c2be64b055,MARIE P. CANALE,"[""LB-101970""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-f9648fa988a73e80,MCCARTHY'S INC. OF BOSTON,"[""LB-98938""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
