holder_id,business_name,holder_key,license_numbers,dbas,scope_classes,query,current_state,lapsed_state
BH-279739c9c88c0b43,100 SUMMER CLUB LLC,100SUMMERCLUBLLC,"[""LB-99772""]","[""ASSEMBLY ON 2""]","[""alcohol_license""]",100 SUMMER CLUB,complete,pending
BH-ae8a4d67d81f51f6,1010 Morrissey Corp.,1010MORRISSEYCORP,"[""LB-596016""]","[""Milkweed""]","[""alcohol_license""]",1010 Morrissey,complete,pending
BH-76f4301b7c079a1a,"107 SALEM RESTAURANT, INC.",107SALEMRESTAURANTINC,"[""LB-99204""]","[""BACCO""]","[""alcohol_license""]",107 SALEM RESTAURANT,pending,pending
BH-f6262a3e8ef3c389,10 City Square LLC,10CITYSQUARELLC,"[""LB-445992""]","[""Prima""]","[""alcohol_license""]",10 City Square,complete,pending
BH-a37d0e6fcfa94175,"10 HIGH STREET RESTAURANT, LLC",10HIGHSTREETRESTAURANTLLC,"[""LB-99101""]","[""SERAFINA""]","[""alcohol_license""]",10 HIGH STREET RESTAURANT,pending,pending
BH-002a9394ce7fda76,10 World Trade LHI LLC,10WORLDTRADELHILLC,"[""LB-99246""]","[""10 World Trade LHI LLC""]","[""alcohol_license""]",10 World Trade LHI,pending,pending
BH-b6ba6e1b9c60d141,110 Boulevard Restaurant LLC,110BOULEVARDRESTAURANTLLC,"[""LB-101573""]","[""110 Boulevard""]","[""alcohol_license""]",110 Boulevard Restaurant,pending,pending
BH-3c0b451c271d3b47,110 Grill SB Boston LLC,110GRILLSBBOSTONLLC,"[""LB-385719""]","[""110 Grill""]","[""alcohol_license""]",110 Grill SB Boston,pending,pending
BH-93f26873e8e5d119,"119 Salem Street, Inc.",119SALEMSTREETINC,"[""LB-99737""]","[""Ristorante Euno""]","[""alcohol_license""]",119 Salem Street,pending,pending
BH-3716fb3f93916dee,11 FAN PIER RESTAURANT LLC,11FANPIERRESTAURANTLLC,"[""LB-99292""]","[""SERAFINA""]","[""alcohol_license""]",11 FAN PIER RESTAURANT,pending,pending
BH-2bf5c95558b9d63b,121 Seaport Boulevard LLC,121SEAPORTBOULEVARDLLC,"[""LB-99800""]","[""Museum of Ice Cream""]","[""alcohol_license""]",121 Seaport Boulevard,pending,pending
BH-c2d93760e42a092f,1260 BOYLSTON STREET LLC,1260BOYLSTONSTREETLLC,"[""LB-99064""]","[""SOJOUBA""]","[""alcohol_license""]",1260 BOYLSTON STREET,pending,pending
BH-dce9e5a84dda135c,"132 BROOKLINE AVENUE, LLC",132BROOKLINEAVENUELLC,"[""LB-99669""]","[""SAL'S PIZZA""]","[""alcohol_license""]",132 BROOKLINE AVENUE,pending,pending
BH-59deed585bd5c4a2,"144 HARVARD STREET LIQUOR, INC.",144HARVARDSTREETLIQUORINC,"[""LB-101870""]","[""GIGI'S""]","[""alcohol_license""]",144 HARVARD STREET LIQUOR,complete,pending
BH-f7b380b90e066498,149 Charles Pub LLC,149CHARLESPUBLLC,"[""LB-101581""]","[""Charles Street Pub""]","[""alcohol_license""]",149 Charles Pub,pending,pending
BH-15155bfef7bbbfee,1508 TREMONT CORP,1508TREMONTCORP,"[""LB-156769""]",[],"[""alcohol_license""]",1508 TREMONT,pending,pending
BH-0916577d72bf066d,"150 CANAL STREET, INC.",150CANALSTREETINC,"[""LB-99229""]","[""Hurricane's""]","[""alcohol_license""]",150 CANAL STREET,pending,pending
BH-bfc82338cc247bb5,15 BEACON STREET LLC,15BEACONSTREETLLC,"[""LB-101651""]","[""XV BEACON HOTEL""]","[""alcohol_license""]",15 BEACON STREET,pending,pending
BH-50bb15974114d7ae,1704 WASHINGTON LLC,1704WASHINGTONLLC,"[""LB-99141""]","[""TORO""]","[""alcohol_license""]",1704 WASHINGTON,pending,pending
BH-db409cd895e8cb4a,"170, LLC",170LLC,"[""LB-99227""]","[""THE GRANARY TAVERN""]","[""alcohol_license""]",170,pending,pending
BH-8d045d730d3c3e2b,170 NORTHEND CORP.,170NORTHENDCORP,"[""LB-102015""]","[""SALEM MARKET""]","[""alcohol_license""]",170 NORTHEND,pending,pending
BH-9c084927ea0cbdd2,"1732 CENTRE STREET,INC.",1732CENTRESTREETINC,"[""LB-98979""]","[""WEST""]","[""alcohol_license""]","1732 CENTRE STREET,INC.",pending,pending
BH-8f16def69ae11ad9,"1750 Washington, Inc.",1750WASHINGTONINC,"[""LB-603690""]","[""Novo Lantern""]","[""alcohol_license""]",1750 Washington,pending,pending
BH-8525151034561222,"175 IPSWICH STREET, LLC",175IPSWICHSTREETLLC,"[""LB-99377""]",[],"[""alcohol_license""]",175 IPSWICH STREET,pending,pending
BH-df8f026d81732480,"1844, INC.",1844INC,"[""LB-99666""]","[""COMELLA'S""]","[""alcohol_license""]",1844,pending,pending
BH-c76f46bbe11a0cd8,186 HARVARD AVE BAR LLC,186HARVARDAVEBARLLC,"[""LB-99093""]","[""HAN""]","[""alcohol_license""]",186 HARVARD AVE BAR,pending,pending
BH-360aa4a4b623669c,"1885 CENTRE STREET, LLC",1885CENTRESTREETLLC,"[""LB-99374""]","[""Boston Ale House""]","[""alcohol_license""]",1885 CENTRE STREET,pending,pending
BH-22aca2dbf4bb3622,1928 BEACON HILL LLC,1928BEACONHILLLLC,"[""LB-99439""]","[""1928 BEACON HILL""]","[""alcohol_license""]",1928 BEACON HILL,pending,pending
