holder_id,business_name,name_variants,dbas,license_numbers,source_row_ids,scope_classes,has_core_alcohol_license,name_mode_review_reasons
BH-26bfeaed5e96a958,"1 Lincoln TRS, LLC","[""1 Lincoln TRS, LLC""]",[],"[""LB-98912""]","[""R03066""]","[""alcohol_license""]",True,[]
BH-f6262a3e8ef3c389,10 City Square LLC,"[""10 City Square LLC""]","[""Prima""]","[""LB-445992""]","[""R00826""]","[""alcohol_license""]",True,[]
BH-a37d0e6fcfa94175,"10 HIGH STREET RESTAURANT, LLC","[""10 HIGH STREET RESTAURANT, LLC""]","[""SERAFINA""]","[""LB-99101""]","[""R02779""]","[""alcohol_license""]",True,[]
BH-002a9394ce7fda76,10 World Trade LHI LLC,"[""10 World Trade LHI LLC""]","[""10 World Trade LHI LLC""]","[""LB-99246""]","[""R02326""]","[""alcohol_license""]",True,[]
BH-279739c9c88c0b43,100 SUMMER CLUB LLC,"[""100 SUMMER CLUB LLC""]","[""ASSEMBLY ON 2""]","[""LB-99772""]","[""R02923""]","[""alcohol_license""]",True,[]
BH-ae8a4d67d81f51f6,1010 Morrissey Corp.,"[""1010 Morrissey Corp.""]","[""Milkweed""]","[""LB-596016""]","[""R00259""]","[""alcohol_license""]",True,[]
BH-76f4301b7c079a1a,"107 SALEM RESTAURANT, INC.","[""107 SALEM RESTAURANT, INC.""]","[""BACCO""]","[""LB-99204""]","[""R02857""]","[""alcohol_license""]",True,[]
BH-3716fb3f93916dee,11 FAN PIER RESTAURANT LLC,"[""11 FAN PIER RESTAURANT LLC""]","[""SERAFINA""]","[""LB-99292""]","[""R02774""]","[""alcohol_license""]",True,[]
BH-b6ba6e1b9c60d141,110 Boulevard Restaurant LLC,"[""110 Boulevard Restaurant LLC""]","[""110 Boulevard""]","[""LB-101573""]","[""R02404""]","[""alcohol_license""]",True,[]
BH-3c0b451c271d3b47,110 Grill SB Boston LLC,"[""110 Grill SB Boston LLC""]","[""110 Grill""]","[""LB-385719""]","[""R00946""]","[""alcohol_license""]",True,[]
BH-93f26873e8e5d119,"119 Salem Street, Inc.","[""119 Salem Street, Inc.""]","[""Ristorante Euno""]","[""LB-99737""]","[""R02844""]","[""alcohol_license""]",True,[]
BH-2bf5c95558b9d63b,121 Seaport Boulevard LLC,"[""121 Seaport Boulevard LLC""]","[""Museum of Ice Cream""]","[""LB-99800""]","[""R02323""]","[""alcohol_license""]",True,[]
BH-c2d93760e42a092f,1260 BOYLSTON STREET LLC,"[""1260 BOYLSTON STREET LLC""]","[""SOJOUBA""]","[""LB-99064""]","[""R03059""]","[""alcohol_license""]",True,[]
BH-dce9e5a84dda135c,"132 BROOKLINE AVENUE, LLC","[""132 BROOKLINE AVENUE, LLC""]","[""SAL'S PIZZA""]","[""LB-99669""]","[""R02380""]","[""alcohol_license""]",True,[]
BH-59deed585bd5c4a2,"144 HARVARD STREET LIQUOR, INC.","[""144 HARVARD STREET LIQUOR, INC.""]","[""GIGI'S""]","[""LB-101870""]","[""R01989""]","[""alcohol_license""]",True,[]
BH-f7b380b90e066498,149 Charles Pub LLC,"[""149 Charles Pub LLC""]","[""Charles Street Pub""]","[""LB-101581""]","[""R02374""]","[""alcohol_license""]",True,[]
BH-bfc82338cc247bb5,15 BEACON STREET LLC,"[""15 BEACON STREET LLC""]","[""XV BEACON HOTEL""]","[""LB-101651""]","[""R02809""]","[""alcohol_license""]",True,[]
BH-0916577d72bf066d,"150 CANAL STREET, INC.","[""150 CANAL STREET, INC.""]","[""Hurricane's""]","[""LB-99229""]","[""R02482""]","[""alcohol_license""]",True,[]
BH-15155bfef7bbbfee,1508 TREMONT CORP,"[""1508 TREMONT CORP""]",[],"[""LB-156769""]","[""R01171""]","[""alcohol_license""]",True,[]
BH-8d045d730d3c3e2b,170 NORTHEND CORP.,"[""170 NORTHEND CORP.""]","[""SALEM MARKET""]","[""LB-102015""]","[""R03121""]","[""alcohol_license""]",True,[]
BH-db409cd895e8cb4a,"170, LLC","[""170, LLC""]","[""THE GRANARY TAVERN""]","[""LB-99227""]","[""R02481""]","[""alcohol_license""]",True,[]
BH-50bb15974114d7ae,1704 WASHINGTON LLC,"[""1704 WASHINGTON LLC""]","[""TORO""]","[""LB-99141""]","[""R02471""]","[""alcohol_license""]",True,[]
BH-9c084927ea0cbdd2,"1732 CENTRE STREET,INC.","[""1732 CENTRE STREET,INC.""]","[""WEST""]","[""LB-98979""]","[""R02456""]","[""alcohol_license""]",True,[]
BH-8525151034561222,"175 IPSWICH STREET, LLC","[""175 IPSWICH STREET, LLC""]",[],"[""LB-99377""]","[""R02032""]","[""alcohol_license""]",True,[]
BH-8f16def69ae11ad9,"1750 Washington, Inc.","[""1750 Washington, Inc.""]","[""Novo Lantern""]","[""LB-603690""]","[""R00148""]","[""alcohol_license""]",True,[]
BH-df8f026d81732480,"1844, INC.","[""1844, INC.""]","[""COMELLA'S""]","[""LB-99666""]","[""R02154""]","[""alcohol_license""]",True,[]
BH-c76f46bbe11a0cd8,186 HARVARD AVE BAR LLC,"[""186 HARVARD AVE BAR LLC""]","[""HAN""]","[""LB-99093""]","[""R02191""]","[""alcohol_license""]",True,[]
BH-360aa4a4b623669c,"1885 CENTRE STREET, LLC","[""1885 CENTRE STREET, LLC""]","[""Boston Ale House""]","[""LB-99374""]","[""R02769""]","[""alcohol_license""]",True,[]
BH-22aca2dbf4bb3622,1928 BEACON HILL LLC,"[""1928 BEACON HILL LLC""]","[""1928 BEACON HILL""]","[""LB-99439""]","[""R02517""]","[""alcohol_license""]",True,[]
BH-ab7772ca60d02fd3,"1928 Rowes Wharf,LLC","[""1928 Rowes Wharf,LLC""]","[""1928 Rowes Wharf""]","[""LB-99452""]","[""R02998""]","[""alcohol_license""]",True,[]
BH-64da39186c62b552,"200 Boylston Street Restaurant, LLC","[""200 Boylston Street Restaurant, LLC""]",[],"[""LB-99391""]","[""R02766""]","[""alcohol_license""]",True,[]
BH-07b8ca688ca019f7,2000 CHEF FOOD CORP.,"[""2000 CHEF FOOD CORP.""]","[""Nagomi""]","[""LB-99863""]","[""R02883""]","[""alcohol_license""]",True,[]
BH-ee4e012d27705277,204 Hanover Corp.,"[""204 Hanover Corp.""]","[""North End Lobster Co.""]","[""LB-99580""]","[""R03049""]","[""alcohol_license""]",True,[]
BH-9aaa6488f1858d41,"20TEN ASHMONT MARKET, INC.","[""20TEN ASHMONT MARKET, INC.""]",[],"[""LB-101843""]","[""R02727""]","[""alcohol_license""]",True,[]
BH-08d34c12c02c4704,"21ST, INC.","[""21ST, INC.""]","[""21ST. AMENDMENT""]","[""LB-98921""]","[""R02444""]","[""alcohol_license""]",True,[]
BH-72a034718086a758,224 BOSTON RESTAURANT LLC,"[""224 BOSTON RESTAURANT LLC""]","[""224 BOSTON""]","[""LB-99349""]","[""R02504""]","[""alcohol_license""]",True,[]
BH-604a2eb425d92993,24 NEW STREET RESTAURANT LLC,"[""24 NEW STREET RESTAURANT LLC""]","[""Reel House""]","[""LB-202199""]","[""R01135""]","[""alcohol_license""]",True,[]
BH-8906136869521ba9,"250 Western, LLC","[""250 Western, LLC""]","[""FiDO Pizza""]","[""LB-99426""]","[""R02515""]","[""alcohol_license""]",True,[]
BH-74f0ab3474ac67cc,"253 FOOD AND SPIRIT, LLC","[""253 FOOD AND SPIRIT, LLC""]","[""Nashvilles Ghost Light Tavern""]","[""LB-99251""]","[""R02018""]","[""alcohol_license""]",True,[]
BH-778be8f5e3b25ffc,"255 NEWBURY, INC.","[""255 NEWBURY, INC.""]","[""“La Neta” and “Sabina”""]","[""LB-128814""]","[""R01330""]","[""alcohol_license""]",True,[]
BH-90b13ca32ebb8095,280 Friend Street Fee LLC,"[""280 Friend Street Fee LLC""]","[""Hotel Indigo Boston""]","[""LB-303392""]","[""R01054""]","[""alcohol_license""]",True,[]
BH-4bf6fa36c9a5c29c,"286  CAMBRIDGE STREET, INC.","[""286  CAMBRIDGE STREET, INC.""]","[""ANTONIO'S""]","[""LB-163200""]","[""R01194""]","[""alcohol_license""]",True,[]
BH-6a8430af44c3e055,30 FLEET STREET CORPORATION,"[""30 FLEET STREET CORPORATION""]","[""LA SUMMA""]","[""LB-99714""]","[""R03006""]","[""alcohol_license""]",True,[]
BH-63dfd58b1fde4aee,"30 TRAVELER, LLC","[""30 TRAVELER, LLC""]","[""BAR MEZZANA""]","[""LB-99055""]","[""R02102""]","[""alcohol_license""]",True,[]
BH-b76c8f08775c7fd9,311 Bos Inc.,"[""311 Bos Inc.""]","[""311 Omakase""]","[""LB-99672""]","[""R02056""]","[""alcohol_license""]",True,[]
BH-d9fb273c43046dcf,"320 Cafe, LLC","[""320 Cafe, LLC""]","[""Joe's 320 Cafe""]","[""LB-396004""]","[""R00936""]","[""alcohol_license""]",True,[]
BH-1b8ee13c4b529e84,"326B, LLC","[""326B, LLC""]","[""Red Fox / Extra Dirty""]","[""LB-99005""]","[""R01963""]","[""alcohol_license""]",True,[]
BH-5098b1a4d3243eb0,"370 Western Ave Wild Duck, Inc.","[""370 Western Ave Wild Duck, Inc.""]","[""The Wild Duck""]","[""LB-101945""]","[""R02587""]","[""alcohol_license""]",True,[]
BH-75a177bdfaa1d841,"378 CENTRE STREET, INC.","[""378 CENTRE STREET, INC.""]","[""THE BRENDAN BEHAN PUB""]","[""LB-98982""]","[""R02354""]","[""alcohol_license""]",True,[]
BH-af064f1709ebfe53,"383 Lot, LLC","[""383 Lot, LLC""]","[""Park City""]","[""LB-99825""]","[""R02691""]","[""alcohol_license""]",True,[]
BH-21758b112b9b01a5,39 Dalton License LLC,"[""39 Dalton License LLC""]","[""Sheraton""]","[""LB-101620""]","[""R02688""]","[""alcohol_license""]",True,[]
BH-50998827342515e1,3W&Z CORP.,"[""3W&Z CORP.""]","[""TAIWAN CAFE""]","[""LB-99589""]","[""R02047""]","[""alcohol_license""]",True,[]
BH-e76404428192b837,"418RE-One Appleton, LLC","[""418RE-One Appleton, LLC""]","[""Reunion BBQ""]","[""LB-99116""]","[""R02069""]","[""alcohol_license""]",True,[]
BH-f0522738a3715c4c,"425 BROADWAY, LLC","[""425 BROADWAY, LLC""]",[],"[""LB-99049""]","[""R02298""]","[""alcohol_license""]",True,[]
BH-e968cded3c7302cc,429 Broadway LLC,"[""429 Broadway LLC""]","[""Dalia""]","[""LB-99242""]","[""R02485""]","[""alcohol_license""]",True,[]
BH-772dae61be318dff,"443 BROADWAY, LLC","[""443 BROADWAY, LLC""]","[""CAPO""]","[""LB-99447""]","[""R02629""]","[""alcohol_license""]",True,[]
BH-2d3e1e6a61531a64,"47 HUNTINGTON MANAGER, LLC","[""47 HUNTINGTON MANAGER, LLC""]","[""COPLEY SQUARE HOTEL""]","[""LB-101627""]","[""R02328""]","[""alcohol_license""]",True,[]
BH-d451df6cc8af2433,"490 Harrison Restaurant, LLC","[""490 Harrison Restaurant, LLC""]","[""Capri""]","[""LB-595024""]","[""R00319""]","[""alcohol_license""]",True,[]
BH-6f759017164c81b1,"5 NSQ, LLC","[""5 NSQ, LLC""]","[""Ciao Roma / Farmacia""]","[""LB-99226""]","[""R02569""]","[""alcohol_license""]",True,[]
BH-cf6fe8fde05dae61,51 Liberty Drive LLC,"[""51 Liberty Drive LLC""]","[""DAVIO'S NORTHERN ITALIAN STEAKHOUSE""]","[""LB-99280""]","[""R02344""]","[""alcohol_license""]",True,[]
