name,clean_pages,total_pages,noise_pct,findings_exact,findings_text
JPMorgan Chase,97312,97723,0.4,0,44
JEE corp.,78546,78604,0.1,0,0
Deutsche Bank,59339,60529,2.0,38,329
GMAIL COM,55012,55106,0.2,0,62
J.P. Morgan (S.E.A.) Limited,31618,31687,0.2,0,0
"Apple, Inc.",30497,30637,0.5,0,0
American Express,26061,26243,0.7,0,9
HBRK Associates,22212,22374,0.7,5,74
Financial Trust Company,16052,16144,0.6,20,60
T-Mobile,15420,15459,0.3,0,0
AT&T of the V.I.,12852,12882,0.2,0,0
"SOUTHERN FINANCIAL GROUP, INC.",11368,11555,1.6,13,0
N Chase & Co.,10808,10835,0.2,0,1
J. P. MORGAN SECURITIES INC.,8863,8903,0.4,0,1
"THE SOUTHERN DISTRICT REPORTERS, P.C.",8344,8357,0.2,0,0
Corporation (SIPC),7589,7647,0.8,0,0
FBI,6826,7226,5.5,0,0
FINRA,6582,6655,1.1,0,0
FedEx,6406,6421,0.2,0,0
Southern Trust Company,6046,6075,0.5,18,85
NYSE,5463,5505,0.8,0,0
"JEGE, Inc., Incorporated",5246,5254,0.2,3,0
"NES, LLC.",5166,5174,0.2,3,0
SOUTHERN DISTRICT OF NEW YORK,3923,4018,2.4,0,2
Verizon,3605,3617,0.3,0,0
Centurion® Travel Service,3545,3548,0.1,0,0
U.S. DOJ,3545,3644,2.7,0,0
Apollo Global Management L.L.C.,3508,3555,1.3,19,0
FDIC,3349,3373,0.7,0,0
Hyperion Air,3143,3146,0.1,1,21
The United States District Court,3106,3159,1.7,0,0
J.P. Morgan Team,2859,2859,0.0,0,0
Mitchell Mitchell Holdings LLC,2718,2720,0.1,0,1
LSJ Company,2696,2696,0.0,1,0
UBS,2569,2646,2.9,0,0
Neptune LLC Corp,2539,2549,0.4,3,0
"LSJE, LLC's",2464,2467,0.1,1,3
BlackBerry Ltd.,2373,2381,0.3,0,0
U.S. IRS,2363,2391,1.2,0,0
Department of Justice (D.O.J.),2329,2574,9.5,7,0
ZORRO DEVELOPMENT CORPORATION,2260,2261,0.0,2,0
DARREN K. INDYKE PLLC -,2255,2267,0.5,95,19
Gratitude America,2191,2196,0.2,43,132
Centurion Relationship Manager,2180,2185,0.2,0,0
GOVERNMENT OF THE,2179,2218,1.8,0,3
"Google, Inc.",2171,2445,11.2,0,1
Bank of America,2111,2151,1.9,1,25
FED. R. CRIM. P. 6(e),2097,2115,0.9,0,1
JPMCB,2082,2084,0.1,0,0
"APOLLO MANAGEMENT CO., LLC.",1982,1983,0.1,19,0
Trust & Haze Trust,1965,1968,0.2,5,6
ARIZONA STATE UNIVERSITY,1917,1961,2.2,0,1
"Glendower Capital (U.S.), LLC",1843,2004,8.0,0,0
"Glendower Capital Secondary Opportunities Fund IV (U.S.), L.P.",1843,1850,0.4,0,0
Wells Fargo,1811,1895,4.4,0,22
(USANYS),1796,1821,1.4,0,0
U.S. Private Bank,1758,1799,2.3,0,0
U.S. AIR FRANCE,1736,1742,0.3,0,0
"PLAN D, INC.",1709,1713,0.2,4,0
Citigroup,1702,1747,2.6,0,0
"ZORRO MANAGEMENT, LLC",1698,1701,0.2,1,11
"Reich & Tang Distributors, Inc.",1694,1694,0.0,0,0
S.D.N.Y. Court,1681,1723,2.4,0,0
"New York Strategy Group, L.L.C",1667,1671,0.2,1,0
DB Group,1664,1674,0.6,0,0
Reich & Tang Asset Management L.P.,1638,1638,0.0,0,0
Bloomberg,1631,1781,8.4,0,0
FlightAware Alerts,1581,1581,0.0,0,1
The Centurion Card,1546,1552,0.4,0,0
gmail.c=m,1517,1548,2.0,0,0
JPMCC's,1484,1487,0.2,0,0
KWF 2007 LLC,1461,1461,0.0,0,9
SSW 2007 LLC,1449,1449,0.0,0,9
American Airlines Group Inc.,1421,1448,1.9,0,0
The SEC Group,1400,1486,5.8,0,0
PERSHING & COMPANY,1368,1368,0.0,0,0
Federal Express Corporation,1363,1363,0.0,0,0
The American Century Funds,1339,1340,0.1,0,0
JPMSI's,1334,1338,0.3,0,0
Harvard M.B.A.,1311,1372,4.4,0,0
The United States,1309,1385,5.5,1,6
ALPHA GROUP CAPITAL LLC.,1307,1311,0.3,0,2
BMG,1301,1302,0.1,0,0
