name,category,flags,clean_pages,total_pages,noise_pct,findings_exact,findings_text,variants
Jeffrey E. Epstein,associate,SELF,353344,356661,0.9,224,494,Jeffrey Epstein; jeffrey epstein; Jefffrey Epstein; JEFFREY EPSTEIN
Lesley Groff Lesley,enabler,,98367,100424,2.0,24,139,Lesley Groff; Lesley Groffi; Lesley Grof; Lesley Groff Lesley
Richard D. Kahn,other,,43379,43732,0.8,11,201,Richard Kahn; Rich Kahn; Richard Kahn12; RICHARD KAHN
Karyna Shuliak,other,,20060,20137,0.4,7,38,Karyna Shuliak; Karina Shuliak; Karyana Shuliak; KARYNA SHULIAK
Larry Visoski Larry,associate,,15057,15086,0.2,0,7,Larry Visoski; Larry Visoski Larry; Lawrence Visoski; LARRY VISOSKI
Ann Rodriguez,staff,,14760,14779,0.1,0,1,Ann Rodriguez; ann rodriquez; ann rodriguez; Ann Rodriquez
Ghislaine Maxwell,perpetrator,,13173,13426,1.9,10,69,Ghislaine Maxwell; GHISLAINE MAXWELL; GHIISLAINE MAXWELL; GHI LAINE MAXWELL
Darren Indyke,associate,,11117,11270,1.4,95,241,Darren Indyke; DARREN K. INDYKE; DARREN K INDYKE; Darren K. Indyke
Bella Klein,staff,,10769,10878,1.0,1,32,Bella Klein; BELLA KLEIN; ella Klein; Bella Kleini
Stewart Oldfield,,,9891,9928,0.4,10,43,Stewart Oldfield; Stew Oldfield; stewart oldfield; STEWART OLDFIELD
Paul Morris,legal,,9778,9789,0.1,0,11,Paul Morris; Paul V Morris; PAUL MORRIS; PAUL V MORRIS
Boris Nikolic's,academic,,8517,8563,0.5,7,37,"Boris Nikolic; Nikolic, Boris; boris nikolic; Bori= Nikolic"
Natalia Molotkova,staff,,8277,8296,0.2,0,1,Natalia Molotkova; Natalia (Natasha) Molotkova; Natalia X Molotkova; Natalia X Molotkva
Brice Gordon,staff,,8257,8259,0.0,0,1,Brice Gordon; brice gordon; Brice M Gordon; bruce gordon
RUEMMLER/KATHRYN MRS,legal,,7769,7798,0.4,33,102,Kathy Ruemmler; Kathryn Ruemmler; Kathy Reummler; Kathryn H. Ruemmler
Daphne Wallace,other,,7040,7049,0.1,0,13,Daphne Wallace; Wallace Daphne; aphne Wallace; Mrs. Daphne Wallace
Merwin de la Cruz,staff,,6763,6786,0.3,0,3,merwin dela cruz; Merwin Dela cruz; Merwin Dela Cruz; merwin dela cruzi
Amanda Kirby,financial,,6068,6117,0.8,0,6,Amanda Kirby; Amenda Kirby; Amanda Kirb; Amanda Kurbey
Leon Black,business,,6013,6158,2.4,62,225,Leon Black; Leon D. Black; LEON D BLACK; leon black
Harry Beller,associate,,5796,5821,0.4,1,29,Harry Beller; HARRY BELLER; Harry Baller; HARRY I. BELLER
Melanie Spinella,other,,5403,5415,0.2,1,19,Melanie Spinella; elanie Spinella; Melanie Spinell; M=lanie Spinella
Vahe Stepanian,financial,,5325,5329,0.1,0,4,Vahe Stepanian; Vahe Stepaniian; Vane Stepanian; Vaha Stepanian
Jo-Jo Fontanella,other,,5288,5292,0.1,0,6,Jojo Fontanilla; Jojo fontanilla; JoJo Fontanilla; JoJo fontanilla
Joi Ito,academic,,5159,5197,0.7,1,2,Joi Ito; Joichi Ito; Joi ito; joi ito
Jes Staley,business,,5045,5116,1.4,3,36,"Jes Staley; Staley, Jes; James Edward Staley; jes staley"
Martin Nowak,academic,,5010,5087,1.5,1,17,"Martin Nowak; Nowak, Martin; Martin A. Nowak; Nowak, Martin A."
David Mitchell,business,,4911,4955,0.9,1,17,David Mitchell; David J. Mitchell; DAVID MITCHELL; david mitchell
"Young, Janet E",,,4715,4719,0.1,0,8,Janet Young; Janet E. Young; Janet E Young; JANET YOUNG
David Stern,other,,4604,4622,0.4,15,50,David Stern; david stern; david.stern; David stern
Paul Barrett,financial,,4475,4504,0.6,0,16,"Paul Barrett; Paul S Barrett; Barrett, Paul S; Paul S. Barrett"
Cecile de Jongh,associate,,4368,4375,0.2,0,15,Cecile de Jongh; Cece de Jongh; Cecile De Jongh; CECILE DE JONGH
