family_id,member_count,max_score,priority,representative_ref,dates,member_refs,evidence_types,signals,preview
draftfam-30295333350e,2,148,high,EFTA00743144,,EFTA00743144;EFTA01154716,explicit_draft_ui,documentation_language;explicit_draft_language;public_statement_language,"Q Draft Fwd: - i received your letter. if you look at the rendering you sent, that was the approved finish„ i O Draft (no subject) - you eat, leave drive away„ with out even a good bye ... O Draft (no subject) - make your burrito, never ask if I would like anything ... O Draft (no subject) - 1 pm .. i called you to get newspaper.. so far„ no help , courtesy, thank you to jenn, or ... O Draft (no subject) - Im going to get magazines would you like some? that is the limit of your inquire so far .."
draftfam-40a3c4ae5368,3,113,high,EFTA00965766,;Thur 7/18/2013,EFTA00965766;EFTA00965773;EFTA01967528,self_addressed,formal_salutation;pressure_language;third_party_voice,"dear bill I cannot believe that you have chosen to disregard our friendship developed of over the last 6 years . I am aware that Accidents happen , it is how each of us has chosen to deal with this unfortunate event that has me dismayed beyond comprehension. you have decided to discharge me from my job, had Larry, your pr person tell me that I engaged in morally inappropriate behavior asked me to be the major actor in a cover up so that you can maintain the reputation that you have worked so har"
draftfam-04d04fbb8872,7,95,high,EFTA01965732,";7/18/2013;July 17, 2013;Thur 7/18/2013 1:03:42 AM",EFTA00965059;EFTA00965770;EFTA00965784;EFTA01965732;EFTA01966772;EFTA01966988;EFTA01967726,self_addressed,pressure_language;third_party_voice,"I have decided to resign my position effective immediately with BG3 and the Bill and Melinda Gates Foundation. I have not come to this decision quickly or without a great deal of thought. During the past few weeks I have been caught up in a severe marital dispute between Melinda and Bill. I have the greatest respect for my friend of 7 years, and wish them both well. In my role as his right hand I have been asked and wrongly acquiesced into participating in things that have ranged from the morall"
draftfam-4a04cf70328e,3,80,medium,EFTA02497189,";June 30, 2015",EFTA00837482;EFTA00852819;EFTA02497189,self_addressed;self_copy_with_others,explicit_draft_language,"1.I believe I have heard you, but i wante= to make certain that I have understood Though after much di=cussion, much! you were adamant that i receive my fee only at the=very END of my work, oct 15, this was a long discussion but you felt very st=ongly at the time. you now feel that as it was a very large s=m of money. some of my time this year should be spent o= your recent concept of ""after care"" . - and that after care should be for free. I have continued to pay others as=well. I have asked an"
draftfam-1252515cbbe1,1,80,medium,HOUSE_OVERSIGHT_023291,"October 26, 2015",HOUSE_OVERSIGHT_023291,self_addressed,explicit_draft_language,"Importance: High Date: Mon, Oct 26, 2015 at 8:37 PM Subject: To: Brad Wechsler Melanie Spinella gain at 20% not 28.. so total, 35.8%. tax rate. same for boat. and plane each around 10 m so total 7 m savings if both sold Date: Tue, Oct 27, 2015 at 11:35 AM Subject: Detailed constructive list. To: Melanie Spinella Cc: Brad Wechsler Decisions needed asap 1 phaidon. topco etc. (cash needs) many wires needed !! 2 new trustee or not. - new decantings 3 art in art partnership.??! overdue ?! 4 grats? wi"
draftfam-61939069a065,1,80,medium,EFTA01900271,4/10/2013,EFTA01900271,self_addressed,explicit_draft_language,"1. 80 percent of contracted job is accomplished, now drafting, signing and few critical decisions on your part still await, will fill in nec blanks, 1, how much of upside to kids, 2, protections, 3 allocations, 4. charitable, inventory, securities, 2. to engage the second phase if you so choose, and considering there is only 8 more to be paid this year in oct, for the job now almost completed, total of 23. that was agreed only for history fix. 3. with the neccessary proprietary protections, prop"
draftfam-82b52331389c,1,80,medium,EFTA02488158,"September 19, 2015",EFTA02488158,self_copy_with_others,explicit_draft_language;handoff_language,"after speaking to many people re alternatives. it appears none are even close to good, none. I think it co=es down to the least suckiest. hence i think you should consider uni=ateraly imposing a solution, it would have two parts. you will send her the details of what you intend to do . (=ow and in what form that takes is to be discussed. ie text,letter. lawyers letter etc in person by your representat=ve ? ) you will tell her that it appears obvious there i= no further reason to meet, you have l"
draftfam-de09ed4a08f3,1,78,medium,EFTA00908205,,EFTA00908205,draft_handoff,explicit_draft_language;handoff_language;public_statement_language,"is there any way to use this email sent to my friend whose boyfriend charles was contacted first. -- Forwarded message From: Date: Thu, Mar 10, 2011 at 9:47 AM Subject: Fw: Chat with AJ on 3/10/2011 To: Jeffrey I copied the chat and emailed it to myself... Can this help you? And I have her full name now from facebook if its true Sent via BlacicBerry from T-Mobile Original Message From: Date: Thu, 10 Mar 2011 12:23:50 To: me Reply-To: Subject: Chat with AJ on 3/10/2011 Participants: ,AJ Messages:"
draftfam-a25e0e1156f6,1,77,medium,HOUSE_OVERSIGHT_023627,October 8 2016,HOUSE_OVERSIGHT_023627,self_addressed,pressure_language;public_statement_language,"It's an absurdly vast house, among the largest in Manhattan, but the dining room is grand but peaceful, creating a hermetic or stop-time sense, broken only by the household staff ferrying in time-of-day-appropriate exotic foods and beverages. The real world seems terribly far away, but with paparazzi often posted near by, it's dangerously close too. Once I arrived for a visit and found several police cars blocking the street and thought the worst—they'd come for him. But it was a massive securit"
draftfam-9334a927b366,4,75,medium,EFTA01001693,";December 3, 2014",EFTA01001693;EFTA01002279;EFTA02596421;EFTA02599018,self_addressed,handoff_language,"this would mean 1 million this year and 2million anytime you wanted next year Denise A. Gorayeb Recording Secretary Harvard University Recording Secretary's Office 124 Mt Auburn St Cambridge MA 02138 Dear Ms Gorayeb, I would like to donate a gift in the amount of $ 3,000,000 in support of Professor Martin Nowak's Program for Evolutionary Dynamics (PED), located at 1 Brattle Square, Cambridge. This gift is supposed to cover the maintenance of space and occupancy, equipment, supplies and administr"
