cik	name	priority	thread_id	recommended_skill	bucket	forms	form4	capital_forms	sectors	reason
1922446	Diversified Energy Co	high	3	trace-entity	Mining / Energy	16	16		hard_asset	16 Form 4; 16 total filings; hard_asset
1853962	i-80 Gold Corp.	high	3	trace-entity	Mining / Energy	10	10		hard_asset	10 Form 4; 10 total filings; hard_asset
1876183	IHS Holding Ltd	high	7	trace-entity	Offshore / Opacity	22	9			9 Form 4; 22 total filings
1840706	SOPHiA GENETICS SA	high	4	trace-entity	Biotech / Medtech	23	8	424B3, EFFECT, F-3	biotech	8 Form 4; 23 total filings; 424B3/EFFECT/F-3; biotech
1842827	Kanzhun Ltd	high	7	trace-entity	Offshore / Opacity	7	6			6 Form 4; 7 total filings
1464591	GeoPark Ltd	high	7	trace-entity	Offshore / Opacity	18	5			5 Form 4; 18 total filings
1969302	Pony AI Inc.	high	6	pursue-lead	Governance / Control	15	5		tech_growth	5 Form 4; 15 total filings; tech_growth
2088256	Horizon Quantum Holdings Ltd.	high	2	pursue-lead	Recent Listing / Resale	11	5	424B3, EFFECT, F-4, F-4/A	tech_growth	5 Form 4; 11 total filings; 424B3/EFFECT/F-4/F-4/A; tech_growth
1951222	SEALSQ Corp	high	2	pursue-lead	Recent Listing / Resale	18	4	424B5		4 Form 4; 18 total filings; 424B5
1861737	Hesai Group	high	6	pursue-lead	Governance / Control	12	4		tech_growth	4 Form 4; 12 total filings; tech_growth
1874315	Satellogic Inc.	high	2	pursue-lead	Recent Listing / Resale	4	4	424B5		4 Form 4; 4 total filings; 424B5
1841644	PicS N.V.	high	2	pursue-lead	Recent Listing / Resale	12	3	EFFECT, F-1, F-1/A		3 Form 4; 12 total filings; EFFECT/F-1/F-1/A
1715497	Borr Drilling Ltd	high	3	trace-entity	Mining / Energy	24	2		hard_asset	2 Form 4; 24 total filings; hard_asset
1833835	Paysafe Ltd	high	5	trace-entity	Fintech / Crypto	20	1		fintech	1 Form 4; 20 total filings; fintech
1684693	Sol-Gel Technologies Ltd.	high	2	pursue-lead	Recent Listing / Resale	12	1	424B5, EFFECT, POS AM	tech_growth	1 Form 4; 12 total filings; 424B5/EFFECT/POS AM; tech_growth
1795251	Nano-X Imaging Ltd.	high	2	pursue-lead	Recent Listing / Resale	9	1	F-3, F-3/A		1 Form 4; 9 total filings; F-3/F-3/A
1819794	Fusion Fuel Green PLC	high	2	pursue-lead	Recent Listing / Resale	7	1	424B3, EFFECT, F-3		1 Form 4; 7 total filings; 424B3/EFFECT/F-3
1737339	Aurora Mobile Ltd	high	2	pursue-lead	Recent Listing / Resale	1	1	F-3	tech_growth	1 Form 4; 1 total filings; F-3; tech_growth
1778016	NovaBridge Biosciences	high	4	trace-entity	Biotech / Medtech	16	0		biotech	16 total filings; biotech
1584371	IceCure Medical Ltd.	high	4	trace-entity	Biotech / Medtech	12	0	424B5, EFFECT, F-3/A, POS AM	biotech	12 total filings; 424B5/EFFECT/F-3/A/POS AM; biotech
2020932	Agomab Therapeutics NV	high	4	trace-entity	Biotech / Medtech	11	0	EFFECT, F-1, F-1/A	biotech	11 total filings; EFFECT/F-1/F-1/A; biotech
1739016	Elevra Lithium Ltd	high	3	trace-entity	Mining / Energy	11	0		hard_asset	11 total filings; hard_asset
1861841	Arbe Robotics Ltd.	high	2	pursue-lead	Recent Listing / Resale	10	0	424B5, EFFECT, F-3	tech_growth	10 total filings; 424B5/EFFECT/F-3; tech_growth
1945565	BGIN BLOCKCHAIN Ltd	high	5	trace-entity	Fintech / Crypto	10	0		fintech, tech_growth	10 total filings; fintech/tech_growth
1901215	Brenmiller Energy Ltd.	high	3	trace-entity	Mining / Energy	10	0	EFFECT, F-3	hard_asset	10 total filings; EFFECT/F-3; hard_asset
1631487	CollPlant Biotechnologies Ltd	high	4	trace-entity	Biotech / Medtech	10	0	424B5, EFFECT, F-3	biotech, tech_growth	10 total filings; 424B5/EFFECT/F-3; biotech/tech_growth
1553846	RedHill Biopharma Ltd.	high	4	trace-entity	Biotech / Medtech	10	0	424B3, EFFECT, F-1/A	biotech	10 total filings; 424B3/EFFECT/F-1/A; biotech
1916241	ParaZero Technologies Ltd.	high	2	pursue-lead	Recent Listing / Resale	9	0	424B5	tech_growth	9 total filings; 424B5; tech_growth
2019435	Blue Gold Ltd	high	3	trace-entity	Mining / Energy	8	0	424B3, EFFECT, F-1/A	hard_asset	8 total filings; 424B3/EFFECT/F-1/A; hard_asset
1757840	Indonesia Energy Corp Ltd	high	3	trace-entity	Mining / Energy	8	0	424B5	hard_asset	8 total filings; 424B5; hard_asset
2029039	Nasus Pharma Ltd	high	4	trace-entity	Biotech / Medtech	8	0	EFFECT, F-1, POS AM	biotech	8 total filings; EFFECT/F-1/POS AM; biotech
1963439	Turbo Energy, S.A.	high	3	trace-entity	Mining / Energy	8	0	424B5	hard_asset	8 total filings; 424B5; hard_asset
1834489	Genius Sports Ltd	medium	7	trace-entity	Offshore / Opacity	12	3			3 Form 4; 12 total filings
1838957	ATRenew Inc.	medium	6	pursue-lead	Governance / Control	9	3			3 Form 4; 9 total filings
1835963	Global-E Online Ltd.	medium	7	trace-entity	Offshore / Opacity	3	3		tech_growth	3 Form 4; 3 total filings; tech_growth
1639877	Ferroglobe PLC	medium	7	trace-entity	Offshore / Opacity	19	2			2 Form 4; 19 total filings
1843588	REE Automotive Ltd.	medium	7	trace-entity	Offshore / Opacity	13	2			2 Form 4; 13 total filings
1597095	Tuniu Corp	medium	6	pursue-lead	Governance / Control	2	2			2 Form 4; 2 total filings
1896084	ioneer Ltd	medium	7	trace-entity	Offshore / Opacity	12	1			1 Form 4; 12 total filings
1756699	UP Fintech Holding Ltd	medium	5	trace-entity	Fintech / Crypto	5	1		fintech, tech_growth	1 Form 4; 5 total filings; fintech/tech_growth
1866782	Codere Online Luxembourg, S.A.	medium	7	trace-entity	Offshore / Opacity	14	0		tech_growth	14 total filings; tech_growth
1619544	9F Inc.	medium	6	pursue-lead	Governance / Control	7	0			7 total filings
1872964	Maris Tech Ltd.	medium	2	pursue-lead	Recent Listing / Resale	7	0	424B5, EFFECT, F-3	tech_growth	7 total filings; 424B5/EFFECT/F-3; tech_growth
1993431	Micropolis AI Robotics	medium	2	pursue-lead	Recent Listing / Resale	7	0	424B3	tech_growth	7 total filings; 424B3; tech_growth
1643918	Biodexa Pharmaceuticals Plc	medium	4	trace-entity	Biotech / Medtech	6	0	424B3	biotech	6 total filings; 424B3; biotech
1932072	LOBO TECHNOLOGIES LTD.	medium	2	pursue-lead	Recent Listing / Resale	6	0	EFFECT, F-1/A	tech_growth	6 total filings; EFFECT/F-1/A; tech_growth
1875091	NeuroSense Therapeutics Ltd.	medium	4	trace-entity	Biotech / Medtech	6	0	F-3	biotech	6 total filings; F-3; biotech
1779476	36Kr Holdings Inc.	medium	7	trace-entity	Offshore / Opacity	5	0			5 total filings
1659494	51Talk Online Education Group	medium	6	pursue-lead	Governance / Control	5	0		tech_growth, consumer_story	5 total filings; tech_growth/consumer_story
1976695	Mobile-health Network Solutions	medium	4	trace-entity	Biotech / Medtech	5	0	F-1	biotech, tech_growth	5 total filings; F-1; biotech/tech_growth
