owner_cik,owner_name,issuer_count,filing_count,form3_count,form4_count,form5_count,roles,chairman_flag,director_flag,agent_prefixes,issuer_list
0001475597,HRT FINANCIAL LP,17,102,30,72,0,10% Owner,0,0,0001475597,Meiwu Technology Co Ltd [0001787803]; Lion Group Holding Ltd [0001806524]; Vision Marine Technologies Inc. [0001813783]; Ridgetech Inc. [0001856084]; Clearmind Medicine Inc. [0001892500]; Hub Cyber Security Ltd. [0001905660]; GMEX Robotics Corp [0001928581]; WORK Medical Technology Group LTD [0001929783]; Rubico Inc. [0001943421]; CL Workshop Group Ltd [0001948294]; Decent Holding Inc. [0001958133]; Linkers Industries Ltd [0001972074]; NewGenIvf Group Ltd [0001981662]; YY Group Holding Ltd. [0001985337]; INLIF Ltd [0001991592]; 707 Cayman Holdings Ltd. [0002018222]; Fitness Champs Holdings Ltd [0002023796]
0002121924,Yang Conor Chia-hung,5,5,5,0,0,CHIEF FINANCIAL OFFICER; Director,0,1,0001104659; 0001193125,"iQIYI, Inc. [0001722608]; UP Fintech Holding Ltd [0001756699]; EHang Holdings Ltd [0001759783]; NovaBridge Biosciences [0001778016]; Smart Share Global Ltd [0001834253]"
0001973096,Adler Oz,4,7,6,1,0,CEO and CFO; Director,0,1,0001213900; 0001493152,SciSparc Ltd. [0001611746]; Rail Vision Ltd. [0001743905]; Nexera Technologies Ltd [0001885408]; Polyrizon Ltd. [0001893645]
0001245162,BLIDNER JEFFREY M,4,5,4,1,0,Director,0,1,0001104659,Brookfield Infrastructure Partners L.P. [0001406234]; Brookfield Renewable Partners L.P. [0001533232]; Brookfield Property Partners L.P. [0001545772]; Brookfield Business Corp [0001654795]
0002121849,Pittas Aristeidis J,4,4,4,0,0,Chief Executive Officer; Director,0,1,0000919574; 0002121849,EUROSEAS LTD. [0001341170]; Pyxis Tankers Inc. [0001640043]; EuroDry Ltd. [0001731388]; Euroholdings Ltd. [0002032779]
0001826620,Weiss Amitay,4,6,6,0,0,Director,0,1,0001213900,SciSparc Ltd. [0001611746]; Maris Tech Ltd. [0001872964]; Nexera Technologies Ltd [0001885408]; ParaZero Technologies Ltd. [0001916241]
0002119764,Elsztain Alejandro Gustavo,3,8,3,5,0,Director,0,1,0001654954; 0002119764,IRSA INVESTMENTS & REPRESENTATIONS INC [0000933267]; CRESUD INC [0001034957]; BrasilAgro - Brazilian Agricultural Real Estate Co [0001499849]
0001432657,Shao Sean,3,6,2,4,0,Director,0,1,0001030471; 0001104659,"UTSTARCOM HOLDINGS CORP. [0001030471]; VNET Group, Inc. [0001508475]; Luckin Coffee Inc. [0001767582]"
0001037182,ELSZTAIN EDUARDO S,3,6,3,3,0,10% Owner; Director,0,1,0001037182; 0001654954,IRSA INVESTMENTS & REPRESENTATIONS INC [0000933267]; CRESUD INC [0001034957]; BrasilAgro - Brazilian Agricultural Real Estate Co [0001499849]
0001975788,Lai Jimmy Y.,3,5,2,3,0,Director,0,1,0001104659; 0001193125; 0001493152,"51Talk Online Education Group [0001659494]; FinVolution Group [0001691445]; Youdao, Inc. [0001781753]"
0001966097,Falk Dan Michael,3,5,3,2,0,Director,0,1,0001178913,NICE Ltd. [0001003935]; Evogene Ltd. [0001574565]; Innoviz Technologies Ltd. [0001835654]
0002118775,Panagiotidis Petros Panagiotis,3,5,3,2,0,Chief Executive Officer; Director; See Remarks,0,1,0001140361,Castor Maritime Inc. [0001720161]; TORO CORP. [0001941131]; Robin Energy Ltd. [0002039060]
0001328921,Vafias Harry,3,5,3,2,0,"CEO and President; CEO, President & CFO; Director",0,1,0001193125,StealthGas Inc. [0001328919]; Imperial Petroleum Inc./Marshall Islands [0001876581]; C3is Inc. [0001951067]
0002123010,Zheng Yeeli Hua,3,5,3,2,0,Director,0,1,0001213900; 0001973372,Bitfufu Inc. [0001921158]; MaxsMaking Inc. [0002008007]; Youlife Group Inc. [0002028177]
0002120697,Gaivironsky Matias Ivan,3,5,4,1,0,CFO; Chief Financial Officer; Director,0,1,0001654954; 0002120697,IRSA INVESTMENTS & REPRESENTATIONS INC [0000933267]; CRESUD INC [0001034957]; BrasilAgro - Brazilian Agricultural Real Estate Co [0001499849]
0002122338,Karmiri Stefania,3,4,3,1,0,Corporate Secretary,0,0,0002122338,EUROSEAS LTD. [0001341170]; EuroDry Ltd. [0001731388]; Euroholdings Ltd. [0002032779]
0001973293,Revach Moshe,3,6,5,1,0,Director,0,1,0001213900,SciSparc Ltd. [0001611746]; Nexera Technologies Ltd [0001885408]; ParaZero Technologies Ltd. [0001916241]
0001836939,Zang Saul,3,4,3,1,0,Director,0,1,0001654954; 0001836939,IRSA INVESTMENTS & REPRESENTATIONS INC [0000933267]; CRESUD INC [0001034957]; BrasilAgro - Brazilian Agricultural Real Estate Co [0001499849]
0002125501,Baudo Giampietro,3,3,3,0,0,Chief Executive Officer,0,0,0001213900,AMTD IDEA GROUP [0001769731]; AMTD Digital Inc. [0001809691]; Generation Essentials Group [0002053456]
0002131749,Bevilacqua Flavia Vanesa,3,3,3,0,0,,0,0,0002131749,GAS TRANSPORTER OF THE SOUTH INC [0000931427]; EDENOR [0001395213]; Pampa Energy Inc. [0001469395]
0001374287,Cohen Yuval,3,3,3,0,0,Director,0,1,0001178913; 0001213900,RADWARE LTD [0001094366]; STRATASYS LTD. [0001517396]; Kornit Digital Ltd. [0001625791]
0001971695,Gruber Dafna,3,3,3,0,0,Director,0,1,0001178913; 0001213900,ICL Group Ltd. [0000941221]; CHECK POINT SOFTWARE TECHNOLOGIES LTD [0001015922]; Cellebrite DI Ltd. [0001854587]
0002114483,JIAO Jie,3,3,3,0,0,Director,0,1,0001104659; 0001213900; 0002114483,Amber International Holding Ltd [0001697818]; QUHUO Ltd [0001781193]; GrowHub Ltd [0002024114]
0002118954,Jin Xin (Moore),3,3,3,0,0,Chief Executive Officer; Director,0,1,0001104659; 0001193125; 0001213900,Cango Inc. [0001725123]; Aurelion Inc. [0001765850]; Antalpha Platform Holding Co [0002044255]
0002118310,Kostogiannis Ioannis,3,4,4,0,0,Director,0,1,0001193125,StealthGas Inc. [0001328919]; Imperial Petroleum Inc./Marshall Islands [0001876581]; C3is Inc. [0001951067]
0002122308,Kyriakopoulos Panagiotis,3,3,3,0,0,Director,0,1,0002122308,EUROSEAS LTD. [0001341170]; EuroDry Ltd. [0001731388]; Euroholdings Ltd. [0002032779]
0002124606,Li Dong,3,5,5,0,0,CFO; Director,0,1,0002124606,GreenTree Hospitality Group Ltd. [0001724755]; TH International Ltd [0001877333]; Yuanbao Inc. [0001995520]
0002002613,Lin Frank Hurst,3,3,3,0,0,10% Owner; Director,0,1,0001104659,Vipshop Holdings Ltd [0001529192]; 51Talk Online Education Group [0001659494]; Here Group Ltd [0001932770]
0002122342,Pariaros Symeon,3,4,4,0,0,Chief Administrative Officer,0,0,0002122342,EUROSEAS LTD. [0001341170]; EuroDry Ltd. [0001731388]; Euroholdings Ltd. [0002032779]
0002121135,Shin Ho Chuen,3,3,3,0,0,Director,0,1,0001213900,SuperX AI Technology Ltd [0001897087]; Globavend Holdings Ltd [0001978527]; Luda Technology Group Ltd [0001984124]
0002122085,Tamvakakis Apostolos,3,3,3,0,0,Director,0,1,0002122085,EUROSEAS LTD. [0001341170]; EuroDry Ltd. [0001731388]; Euroholdings Ltd. [0002032779]
0002127406,Taniskidis George,3,3,3,0,0,Director,0,1,0002127406,EUROSEAS LTD. [0001341170]; EuroDry Ltd. [0001731388]; Euroholdings Ltd. [0002032779]
0001860569,Vassily Kevin,3,3,3,0,0,Director,0,1,0001096906; 0001213900,Zhongchao Inc. [0001785566]; Tungray Technologies Inc [0001943444]; CTW Cayman [0002047148]
0002118549,Xiradakis Georgios,3,3,3,0,0,Director,0,1,0001140361; 0001193125,Imperial Petroleum Inc./Marshall Islands [0001876581]; Rubico Inc. [0001943421]; C3is Inc. [0001951067]
0001305509,Yan Andrew Y,3,3,3,0,0,Director,0,1,0001104659; 0001213900,"SINOVAC BIOTECH LTD [0001084201]; ATA Creativity Global [0001420529]; Qfin Holdings, Inc. [0001741530]"
0001881878,Yang Tianshi,3,3,3,0,0,Chief Strategy Officer; Director,0,1,0001213900,SAIHEAT Ltd [0001847075]; ICZOOM Group Inc. [0001854572]; Youlife Group Inc. [0002028177]
0002121480,YU Haiyang,3,3,3,0,0,Director,0,1,0000950103,DouYu International Holdings Ltd [0001762417]; Waterdrop Inc. [0001823986]; Kanzhun Ltd [0001842827]
0002110578,Zhao Hongqiang,3,3,3,0,0,Director,0,1,0000950103; 0001104659; 0001973372,HUYA Inc. [0001728190]; Li Auto Inc. [0001791706]; Here Group Ltd [0001932770]
0002022936,Mindlin Marcos Marcelo,2,10,1,9,0,10% Owner; Director,0,1,0002022936,Pampa Energy Inc. [0001469395]; Loma Negra Compania Industrial Argentina Sociedad Anonima [0001711375]
0001999977,Manor Sagit,2,9,2,7,0,CFO; Director,0,1,0001178913; 0001976408,TAT TECHNOLOGIES LTD [0000808439]; Nayax Ltd. [0001901279]
0002127484,Pittas Aristeidis P,2,9,2,7,0,Director; Vice Chairman,1,1,0002127484,EUROSEAS LTD. [0001341170]; EuroDry Ltd. [0001731388]
0002121214,Escovar Gomez Sylvia,2,8,2,6,0,Director,0,1,0000950103; 0002058897,GeoPark Ltd [0001464591]; Grupo Cibest S.A. [0002058897]
0001976945,Hvid Kenneth,2,7,1,6,0,Director; President and CEO,0,1,0000911971; 0001419945; 0001976945,TEEKAY CORP LTD [0000911971]; TEEKAY TANKERS LTD. [0001419945]
0001976967,Antturi Peter,2,5,1,4,0,Director,0,1,0000911971; 0001419945; 0001976967,TEEKAY CORP LTD [0000911971]; TEEKAY TANKERS LTD. [0001419945]
0002114036,Da Silva William Franca,2,5,1,4,0,Chief Product Officer; Director,0,1,0001292814,BRASKEM SA [0001071438]; PETROBRAS - PETROLEO BRASILEIRO SA [0001119639]
0001977988,Krediet Rudolph,2,5,1,4,0,Director,0,1,0000911971; 0001419945; 0001977988,TEEKAY CORP LTD [0000911971]; TEEKAY TANKERS LTD. [0001419945]
0001977117,Locke Simon Heidi,2,5,1,4,0,Director,0,1,0000911971; 0001419945; 0001977117,TEEKAY CORP LTD [0000911971]; TEEKAY TANKERS LTD. [0001419945]
0002119592,Melgarejo Fernando Sabbi,2,5,1,4,0,Chief Financial Officer; Director,0,1,0001292814,BRASKEM SA [0001071438]; PETROBRAS - PETROLEO BRASILEIRO SA [0001119639]
0001976718,Oey Peter Henry,2,6,2,4,0,Chief Financial Officer; Director,0,1,0001213900; 0001855612; 0001976718,Grab Holdings Ltd [0001855612]; Horizon Quantum Holdings Ltd. [0002088256]
0001960000,Simon Zehava,2,6,2,4,0,Director,0,1,0001178913,NICE Ltd. [0001003935]; NOVA LTD. [0001109345]
0001972297,Speers Brody,2,4,0,4,0,Chief Financial Officer; Director,0,1,0000911971; 0001419945; 0001972297,TEEKAY CORP LTD [0000911971]; TEEKAY TANKERS LTD. [0001419945]
0002104075,Alvarez-Demalde Francisco,2,5,2,3,0,Director,0,1,0001193125; 0001628280,Globant S.A. [0001557860]; VTEX [0001793663]
0001674277,Bigley Deirdre Mary,2,5,2,3,0,Director,0,1,0001104659; 0001628280,Wix.com Ltd. [0001576789]; Sportradar Group AG [0001836470]
0002119315,Chambriard Magda Maria de Regina,2,4,1,3,0,CEO; Director,0,1,0001292814,BRASKEM SA [0001071438]; PETROBRAS - PETROLEO BRASILEIRO SA [0001119639]
0002092936,Doehner Cobian Mauricio,2,4,1,3,0,Director; EVP Corporate Affairs,0,1,0001193125; 0002092936,"CEMEX SAB DE CV [0001076378]; Vista Energy, S.A.B. de C.V. [0001762506]"
0002119232,Fernandez Jose Luis Fernandez,2,5,2,3,0,Director,0,1,0000895345; 0001292814,"GRUPO TELEVISA, S.A.B. [0000912892]; Controladora Vuela Compania de Aviacion, S.A.B. de C.V. [0001520504]"
0002115483,Feuardent Moreira Andreas,2,5,2,3,0,Chief Innovation Officer,0,0,0002115483,Wisekey International Holding S.A. [0001738699]; SEALSQ Corp [0001951222]
0001608867,Lutz Marcos M,2,5,2,3,0,Director,0,1,0001292814,ULTRAPAR HOLDINGS INC [0001094972]; Itau Unibanco Holding S.A. [0001132597]
0001964896,Oppenhaim Eitan,2,5,2,3,0,Director,0,1,0001178913,TAT TECHNOLOGIES LTD [0000808439]; NOVA LTD. [0001109345]
