cik,name,tickers,country,sic,hot_matches,hot_owners,capforms,f4_rows,f3_rows,cluster_owners,n_clusters,disp_n,open_mkt_sales,disp_value,score
0001840706,SOPHiA GENETICS SA,SOPH,Switzerland,7374,115,14,"424B3,424B5,EFFECT,F-3",99,15,,0,109,106,2609914,136.8
0001163653,NOMURA HOLDINGS INC,NMR; NRSCF,Japan,6211,88,19,"424B3,424B5",48,32,,0,52,0,53998808,97.6
0001439124,AXIA Energia S.A.,AXIA; AXIA-PC; AXIA3,Brazil,4911,72,5,424B3,63,35,Claro Lopes Vanessa(2iss),1,187,144,230689730,89.6
0001987240,SCHMID Group N.V.,SHMD; SHMDW,Netherlands,3590,77,6,"424B3,EFFECT,F-1",13,11,,0,8,2,16402704,81.6
0001432364,AZUL SA,AZUL; AZUL3,Brazil,4512,48,11,"424B3,EFFECT,F-1,F-1/A",13,3,Garcia Antonio Carlos(2iss),1,4,0,0,53.6
0001969373,"Vesta Real Estate Corporation, S.A.B. de C.V.",VTMX,Mexico,6500,42,13,424B5,29,44,de la Calle Luis(2iss),1,40,41,10288905,52.8
0001867102,Vertical Aerospace Ltd.,EVTL,United Kingdom,3721,44,9,"424B3,424B5,EFFECT,F-3",14,10,,0,5,1,1824119,48.8
0001415921,Navios Maritime Partners L.P.,NMM,Marshall Islands,4412,39,1,"424B3,EFFECT,F-3",27,11,,0,0,0,0,44.4
0001725332,Alarum Technologies Ltd.,ALAR,Israel,7372,42,7,EFFECT,7,9,,0,0,0,0,43.4
0001474627,"Newegg Commerce, Inc.",NEGG,CA,5990,34,3,"EFFECT,F-3,F-3/A",16,12,Zheng Fuya (Frank)(2iss),1,44,28,7679320,42.2
0001859690,Arqit Quantum Inc.,ARQQ; ARQQW,United Kingdom,7372,28,4,424B3,57,13,,0,134,76,2538345,41.4
0000067088,MITSUBISHI UFJ FINANCIAL GROUP INC,MBFJF; MUFG,Japan,6029,22,22,424B5,43,42,Yoshida Kenichiro(2iss),1,1,0,0,33.6
