filed_date,days_after_act,accession,form,issuer_cik,issuer_name,owner_cik,owner_name,roles,officer_title,pre_act_fpi_forms,earliest_pre_act_fpi_filing,agent_prefix
2026-07-14,118,0001213900-26-077928,3,0001871983,Anghami Inc,0001163556,FINE N SCOTT,Director,,20-F; 6-K,2025-02-07,0001213900
2026-07-14,118,0001493152-26-033103,3,0001881472,Magic Empire Global Ltd,0002144889,Wang Mei (Mary),Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-01-27,0001493152
2026-07-14,118,0001493152-26-033114,3,0001971115,Ryde Group Ltd,0002145235,Tee Kok Siong,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-03-13,0001493152
2026-07-14,118,0002143989-26-000002,3,0001722608,"iQIYI, Inc.",0002143989,Tian Ying,CFO,CFO,20-F; 6-K,2025-02-18,0002143989
2026-07-14,118,0002143989-26-000004,3/A,0001722608,"iQIYI, Inc.",0002143989,Tian Ying,CFO,CFO,20-F; 6-K,2025-02-18,0002143989
2026-07-13,117,0001475597-26-000155,3,0002018222,707 Cayman Holdings Ltd.,0001475597,HRT FINANCIAL LP,10% Owner,,20-F; 6-K,2025-06-10,0001475597
2026-07-13,117,0001193125-26-302301,3,0001812477,Keel Infrastructure Corp.,0002145277,Aiyer Ganesh,President,President,6-K,2025-01-02,0001193125
2026-07-13,117,0000905148-26-003246,3,0002062440,Kyivstar Group Ltd.,0002143211,Kiziltoprak Taner,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-08-14,0000905148
2026-07-13,117,0001213900-26-077315,3,0002026514,Namib Minerals,0002144395,Luhabe Wendy Yvonne Nomathemba,Director,,20-F; 6-K,2025-06-06,0001213900
2026-07-13,117,0001213900-26-077349,3/A,0001611746,SciSparc Ltd.,0001973096,Adler Oz,CEO and CFO,CEO and CFO,20-F; 6-K,2025-01-07,0001213900
2026-07-13,117,0001213900-26-077346,3/A,0001611746,SciSparc Ltd.,0001740602,DAYAN ALON,Director,,20-F; 6-K,2025-01-07,0001213900
2026-07-13,117,0001213900-26-077348,3/A,0001611746,SciSparc Ltd.,0001973293,Revach Moshe,Director,,20-F; 6-K,2025-01-07,0001213900
2026-07-13,117,0001213900-26-077347,3/A,0001611746,SciSparc Ltd.,0001973294,Shay Amnon Ben,Director,,20-F; 6-K,2025-01-07,0001213900
2026-07-13,117,0001213900-26-077339,3/A,0001611746,SciSparc Ltd.,0001595943,Shrem Itschak,Director,,20-F; 6-K,2025-01-07,0001213900
2026-07-13,117,0001213900-26-077344,3/A,0001611746,SciSparc Ltd.,0001973248,Sidi Liat,Director,,20-F; 6-K,2025-01-07,0001213900
2026-07-13,117,0001213900-26-077341,3/A,0001611746,SciSparc Ltd.,0001973991,Vider Lior,Director,,20-F; 6-K,2025-01-07,0001213900
2026-07-13,117,0001213900-26-077342,3/A,0001611746,SciSparc Ltd.,0001826620,Weiss Amitay,Director,,20-F; 6-K,2025-01-07,0001213900
2026-07-13,117,0001213900-26-077338,3/A,0001611746,SciSparc Ltd.,0001973249,Zuloff-Shani Adi,Chief Technology Officer,Chief Technology Officer,20-F; 6-K,2025-01-07,0001213900
2026-07-10,114,0001619762-26-000073,3,0001619762,Brightstar Lottery PLC,0002143152,Tasso Marco,"EVP and COO, Global Lottery","EVP and COO, Global Lottery",20-F; 6-K,2025-02-25,0001619762
2026-07-10,114,0001213900-26-076928,3,0002074123,CCH Holdings Ltd,0002144003,Wong Chung Wai Milky,Director,,6-K,2025-12-16,0001213900
2026-07-10,114,0001493152-26-032815,3,0001948294,CL Workshop Group Ltd,0001935216,Wong Heung Ming Henry,Director,,20-F; 6-K,2025-05-01,0001493152
2026-07-10,114,0001094891-26-000248,3,0001928581,GMEX Robotics Corp,0001921764,Hartzband Brian Shawn,President of U.S. Operations,President of U.S. Operations,20-F; 6-K,2025-02-07,0001094891
2026-07-10,114,0001493152-26-032794,3,0001964314,JBDI Holdings Ltd,0002141384,Lim Tze Chong Patrick,Operations Director; 10% Owner,Operations Director,20-F; 6-K,2025-05-29,0001493152
2026-07-10,114,0001493152-26-032793,3,0001964314,JBDI Holdings Ltd,0002144066,"Lim Tze Ming, Kelvin",Sales Director,Sales Director,20-F; 6-K,2025-05-29,0001493152
2026-07-10,114,0001493152-26-032792,3,0001964314,JBDI Holdings Ltd,0002141431,Siow Kim Lian,10% Owner,,20-F; 6-K,2025-05-29,0001493152
2026-07-10,114,0001213900-26-076944,3,0001944902,Ohmyhome Ltd,0002144489,Wong Tai Kok,Director,,20-F; 6-K,2025-01-10,0001213900
2026-07-10,114,0001628280-26-047859,3,0001876431,Prenetics Global Ltd,0001695607,Rosin Brian J,CFO of IM8 (US) LLC,CFO of IM8 (US) LLC,20-F; 6-K,2025-03-05,0001628280
2026-07-09,113,0001475597-26-000149,3,0002018222,707 Cayman Holdings Ltd.,0001475597,HRT FINANCIAL LP,10% Owner,,20-F; 6-K,2025-06-10,0001475597
2026-07-09,113,0000905148-26-003220,3,0001267395,ASPEN INSURANCE HOLDINGS LTD,0001571352,Rosorea Carrie,Chief Financial Officer,Chief Financial Officer,20-F; 6-K,2025-02-27,0000905148
2026-07-09,113,0001104659-26-082053,3,0001472072,Concord Medical Services Holdings Ltd,0002143849,Shi Botao,Interim CFO,Interim CFO,20-F; 6-K,2025-01-06,0001104659
2026-07-09,113,0001193125-26-299076,3,0001743102,Jiayin Group Inc.,0002142696,Lu Xiaojing,Director,,20-F; 6-K,2025-03-27,0001193125
2026-07-09,113,0001213900-26-076779,3,0001874252,Quantum Cyber N.V.,0001797586,Buffalino Louis R.,Director,,20-F; 6-K,2025-01-14,0001213900
