priority_score,issuer_cik,issuer_name,tickers,exchanges,sic,country,fpi_evidence,financing_filing_count,f1_f3_424_count,financing_forms,latest_financing_date,small_cap_proxy,record_type,weiss_gate_status,post_act_section16_count,weiss_post_act_count,weiss_gate_evidence
92883,0001114446,UBS AG,AMUB; BDCX; BDCZ; CEFD; HDLB; IFED; IWDL; IWFL; IWML; MLPB; MLPR; MTUL; MVRL; PFFL; QULL; SCDL; SMHB; UCIB; USML,NYSE,6021,Switzerland,20-F; 6-K,18578,18576,424B2(18106); 424B3(463); 424B8(5); EFFECT(2); F-3(1); F-3/A(1),2026-07-14,financing_intensity,universe_never_filer,,0,,
66271,0000312070,BARCLAYS BANK PLC,ATMP; BWVTF; DJP; GBUG; GRN; JJETF; TAPR; VXX; VXZ,CBOE; NYSE; Nasdaq; OTC,6029,United Kingdom,20-F; 6-K,13254,13254,424B2(13252); 424B3(1); 424B8(1),2026-07-14,financing_intensity,universe_never_filer,,0,,
33882,0000927971,BANK OF MONTREAL /CAN/,AIQD; AIQU; BERZ; BMO; BNKD; BNKU; BULZ; CARD; CARU; DULL; FLYD; FLYU; FNGD; FNGO; FNGS; FNGU; GDXD; GDXU; JETD; JETU; NRGD; NRGU; OILD; OILU; SHNY; WTID; WTIU,NYSE,6029,"Ontario, Canada",40-F; 6-K,6777,6776,424B2(6726); 424B3(41); 424B5(2); 424B8(5); EFFECT(1); F-3(1); F-3/A(1),2026-07-14,financing_intensity,universe_never_filer,,0,,
26306,0001000275,ROYAL BANK OF CANADA,RY; RYLBF,NYSE; OTC,6029,"Ontario, Canada",40-F; 6-K,5261,5261,424B2(5246); 424B3(10); 424B5(3); 424B8(2),2026-07-14,financing_intensity,universe_never_filer,,0,,
23936,0000009631,BANK OF NOVA SCOTIA,BNS,NYSE,6022,"Ontario, Canada",40-F; 6-K,4787,4787,424B2(4687); 424B3(93); 424B5(4); 424B8(3),2026-07-14,financing_intensity,universe_never_filer,,0,,
23307,0000947263,TORONTO DOMINION BANK,TD; TDBCP,NYSE; OTC,6029,"Ontario, Canada",40-F; 6-K,4662,4661,424B2(4514); 424B3(124); 424B5(19); 424B8(3); EFFECT(1); F-3/A(1),2026-07-14,financing_intensity,universe_never_filer,,0,,
5767,0001045520,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,CM; CNDIF,NYSE; OTC,6029,"Ontario, Canada",40-F; 6-K,1154,1153,424B2(1104); 424B3(33); 424B5(14); EFFECT(1); F-3(1); F-3/A(1),2026-07-14,financing_intensity,universe_never_filer,,0,,
3786,0001159508,DEUTSCHE BANK AKTIENGESELLSCHAFT,ADZCF; DB; DEENF; DGP; DGZ; DZZ; OLOXF,NYSE; OTC,6022,NY,20-F; 6-K,757,757,424B2(750); 424B3(7),2026-07-14,financing_intensity,universe_never_filer,,0,,
253,0002000640,Damon Inc.,DMNIF,OTC,3751,"British Columbia, Canada",6-K,52,50,424B3(49); 424B4(1); EFFECT(2),2025-07-18,financing_intensity,universe_never_filer,,0,,
98,0001981462,LeddarTech Holdings Inc.,LDTCF,OTC,7372,Canada (Federal Level),6-K,21,19,424B3(18); EFFECT(2); F-1/A(1),2025-05-21,financing_intensity,universe_never_filer,,0,,
