cluster,title,status,article_slugs,main_export_findings,split_export_findings,only_main_count,only_split_count,targets,split_path,export_overlap_identical,sample_finding_ids
apollo-money-pipeline,The Apollo Money Pipeline,planned_visible_on_article_index,[],1000,604,396,0,"[""Leon Black"", ""Marc Rowan"", ""Joshua Harris"", ""Southern Trust Company"", ""Apollo Global Management"", ""The 2017 Caterpillar Trust"", ""Ariane de Rothschild"", ""Edmond de Rothschild Bank""]",cluster-apollo-money-pipeline.json,False,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12]"
wexner-trust-architecture,Wexner Trust Architecture,planned_visible_on_article_index,[],533,356,177,0,"[""Leslie Wexner"", ""Les Wexner"", ""Financial Trust Company"", ""NWO LLC"", ""Maple Inc"", ""L Brands""]",cluster-wexner-trust-architecture.json,False,"[9, 34, 65, 66, 99, 108, 121, 135, 163, 176]"
deutsche-bank-plumbing,Deutsche Bank Plumbing,planned_visible_on_article_index,[],1084,694,390,0,"[""Deutsche Bank"", ""WE LLC"", ""Southern Trust Company"", ""Jeffrey Epstein""]",cluster-deutsche-bank-plumbing.json,False,"[41, 67, 68, 70, 88, 90, 117, 140, 184, 187]"
gulf-intelligence-web,The Gulf Intelligence Web,article_exists,"[""gulf-intelligence-web""]",448,0,448,0,"[""Jabor Al Thani"", ""Sultan Bin Sulayem"", ""Raafat Alsabbagh"", ""Fettah Tamince"", ""Elliott Broidy""]",,False,"[32, 47, 89, 95, 100, 101, 111, 125, 129, 138]"
shadow-lobbying-empire,Shadow Lobbying Empire,backend_cluster_only,[],1113,375,738,0,"[""International Peace Institute"", ""IPI"", ""Humpty Dumpty Institute"", ""HDI"", ""Terje Rod-Larsen""]",cluster-shadow-lobbying-empire.json,False,"[5, 27, 48, 52, 55, 69, 71, 73, 74, 75]"
corporate-shell-network,The Corporate Shell Network,article_exists,"[""corporate-shell-network""]",2980,1002,1978,0,"[""IGO Company LLC"", ""Southern Financial LLC"", ""Maple Inc"", ""JEGE Inc"", ""Darren Indyke"", ""Richard Kahn""]",cluster-corporate-shell-network.json,False,"[5, 7, 8, 11, 12, 13, 23, 29, 35, 38]"
legal-shield,The Legal Shield,planned_visible_on_article_index,[],1290,498,792,0,"[""Ken Starr"", ""Brad Karp"", ""Reid Weingarten"", ""Dechert LLP"", ""Brad Edwards""]",cluster-legal-shield.json,False,"[10, 12, 14, 15, 18, 21, 25, 28, 32, 34]"
science-tech-interface,Science & Tech Interface,planned_visible_on_article_index,[],1641,462,1179,0,"[""Carbyne/Reporty"", ""Ian Osborne"", ""Peter Thiel"", ""Valar Ventures"", ""Masha Drokova"", ""Enhanced Education""]",cluster-science-tech-interface.json,False,"[24, 36, 50, 67, 68, 70, 72, 73, 74, 75]"
norwegian-connection,The Norwegian Connection,backend_cluster_only,[],264,224,40,0,"[""Terje Rod-Larsen"", ""Ehud Barak"", ""Thorbjorn Jagland""]",cluster-norwegian-connection.json,False,"[24, 44, 71, 73, 77, 80, 82, 84, 87, 91]"
inner-circle-operations,Inner Circle Operations,planned_visible_on_article_index,[],801,662,139,0,"[""Darren Indyke"", ""Richard Kahn"", ""Lesley Groff"", ""Karyna Shuliak""]",cluster-inner-circle-operations.json,False,"[4, 11, 12, 22, 29, 38, 41, 44, 46, 50]"
