rank,item_id,published_at,publisher,language,title,score,rationale_tags
1,1821,2006-08-14,Palm Beach Post,en,"Jeffrey Epstein craved big homes, elite friends - and, investigators say, underage girls",159.0,base:98;primary:properties;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:longform;documents:2;historical:curated;outlet:investigative;hash:unique;independence:first-pass
2,1802,2003-03-01T05:00:00.000Z,Vanity Fair,en,The Talented Mr. Epstein,153.2,base:101;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:longform;documents:3;historical:curated;outlet:quality;hash:unique;independence:first-pass
3,2177,2018-03-28,The Daily Beast,en,"How Did Jeffrey Epstein, Trump and Clinton's Pal, Escape #MeToo?",137.0,base:101;primary:political_intelligence;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2015_2018;fulltext:longform;documents:5;original-signals:1;historical:curated;outlet:quality;hash:unique;independence:repeat-capped
4,2163,2010-07-20,The Daily Beast,en,"Jeffrey Epstein, Billionaire Pedophile, Goes Free",130.5,base:79;primary:political_intelligence;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:longform;documents:2;historical:curated;outlet:quality;hash:unique;independence:first-pass
5,1801,2002-10-28T20:56:00.000-05:00,New York Magazine,en,Jeffrey Epstein: International Moneyman of Mystery,127.8,base:70;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;era:pre_2015;fulltext:longform;documents:1;historical:curated;outlet:quality;hash:unique;independence:first-pass;author-caveat:landon-thomas
6,1520,2011-03-13T00:06:08.000Z,The Guardian,en,Prince Andrew's link to sex offender Jeffrey Epstein taints royalty in US,127.0,base:70;primary:political_intelligence;topic:banks_trusts_usvi;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:longform;documents:1;outlet:quality;hash:unique;independence:first-pass
7,2213,2017-01-27,Daily Mail,en,Pedophile Jeffrey Epstein is accused of luring an underage girl into his elaborate sex trafficking enterprise under the guise of using his wealth and connections to get her into a prestige NYC college,126.6,base:76;primary:wexner_black;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2015_2018;fulltext:longform;documents:3;historical:curated;hash:unique;independence:first-pass
8,1514,2015-02-01T15:05:56.000Z,The Guardian,en,Jeffrey Epstein: charities turning backs on financier accused in sex case,116.9,base:80;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:2015_2018;fulltext:longform;documents:3;outlet:quality;hash:unique;independence:repeat-capped
9,2176,2015-02-23,New York Daily News,en,"Alleged 'sex slave' of Jeffrey Epstein, Prince Andrew accused 2 men of rape in 1998, but was found not credible",115.6,base:65;primary:political_intelligence;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;era:2015_2018;fulltext:longform;documents:3;original-signals:1;historical:curated;hash:unique;independence:first-pass
10,1805,2010-07-22T23:46:26Z,The Daily Beast,en,"Jeffrey Epstein, Pedophile Billionaire, and His Sex Den",115.2,base:78;primary:maxwell;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:longform;documents:2;historical:curated;outlet:quality;hash:unique;independence:repeat-capped
11,1825,2008-02-07,Palm Beach Post,en,Part-time Palm Beacher faces another sex suit,114.1,base:71;primary:properties;topic:political_intelligence;topic:science_philanthropy;topic:properties;era:pre_2015;fulltext:substantive;documents:2;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
12,39,2025-12-10,Drop Site News,en,"""Ask Jeffrey"": Epstein Ran Wexner's Pro-Israel Philanthropy Machine, Emails Reveal",108.0,base:67;primary:wexner_black;topic:banks_trusts_usvi;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:2;outlet:investigative;hash:unique;independence:first-pass
13,1803,2006-07-26,The Smoking Gun,en,Billionaire In Palm Beach Sex Scandal,106.8,base:61;primary:political_intelligence;topic:political_intelligence;era:pre_2015;fulltext:substantive;documents:1;historical:curated;outlet:investigative;hash:unique;independence:first-pass
14,1829,2008-07-01,Palm Beach Post,en,"Banker Epstein pleads in prostitution case, gets 18 months",105.0,base:77;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:substantive;documents:1;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
15,3720,2015-01-10T06:17:18+01:00,El Mundo,es,"Ghislaine Maxwell, la madame del pr�ncipe Andr�s de Inglaterra",103.4,base:43;primary:maxwell;topic:maxwell;topic:political_intelligence;topic:staff_operations;era:2015_2018;fulltext:substantive;outlet:quality;hash:unique;independence:first-pass;language:non-en
16,1806,2011-03-08T19:30:05.000Z,Vanity Fair,en,Jeffrey and Ghislaine: Notes on New York's Oddest Alliance,102.2,base:61;primary:maxwell;topic:wexner_black;topic:maxwell;topic:political_intelligence;era:pre_2015;fulltext:substantive;original-signals:1;historical:curated;outlet:quality;hash:unique;independence:repeat-capped
17,6661,2018-12-04T15:00:13-0500,CBS News,en,House Democrats want investigation into Alex Acosta's secret deal with Jeffrey Epstein,101.4,base:54;primary:political_intelligence;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2015_2018;fulltext:substantive;documents:1;original-signals:1;hash:unique;independence:first-pass
18,3228,2024-01-04T07:51:25.230-03:00,O Globo,pt,"Bill Clinton, Donald Trump e Príncipe Andrew são citados em documentos judiciais relacionados a Jeffrey Epstein",100.0,base:51;primary:wexner_black;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;era:2020_2024;fulltext:substantive;documents:2;outlet:quality;hash:unique;independence:first-pass;language:non-en
19,5083,2019-08-01T12:04:28+00:00,NRC,nl,Epstein wilde vrouwen bevruchten met eigen sperma op een afgelegen ‘babyranch’,98.8,base:40;primary:properties;topic:political_intelligence;topic:science_philanthropy;topic:properties;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:first-pass;language:non-en
20,2164,2010-07-23,Forbes,en,Sex Offender Jeffrey Epstein Is Not A Billionaire,98.5,base:53;primary:wexner_black;topic:banks_trusts_usvi;topic:wexner_black;topic:political_intelligence;topic:legal_accountability;era:pre_2015;fulltext:substantive;historical:curated;outlet:quality;hash:unique;independence:first-pass
21,27,2019-12-13T00:04:33+0000,CNBC,en,"Jeffrey Epstein spent over $500,000 to fund never-completed episodes of a PBS science series the year before sex trafficking charges",97.3,base:51;primary:wexner_black;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:2019;fulltext:substantive;documents:1;original-signals:1;hash:unique;independence:first-pass
22,3978,2019-08-13T07:12:59+02:00,Franceinfo,fr,"Affaire Jeffrey Epstein : pourquoi Donald Trump, Bill Clinton et le prince Andrew d'Angleterre sont-ils impliqués ?",96.1,base:41;primary:political_intelligence;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:longform;documents:1;hash:unique;independence:first-pass;language:non-en
23,2131,2026-05-17T21:30:00Z,New York Times,en,Mystery cash and elite secrets: The big questions about Jeffrey Epstein,96.0,base:68;primary:wexner_black;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:5;original-signals:1;outlet:caution;hash:unique;independence:first-pass
24,3238,2019-08-21T07:00:00+00:00,Público,pt,Ligações a Jeffrey Epstein abalam um dos mais prestigiados laboratórios de tecnologia do mundo,94.2,base:44;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:substantive;documents:2;outlet:quality;hash:unique;independence:first-pass;language:non-en
25,4241,2019-09-08T13:53:09.000Z,Süddeutsche Zeitung,de,Spenden von Jeffrey Epstein: Ito tritt zurück,93.7,base:44;primary:wexner_black;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:substantive;documents:1;outlet:quality;hash:unique;independence:first-pass;language:non-en
26,1516,2015-01-13T13:56:27.000Z,The Guardian,en,Jeffrey Epstein's donations to young pupils prompts US Virgin Islands review,93.4,base:61;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:2015_2018;fulltext:substantive;documents:1;outlet:quality;hash:unique;independence:repeat-capped
27,1834,2008-12-11,Palm Beach Post,en,Palm Beach billionaire sex offender freed 72 hours a week on work release,93.0,base:69;primary:properties;topic:properties;topic:staff_operations;topic:legal_accountability;era:pre_2015;fulltext:substantive;documents:2;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
28,2211,2021-12-07,HotNews.ro,ro,"Ce au descoperit agenții FBI în seiful secret al pedofilului Jeffrey Epstein: Hard disk-uri, CD-uri, diamante și pașapoarte false – relatarea completă a agenților federali",92.3,base:43;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;era:2020_2024;fulltext:substantive;original-signals:1;hash:unique;independence:first-pass;language:non-en
29,3070,2019-08-24T17:45:08Z,Corriere della Sera,it,"Epstein: abusi, amici potenti. Chi non sapeva?",91.4,base:40;primary:maxwell;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:first-pass;language:non-en
