Tormex/Sirena/Nomirex bank ledgers | The Proxy Platform (2011) | report-01-laundromat-canon.md
UK/New Zealand/Latvian/Moldovan/Panamanian company registries | The Proxy Platform (2011) | report-01-laundromat-canon.md
Moldovan court and law-enforcement records | The Proxy Platform (2011) | report-01-laundromat-canon.md
Moldovan civil-court files | A bad-tire lawsuit opened the platform (2011) | report-01-laundromat-canon.md
cross-border company registries | A bad-tire lawsuit opened the platform (2011) | report-01-laundromat-canon.md
Tormex/Sirena/Nomirex bank records | A bad-tire lawsuit opened the platform (2011) | report-01-laundromat-canon.md
Magnitsky-related bank-transfer records | Magnitsky proceeds met a dormant UK company (2011) | report-01-laundromat-canon.md
UK Companies House | Magnitsky proceeds met a dormant UK company (2011) | report-01-laundromat-canon.md
Russian case records | Magnitsky proceeds met a dormant UK company (2011) | report-01-laundromat-canon.md
Moldindconbank ledger | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
Trasta Komercbanka ledger | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
Moldovan court files | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
national corporate registries | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
sanctions lists | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
bank KYC files | The Russian Laundromat (2014/2017) | report-01-laundromat-canon.md
Moldovan court files | Moldovan courts manufactured the payment key (2014) | report-01-laundromat-canon.md
guarantee/loan instruments | Moldovan courts manufactured the payment key (2014) | report-01-laundromat-canon.md
Moldindconbank and Trasta Komercbanka transfers | Moldovan courts manufactured the payment key (2014) | report-01-laundromat-canon.md
Moldindconbank ledger | The 2017 bank leak exposed the destination layer (2017) | report-01-laundromat-canon.md
Trasta Komercbanka ledger | The 2017 bank leak exposed the destination layer (2017) | report-01-laundromat-canon.md
payment invoices | The 2017 bank leak exposed the destination layer (2017) | report-01-laundromat-canon.md
sanctions lists | The 2017 bank leak exposed the destination layer (2017) | report-01-laundromat-canon.md
national corporate registries | The 2017 bank leak exposed the destination layer (2017) | report-01-laundromat-canon.md
Danske Bank Estonia payment ledger | The Azerbaijani Laundromat (2017) | report-01-laundromat-canon.md
UK Companies House | The Azerbaijani Laundromat (2017) | report-01-laundromat-canon.md
Azerbaijani corporate/state records | The Azerbaijani Laundromat (2017) | report-01-laundromat-canon.md
lobbying and parliamentary records | The Azerbaijani Laundromat (2017) | report-01-laundromat-canon.md
Azerbaijani Laundromat payment database | Same-day matching flows exposed coordinated shells (2017) | report-01-laundromat-canon.md
UK Companies House | Same-day matching flows exposed coordinated shells (2017) | report-01-laundromat-canon.md
Azerbaijani Laundromat payment database | Laundromat payments aligned with reputation lobbying (2017) | report-01-laundromat-canon.md
Council of Europe records | Laundromat payments aligned with reputation lobbying (2017) | report-01-laundromat-canon.md
U.S. FARA filings | Laundromat payments aligned with reputation lobbying (2017) | report-01-laundromat-canon.md
U.S. lobbying disclosures | Laundromat payments aligned with reputation lobbying (2017) | report-01-laundromat-canon.md
Troika transaction database | The Troika Laundromat (2019) | report-01-laundromat-canon.md
Aleph / OCCRP Investigative Dashboard | The Troika Laundromat (2019) | report-01-laundromat-canon.md
ICIJ Offshore Leaks Database | The Troika Laundromat (2019) | report-01-laundromat-canon.md
national corporate registries | The Troika Laundromat (2019) | report-01-laundromat-canon.md
Troika transaction database | Troika’s control plane leaked through routine operations (2019) | report-01-laundromat-canon.md
internal email/invoice files | Troika’s control plane leaked through routine operations (2019) | report-01-laundromat-canon.md
Irish and offshore company registries | Troika’s control plane leaked through routine operations (2019) | report-01-laundromat-canon.md
Troika transaction database | Sixteen canceled share deals transferred value to Sergei Roldugin (2019) | report-01-laundromat-canon.md
share-purchase/cancellation agreements | Sixteen canceled share deals transferred value to Sergei Roldugin (2019) | report-01-laundromat-canon.md
Panama Papers / Offshore Leaks records | Sixteen canceled share deals transferred value to Sergei Roldugin (2019) | report-01-laundromat-canon.md
Saimaiti archive | Plunder and Patronage in the Heart of Central Asia (2019) | report-01-laundromat-canon.md
U.S. bank records | Plunder and Patronage in the Heart of Central Asia (2019) | report-01-laundromat-canon.md
corporate and property registries | Plunder and Patronage in the Heart of Central Asia (2019) | report-01-laundromat-canon.md
cash declarations | Plunder and Patronage in the Heart of Central Asia (2019) | report-01-laundromat-canon.md
border/flight data | Plunder and Patronage in the Heart of Central Asia (2019) | report-01-laundromat-canon.md
customs cash declarations | Cash declarations turned couriers into a transport network (2019) | report-01-laundromat-canon.md
flight and border-crossing records | Cash declarations turned couriers into a transport network (2019) | report-01-laundromat-canon.md
Turkish company registry | Cash declarations turned couriers into a transport network (2019) | report-01-laundromat-canon.md
Saimaiti archive | Cash declarations turned couriers into a transport network (2019) | report-01-laundromat-canon.md
Saimaiti bank-wire/loan ledgers | Wires became overseas property (2019) | report-01-laundromat-canon.md
property registries | Wires became overseas property (2019) | report-01-laundromat-canon.md
corporate registries | Wires became overseas property (2019) | report-01-laundromat-canon.md
Mexican and Romanian corporate registries | The Riviera Maya Gang (2020) | report-01-laundromat-canon.md
concession/license records | The Riviera Maya Gang (2020) | report-01-laundromat-canon.md
court/police records | The Riviera Maya Gang (2020) | report-01-laundromat-canon.md
property and bank-company records | The Riviera Maya Gang (2020) | report-01-laundromat-canon.md
passport/identity records | “Paul Ionete” was Adrian Tiugan (2020) | report-01-laundromat-canon.md
Romanian warrant records | “Paul Ionete” was Adrian Tiugan (2020) | report-01-laundromat-canon.md
Mexican corporate/concession/permit records | “Paul Ionete” was Adrian Tiugan (2020) | report-01-laundromat-canon.md
bank/payment records | A loan-and-sale loop washed ATM proceeds through Romanian property (2020) | report-01-laundromat-canon.md
Romanian company registry | A loan-and-sale loop washed ATM proceeds through Romanian property (2020) | report-01-laundromat-canon.md
Romanian real-estate records | A loan-and-sale loop washed ATM proceeds through Romanian property (2020) | report-01-laundromat-canon.md
cross-border beneficial-ownership records | A loan-and-sale loop washed ATM proceeds through Romanian property (2020) | report-01-laundromat-canon.md
Credit Suisse account leak | Suisse Secrets (2022) | report-01-laundromat-canon.md
corporate registries | Suisse Secrets (2022) | report-01-laundromat-canon.md
official gazettes | Suisse Secrets (2022) | report-01-laundromat-canon.md
court/criminal-investigation files | Suisse Secrets (2022) | report-01-laundromat-canon.md
sanctions/PEP lists | Suisse Secrets (2022) | report-01-laundromat-canon.md
prior leak corpora | Suisse Secrets (2022) | report-01-laundromat-canon.md
Credit Suisse account leak | Risk events overlapped live accounts (2022) | report-01-laundromat-canon.md
sanctions/PEP lists | Risk events overlapped live accounts (2022) | report-01-laundromat-canon.md
court judgments | Risk events overlapped live accounts (2022) | report-01-laundromat-canon.md
official investigations and gazettes | Risk events overlapped live accounts (2022) | report-01-laundromat-canon.md
Credit Suisse account leak | Venezuela’s PDVSA case graph unlocked Swiss accounts (2022) | report-01-laundromat-canon.md
U.S./Venezuelan court and prosecution records | Venezuela’s PDVSA case graph unlocked Swiss accounts (2022) | report-01-laundromat-canon.md
corporate/public-official records | Venezuela’s PDVSA case graph unlocked Swiss accounts (2022) | report-01-laundromat-canon.md
